epoch 0:	pdl:1.25e+00 	 Rec:1.25e+00 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:8.38e-01 	 Rec:1.44e-01 	 Color:0.00e+00 	Time: 0.62
epoch 100:	pdl:8.26e-01 	 Rec:1.19e-01 	 Color:0.00e+00 	Time: 0.61
epoch 150:	pdl:7.05e-01 	 Rec:1.04e-01 	 Color:0.00e+00 	Time: 0.61
epoch 200:	pdl:7.30e-01 	 Rec:9.19e-02 	 Color:0.00e+00 	Time: 0.61
epoch 250:	pdl:7.23e-01 	 Rec:8.45e-02 	 Color:0.00e+00 	Time: 0.62
epoch 300:	pdl:6.49e-01 	 Rec:7.53e-02 	 Color:0.00e+00 	Time: 0.62
epoch 350:	pdl:6.67e-01 	 Rec:6.78e-02 	 Color:0.00e+00 	Time: 0.61
epoch 400:	pdl:6.37e-01 	 Rec:6.55e-02 	 Color:0.00e+00 	Time: 0.61
epoch 450:	pdl:5.98e-01 	 Rec:5.83e-02 	 Color:0.00e+00 	Time: 0.61
epoch 500:	pdl:6.09e-01 	 Rec:5.36e-02 	 Color:0.00e+00 	Time: 0.62
epoch 550:	pdl:6.15e-01 	 Rec:5.05e-02 	 Color:0.00e+00 	Time: 0.61
epoch 600:	pdl:5.87e-01 	 Rec:4.63e-02 	 Color:0.00e+00 	Time: 0.61
epoch 650:	pdl:5.90e-01 	 Rec:4.33e-02 	 Color:0.00e+00 	Time: 0.61
epoch 700:	pdl:6.33e-01 	 Rec:4.18e-02 	 Color:0.00e+00 	Time: 0.61
epoch 750:	pdl:6.14e-01 	 Rec:3.89e-02 	 Color:0.00e+00 	Time: 0.61
epoch 800:	pdl:5.65e-01 	 Rec:3.70e-02 	 Color:0.00e+00 	Time: 0.61
epoch 850:	pdl:5.68e-01 	 Rec:3.41e-02 	 Color:0.00e+00 	Time: 0.61
epoch 900:	pdl:6.12e-01 	 Rec:3.25e-02 	 Color:0.00e+00 	Time: 0.61
epoch 950:	pdl:5.28e-01 	 Rec:3.11e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1000:	pdl:5.67e-01 	 Rec:2.93e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1050:	pdl:5.63e-01 	 Rec:2.81e-02 	 Color:0.00e+00 	Time: 0.62
epoch 1100:	pdl:6.41e-01 	 Rec:2.91e-02 	 Color:0.00e+00 	Time: 0.62
epoch 1150:	pdl:5.97e-01 	 Rec:2.54e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1200:	pdl:5.95e-01 	 Rec:2.44e-02 	 Color:0.00e+00 	Time: 0.62
epoch 1250:	pdl:6.59e-01 	 Rec:2.42e-02 	 Color:0.00e+00 	Time: 0.62
epoch 1300:	pdl:5.31e-01 	 Rec:2.28e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1350:	pdl:6.17e-01 	 Rec:2.19e-02 	 Color:0.00e+00 	Time: 0.62
epoch 1400:	pdl:5.19e-01 	 Rec:2.15e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1450:	pdl:5.85e-01 	 Rec:2.03e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1500:	pdl:6.14e-01 	 Rec:1.94e-02 	 Color:0.00e+00 	Time: 0.62
epoch 1550:	pdl:5.59e-01 	 Rec:1.87e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1600:	pdl:6.94e-01 	 Rec:1.77e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1650:	pdl:5.44e-01 	 Rec:1.81e-02 	 Color:0.00e+00 	Time: 0.61
epoch 1700:	pdl:5.70e-01 	 Rec:1.71e-02 	 Color:0.00e+00 	Time: 0.62
