epoch 0:	pdl:67303.20 	 Rec:73969.52 	Time: 0.03
epoch 50:	pdl:11063.23 	 Rec:4003.41 	Time: 1.24
epoch 100:	pdl:11296.33 	 Rec:2726.25 	Time: 1.20
epoch 150:	pdl:9748.94 	 Rec:2553.61 	Time: 1.20
epoch 200:	pdl:11993.20 	 Rec:2113.04 	Time: 1.20
epoch 250:	pdl:8238.86 	 Rec:1299.73 	Time: 1.20
epoch 300:	pdl:7496.03 	 Rec:1072.93 	Time: 1.20
epoch 350:	pdl:10067.41 	 Rec:1395.95 	Time: 1.20
epoch 400:	pdl:7246.72 	 Rec:858.86 	Time: 1.20
epoch 450:	pdl:8600.79 	 Rec:921.91 	Time: 1.20
epoch 500:	pdl:6821.51 	 Rec:630.17 	Time: 1.20
epoch 550:	pdl:7735.65 	 Rec:778.16 	Time: 1.20
epoch 600:	pdl:7251.91 	 Rec:855.33 	Time: 1.20
epoch 650:	pdl:5620.13 	 Rec:257.51 	Time: 1.21
epoch 700:	pdl:7080.71 	 Rec:231.25 	Time: 1.20
epoch 750:	pdl:5389.37 	 Rec:229.83 	Time: 1.20
epoch 800:	pdl:7327.43 	 Rec:187.65 	Time: 1.20
epoch 850:	pdl:5660.94 	 Rec:248.80 	Time: 1.20
epoch 900:	pdl:7100.12 	 Rec:180.24 	Time: 1.21
epoch 950:	pdl:5836.28 	 Rec:190.83 	Time: 1.21
epoch 1000:	pdl:5612.46 	 Rec:174.80 	Time: 1.21
epoch 1050:	pdl:6115.43 	 Rec:197.85 	Time: 1.21
epoch 1100:	pdl:5500.68 	 Rec:189.43 	Time: 1.21
epoch 1150:	pdl:5681.18 	 Rec:170.31 	Time: 1.22
epoch 1200:	pdl:5006.73 	 Rec:160.69 	Time: 1.22
epoch 1250:	pdl:5703.80 	 Rec:169.56 	Time: 1.24
epoch 1300:	pdl:6580.22 	 Rec:164.03 	Time: 1.23
epoch 1350:	pdl:5935.96 	 Rec:159.48 	Time: 1.23
epoch 1400:	pdl:4931.10 	 Rec:159.70 	Time: 1.24
epoch 1450:	pdl:5362.15 	 Rec:169.87 	Time: 1.25
epoch 1500:	pdl:5808.98 	 Rec:192.28 	Time: 1.26
epoch 1550:	pdl:4734.60 	 Rec:132.39 	Time: 1.25
epoch 1600:	pdl:5732.28 	 Rec:125.01 	Time: 1.26
epoch 1650:	pdl:5433.22 	 Rec:121.31 	Time: 1.26
epoch 1700:	pdl:5763.45 	 Rec:121.31 	Time: 1.26
epoch 1750:	pdl:4863.57 	 Rec:119.55 	Time: 1.26
epoch 1800:	pdl:5029.70 	 Rec:118.63 	Time: 1.27
epoch 1850:	pdl:4851.43 	 Rec:115.50 	Time: 1.27
epoch 1900:	pdl:5737.31 	 Rec:113.79 	Time: 1.27
epoch 1950:	pdl:5029.66 	 Rec:113.44 	Time: 1.27
epoch 2000:	pdl:4810.30 	 Rec:117.38 	Time: 1.28
epoch 2050:	pdl:5674.10 	 Rec:110.66 	Time: 1.30
epoch 2100:	pdl:5281.58 	 Rec:110.23 	Time: 1.27
epoch 2150:	pdl:5206.33 	 Rec:111.14 	Time: 1.28
epoch 2200:	pdl:5394.47 	 Rec:110.33 	Time: 1.26
epoch 2250:	pdl:6593.84 	 Rec:108.59 	Time: 1.30
epoch 2300:	pdl:4193.46 	 Rec:108.57 	Time: 1.28
epoch 2350:	pdl:5912.50 	 Rec:106.90 	Time: 1.25
epoch 2400:	pdl:4939.72 	 Rec:109.86 	Time: 1.29
epoch 2450:	pdl:5136.67 	 Rec:108.70 	Time: 1.29
epoch 2500:	pdl:5361.16 	 Rec:110.27 	Time: 1.26
epoch 2550:	pdl:5915.26 	 Rec:111.07 	Time: 1.26
epoch 2600:	pdl:5293.03 	 Rec:110.09 	Time: 1.27
epoch 2650:	pdl:5671.58 	 Rec:109.79 	Time: 1.26
epoch 2700:	pdl:4822.52 	 Rec:109.50 	Time: 1.29
epoch 2750:	pdl:5475.17 	 Rec:108.59 	Time: 1.27
epoch 2800:	pdl:4390.00 	 Rec:107.92 	Time: 1.27
epoch 2850:	pdl:4342.53 	 Rec:107.21 	Time: 1.25
epoch 2900:	pdl:6231.29 	 Rec:106.83 	Time: 1.27
epoch 2950:	pdl:4967.41 	 Rec:106.35 	Time: 1.29
epoch 3000:	pdl:4894.97 	 Rec:105.97 	Time: 1.26
epoch 3050:	pdl:4672.31 	 Rec:105.94 	Time: 1.28
epoch 3100:	pdl:5591.38 	 Rec:105.93 	Time: 1.29
epoch 3150:	pdl:4781.77 	 Rec:105.87 	Time: 1.25
epoch 3200:	pdl:4717.90 	 Rec:105.87 	Time: 1.28
epoch 3250:	pdl:4849.31 	 Rec:105.82 	Time: 1.28
epoch 3300:	pdl:6245.74 	 Rec:105.79 	Time: 1.26
epoch 3350:	pdl:5565.22 	 Rec:105.75 	Time: 1.29
epoch 3400:	pdl:5066.36 	 Rec:105.74 	Time: 1.28
epoch 3450:	pdl:5873.17 	 Rec:105.75 	Time: 1.27
epoch 3500:	pdl:4849.40 	 Rec:105.77 	Time: 1.26
epoch 3550:	pdl:4478.68 	 Rec:105.75 	Time: 1.29
epoch 3600:	pdl:5925.96 	 Rec:105.71 	Time: 1.27
epoch 3650:	pdl:4924.45 	 Rec:105.68 	Time: 1.26
epoch 3700:	pdl:5387.33 	 Rec:105.68 	Time: 1.30
epoch 3750:	pdl:5465.19 	 Rec:105.68 	Time: 1.26
epoch 3800:	pdl:5496.64 	 Rec:105.65 	Time: 1.27
epoch 3850:	pdl:5578.02 	 Rec:105.64 	Time: 1.28
epoch 3900:	pdl:5042.32 	 Rec:105.64 	Time: 1.29
epoch 3950:	pdl:6447.01 	 Rec:105.60 	Time: 1.25
epoch 4000:	pdl:5099.89 	 Rec:105.59 	Time: 1.26
epoch 4050:	pdl:5911.78 	 Rec:105.57 	Time: 1.30
epoch 4100:	pdl:7090.86 	 Rec:105.57 	Time: 1.28
epoch 4150:	pdl:5611.39 	 Rec:105.55 	Time: 1.26
epoch 4200:	pdl:5145.81 	 Rec:105.53 	Time: 1.26
epoch 4250:	pdl:5376.11 	 Rec:105.49 	Time: 1.28
epoch 4300:	pdl:5214.81 	 Rec:105.42 	Time: 1.29
epoch 4350:	pdl:4382.34 	 Rec:105.44 	Time: 1.26
epoch 4400:	pdl:4115.70 	 Rec:105.45 	Time: 1.25
epoch 4450:	pdl:4803.45 	 Rec:105.43 	Time: 1.29
epoch 4500:	pdl:5063.72 	 Rec:105.45 	Time: 1.28
epoch 4550:	pdl:5235.95 	 Rec:105.46 	Time: 1.32
epoch 4600:	pdl:5964.12 	 Rec:105.45 	Time: 1.27
epoch 4650:	pdl:5433.74 	 Rec:105.45 	Time: 1.26
epoch 4700:	pdl:5215.57 	 Rec:105.45 	Time: 1.28
epoch 4750:	pdl:4835.17 	 Rec:105.44 	Time: 1.27
