epoch 0:	pdl:1.75e-01 	 Rec:4.97e-03 	 Color:8.02e-02 	Time: 0.02
epoch 50:	pdl:1.66e-01 	 Rec:3.56e-03 	 Color:8.22e-02 	Time: 1.15
epoch 100:	pdl:1.81e-01 	 Rec:3.44e-03 	 Color:8.51e-02 	Time: 1.09
epoch 150:	pdl:1.62e-01 	 Rec:3.07e-03 	 Color:7.84e-02 	Time: 1.05
epoch 200:	pdl:1.61e-01 	 Rec:3.04e-03 	 Color:7.44e-02 	Time: 1.04
epoch 250:	pdl:1.71e-01 	 Rec:2.90e-03 	 Color:7.76e-02 	Time: 1.05
epoch 300:	pdl:1.82e-01 	 Rec:2.79e-03 	 Color:8.14e-02 	Time: 1.07
epoch 350:	pdl:1.63e-01 	 Rec:2.75e-03 	 Color:8.07e-02 	Time: 1.03
epoch 400:	pdl:1.84e-01 	 Rec:2.72e-03 	 Color:9.06e-02 	Time: 1.03
epoch 450:	pdl:1.79e-01 	 Rec:2.62e-03 	 Color:9.39e-02 	Time: 1.04
epoch 500:	pdl:1.65e-01 	 Rec:2.58e-03 	 Color:7.56e-02 	Time: 1.06
epoch 550:	pdl:1.67e-01 	 Rec:2.67e-03 	 Color:8.62e-02 	Time: 1.02
epoch 600:	pdl:1.66e-01 	 Rec:2.47e-03 	 Color:7.69e-02 	Time: 1.07
epoch 650:	pdl:1.74e-01 	 Rec:2.49e-03 	 Color:8.61e-02 	Time: 1.05
epoch 700:	pdl:1.78e-01 	 Rec:2.44e-03 	 Color:8.72e-02 	Time: 1.02
epoch 750:	pdl:1.69e-01 	 Rec:2.40e-03 	 Color:8.64e-02 	Time: 1.03
epoch 800:	pdl:1.77e-01 	 Rec:2.39e-03 	 Color:9.40e-02 	Time: 1.02
epoch 850:	pdl:1.56e-01 	 Rec:2.40e-03 	 Color:8.30e-02 	Time: 1.02
epoch 900:	pdl:1.55e-01 	 Rec:2.51e-03 	 Color:7.64e-02 	Time: 1.04
epoch 950:	pdl:1.66e-01 	 Rec:2.28e-03 	 Color:8.38e-02 	Time: 1.06
epoch 1000:	pdl:1.72e-01 	 Rec:2.27e-03 	 Color:9.00e-02 	Time: 1.03
epoch 1050:	pdl:1.60e-01 	 Rec:2.23e-03 	 Color:8.52e-02 	Time: 1.05
epoch 1100:	pdl:1.76e-01 	 Rec:2.26e-03 	 Color:8.63e-02 	Time: 1.05
epoch 1150:	pdl:1.70e-01 	 Rec:2.21e-03 	 Color:8.91e-02 	Time: 1.03
epoch 1200:	pdl:1.69e-01 	 Rec:2.30e-03 	 Color:8.45e-02 	Time: 1.01
epoch 1250:	pdl:1.79e-01 	 Rec:2.16e-03 	 Color:8.52e-02 	Time: 1.01
epoch 1300:	pdl:1.69e-01 	 Rec:2.17e-03 	 Color:8.50e-02 	Time: 1.04
epoch 1350:	pdl:1.83e-01 	 Rec:2.12e-03 	 Color:9.28e-02 	Time: 1.02
epoch 1400:	pdl:1.69e-01 	 Rec:2.06e-03 	 Color:8.57e-02 	Time: 1.01
epoch 1450:	pdl:1.59e-01 	 Rec:2.08e-03 	 Color:8.25e-02 	Time: 1.01
epoch 1500:	pdl:1.84e-01 	 Rec:2.09e-03 	 Color:9.51e-02 	Time: 1.04
epoch 1550:	pdl:1.94e-01 	 Rec:2.05e-03 	 Color:9.03e-02 	Time: 1.01
epoch 1600:	pdl:1.58e-01 	 Rec:1.99e-03 	 Color:7.89e-02 	Time: 1.01
epoch 1650:	pdl:1.68e-01 	 Rec:2.03e-03 	 Color:8.82e-02 	Time: 1.05
epoch 1700:	pdl:1.92e-01 	 Rec:1.96e-03 	 Color:8.94e-02 	Time: 1.01
epoch 1750:	pdl:1.74e-01 	 Rec:2.11e-03 	 Color:8.38e-02 	Time: 1.05
epoch 1800:	pdl:1.66e-01 	 Rec:1.96e-03 	 Color:8.89e-02 	Time: 1.07
epoch 1850:	pdl:1.80e-01 	 Rec:2.00e-03 	 Color:9.83e-02 	Time: 1.03
epoch 1900:	pdl:1.65e-01 	 Rec:1.91e-03 	 Color:7.82e-02 	Time: 1.03
