epoch 0:	pdl:1.20e-01 	 Rec:3.08e-03 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:1.12e-01 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 3.18
epoch 100:	pdl:1.09e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 3.14
epoch 150:	pdl:1.11e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 3.14
epoch 200:	pdl:1.25e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 3.14
epoch 250:	pdl:1.25e-01 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 3.16
epoch 300:	pdl:1.24e-01 	 Rec:1.36e-03 	 Color:0.00e+00 	Time: 3.15
epoch 350:	pdl:1.05e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 3.15
epoch 400:	pdl:1.08e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 3.15
epoch 450:	pdl:1.18e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 3.16
epoch 500:	pdl:1.12e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 3.16
epoch 550:	pdl:1.44e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 3.14
epoch 600:	pdl:1.31e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 3.16
epoch 650:	pdl:1.08e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 3.14
epoch 700:	pdl:1.23e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 3.13
epoch 750:	pdl:1.10e-01 	 Rec:9.67e-04 	 Color:0.00e+00 	Time: 3.16
epoch 800:	pdl:1.10e-01 	 Rec:9.23e-04 	 Color:0.00e+00 	Time: 3.10
epoch 850:	pdl:1.06e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 3.13
epoch 900:	pdl:1.17e-01 	 Rec:9.53e-04 	 Color:0.00e+00 	Time: 3.14
epoch 950:	pdl:1.18e-01 	 Rec:9.00e-04 	 Color:0.00e+00 	Time: 3.14
epoch 1000:	pdl:1.09e-01 	 Rec:9.77e-04 	 Color:0.00e+00 	Time: 3.14
epoch 1050:	pdl:1.13e-01 	 Rec:9.90e-04 	 Color:0.00e+00 	Time: 3.20
epoch 1100:	pdl:1.06e-01 	 Rec:8.72e-04 	 Color:0.00e+00 	Time: 3.14
epoch 1150:	pdl:1.02e-01 	 Rec:8.18e-04 	 Color:0.00e+00 	Time: 3.15
epoch 1200:	pdl:1.16e-01 	 Rec:7.32e-04 	 Color:0.00e+00 	Time: 3.14
epoch 1250:	pdl:1.12e-01 	 Rec:8.91e-04 	 Color:0.00e+00 	Time: 3.13
epoch 1300:	pdl:9.90e-02 	 Rec:7.62e-04 	 Color:0.00e+00 	Time: 3.14
epoch 1350:	pdl:1.19e-01 	 Rec:8.31e-04 	 Color:0.00e+00 	Time: 2.95
epoch 1400:	pdl:1.09e-01 	 Rec:6.84e-04 	 Color:0.00e+00 	Time: 3.43
epoch 1450:	pdl:1.13e-01 	 Rec:7.92e-04 	 Color:0.00e+00 	Time: 3.47
epoch 1500:	pdl:1.15e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 3.52
epoch 1550:	pdl:1.28e-01 	 Rec:8.41e-04 	 Color:0.00e+00 	Time: 3.47
epoch 1600:	pdl:1.04e-01 	 Rec:7.14e-04 	 Color:0.00e+00 	Time: 3.46
epoch 1650:	pdl:1.16e-01 	 Rec:7.42e-04 	 Color:0.00e+00 	Time: 3.44
