epoch 0:	pdl:1.10e+00 	 Rec:5.85e-02 	 Color:1.97e-01 	Time: 0.02
epoch 50:	pdl:4.27e-01 	 Rec:1.32e-02 	 Color:1.54e-01 	Time: 1.37
epoch 100:	pdl:4.46e-01 	 Rec:1.04e-02 	 Color:1.44e-01 	Time: 1.37
epoch 150:	pdl:3.67e-01 	 Rec:9.58e-03 	 Color:1.46e-01 	Time: 1.35
epoch 200:	pdl:4.33e-01 	 Rec:9.33e-03 	 Color:1.47e-01 	Time: 1.34
epoch 250:	pdl:3.75e-01 	 Rec:8.95e-03 	 Color:1.49e-01 	Time: 1.37
epoch 300:	pdl:3.95e-01 	 Rec:8.89e-03 	 Color:1.39e-01 	Time: 1.35
epoch 350:	pdl:4.06e-01 	 Rec:9.75e-03 	 Color:1.44e-01 	Time: 1.38
epoch 400:	pdl:4.22e-01 	 Rec:8.83e-03 	 Color:1.54e-01 	Time: 1.39
epoch 450:	pdl:4.64e-01 	 Rec:9.67e-03 	 Color:1.33e-01 	Time: 1.38
epoch 500:	pdl:4.32e-01 	 Rec:8.68e-03 	 Color:1.57e-01 	Time: 1.35
epoch 550:	pdl:3.82e-01 	 Rec:8.73e-03 	 Color:1.56e-01 	Time: 1.39
epoch 600:	pdl:4.24e-01 	 Rec:8.64e-03 	 Color:1.58e-01 	Time: 1.37
epoch 650:	pdl:4.41e-01 	 Rec:8.43e-03 	 Color:1.50e-01 	Time: 1.35
epoch 700:	pdl:4.60e-01 	 Rec:8.52e-03 	 Color:1.51e-01 	Time: 1.40
epoch 750:	pdl:4.18e-01 	 Rec:8.29e-03 	 Color:1.43e-01 	Time: 1.38
epoch 800:	pdl:4.11e-01 	 Rec:8.19e-03 	 Color:1.29e-01 	Time: 1.38
epoch 850:	pdl:4.21e-01 	 Rec:7.99e-03 	 Color:1.42e-01 	Time: 1.43
epoch 900:	pdl:3.97e-01 	 Rec:8.30e-03 	 Color:1.32e-01 	Time: 1.38
epoch 950:	pdl:3.95e-01 	 Rec:8.59e-03 	 Color:1.47e-01 	Time: 1.35
epoch 1000:	pdl:4.16e-01 	 Rec:8.00e-03 	 Color:1.54e-01 	Time: 1.41
epoch 1050:	pdl:3.67e-01 	 Rec:7.72e-03 	 Color:1.42e-01 	Time: 1.39
epoch 1100:	pdl:4.18e-01 	 Rec:7.76e-03 	 Color:1.42e-01 	Time: 1.36
epoch 1150:	pdl:3.68e-01 	 Rec:7.97e-03 	 Color:1.43e-01 	Time: 1.35
epoch 1200:	pdl:3.57e-01 	 Rec:8.04e-03 	 Color:1.43e-01 	Time: 1.37
epoch 1250:	pdl:4.58e-01 	 Rec:7.76e-03 	 Color:1.39e-01 	Time: 1.37
epoch 1300:	pdl:4.30e-01 	 Rec:8.11e-03 	 Color:1.46e-01 	Time: 1.36
epoch 1350:	pdl:4.22e-01 	 Rec:7.58e-03 	 Color:1.45e-01 	Time: 1.39
epoch 1400:	pdl:4.28e-01 	 Rec:7.72e-03 	 Color:1.62e-01 	Time: 1.38
epoch 1450:	pdl:4.24e-01 	 Rec:8.19e-03 	 Color:1.51e-01 	Time: 1.39
epoch 1500:	pdl:3.65e-01 	 Rec:7.49e-03 	 Color:1.49e-01 	Time: 1.39
epoch 1550:	pdl:3.73e-01 	 Rec:7.76e-03 	 Color:1.54e-01 	Time: 1.36
epoch 1600:	pdl:3.79e-01 	 Rec:7.54e-03 	 Color:1.54e-01 	Time: 1.41
epoch 1650:	pdl:5.17e-01 	 Rec:7.33e-03 	 Color:1.73e-01 	Time: 1.41
epoch 1700:	pdl:4.51e-01 	 Rec:7.67e-03 	 Color:1.53e-01 	Time: 1.38
epoch 1750:	pdl:3.80e-01 	 Rec:7.44e-03 	 Color:1.40e-01 	Time: 1.38
epoch 1800:	pdl:4.14e-01 	 Rec:7.88e-03 	 Color:1.43e-01 	Time: 1.39
epoch 1850:	pdl:4.24e-01 	 Rec:7.59e-03 	 Color:1.40e-01 	Time: 1.36
epoch 1900:	pdl:3.69e-01 	 Rec:7.41e-03 	 Color:1.44e-01 	Time: 1.37
epoch 1950:	pdl:4.52e-01 	 Rec:7.37e-03 	 Color:1.46e-01 	Time: 1.36
epoch 2000:	pdl:4.06e-01 	 Rec:7.51e-03 	 Color:1.43e-01 	Time: 1.35
epoch 2050:	pdl:4.27e-01 	 Rec:7.31e-03 	 Color:1.53e-01 	Time: 1.38
epoch 2100:	pdl:3.62e-01 	 Rec:7.14e-03 	 Color:1.39e-01 	Time: 1.36
epoch 2150:	pdl:4.12e-01 	 Rec:7.50e-03 	 Color:1.48e-01 	Time: 1.34
epoch 2200:	pdl:3.79e-01 	 Rec:7.33e-03 	 Color:1.36e-01 	Time: 1.37
epoch 2250:	pdl:4.09e-01 	 Rec:7.60e-03 	 Color:1.30e-01 	Time: 1.35
epoch 2300:	pdl:3.65e-01 	 Rec:7.15e-03 	 Color:1.51e-01 	Time: 1.37
epoch 2350:	pdl:4.24e-01 	 Rec:7.15e-03 	 Color:1.37e-01 	Time: 1.35
epoch 2400:	pdl:3.82e-01 	 Rec:7.04e-03 	 Color:1.43e-01 	Time: 1.36
epoch 2450:	pdl:3.70e-01 	 Rec:7.10e-03 	 Color:1.50e-01 	Time: 1.37
epoch 2500:	pdl:4.05e-01 	 Rec:7.15e-03 	 Color:1.57e-01 	Time: 1.40
epoch 2550:	pdl:3.91e-01 	 Rec:7.07e-03 	 Color:1.39e-01 	Time: 1.37
epoch 2600:	pdl:4.02e-01 	 Rec:7.15e-03 	 Color:1.44e-01 	Time: 1.34
epoch 2650:	pdl:3.42e-01 	 Rec:7.01e-03 	 Color:1.49e-01 	Time: 1.36
epoch 2700:	pdl:4.12e-01 	 Rec:6.86e-03 	 Color:1.40e-01 	Time: 1.33
epoch 2750:	pdl:4.15e-01 	 Rec:7.01e-03 	 Color:1.44e-01 	Time: 1.34
epoch 2800:	pdl:3.65e-01 	 Rec:6.89e-03 	 Color:1.43e-01 	Time: 1.37
epoch 2850:	pdl:4.52e-01 	 Rec:7.17e-03 	 Color:1.54e-01 	Time: 1.37
epoch 2900:	pdl:4.80e-01 	 Rec:7.03e-03 	 Color:1.29e-01 	Time: 1.35
epoch 2950:	pdl:3.59e-01 	 Rec:6.80e-03 	 Color:1.39e-01 	Time: 1.33
epoch 3000:	pdl:3.81e-01 	 Rec:6.88e-03 	 Color:1.45e-01 	Time: 1.41
epoch 3050:	pdl:3.90e-01 	 Rec:6.72e-03 	 Color:1.49e-01 	Time: 1.37
epoch 3100:	pdl:3.85e-01 	 Rec:6.80e-03 	 Color:1.53e-01 	Time: 1.35
epoch 3150:	pdl:3.55e-01 	 Rec:7.25e-03 	 Color:1.43e-01 	Time: 1.35
epoch 3200:	pdl:3.63e-01 	 Rec:6.85e-03 	 Color:1.29e-01 	Time: 1.37
