epoch 0:	pdl:2.25e+00 	 Rec:2.47e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:9.72e-01 	 Rec:6.72e-02 	 Color:0.00e+00 	Time: 0.49
epoch 100:	pdl:9.26e-01 	 Rec:3.17e-02 	 Color:0.00e+00 	Time: 0.52
epoch 150:	pdl:8.45e-01 	 Rec:2.04e-02 	 Color:0.00e+00 	Time: 0.52
epoch 200:	pdl:8.57e-01 	 Rec:1.76e-02 	 Color:0.00e+00 	Time: 0.53
epoch 250:	pdl:8.80e-01 	 Rec:1.47e-02 	 Color:0.00e+00 	Time: 0.53
epoch 300:	pdl:8.84e-01 	 Rec:1.29e-02 	 Color:0.00e+00 	Time: 0.53
epoch 350:	pdl:9.14e-01 	 Rec:1.14e-02 	 Color:0.00e+00 	Time: 0.53
epoch 400:	pdl:8.17e-01 	 Rec:1.08e-02 	 Color:0.00e+00 	Time: 0.52
epoch 450:	pdl:9.39e-01 	 Rec:1.07e-02 	 Color:0.00e+00 	Time: 0.53
epoch 500:	pdl:8.90e-01 	 Rec:9.55e-03 	 Color:0.00e+00 	Time: 0.53
epoch 550:	pdl:7.81e-01 	 Rec:9.04e-03 	 Color:0.00e+00 	Time: 0.52
epoch 600:	pdl:8.00e-01 	 Rec:8.87e-03 	 Color:0.00e+00 	Time: 0.53
epoch 650:	pdl:8.55e-01 	 Rec:8.48e-03 	 Color:0.00e+00 	Time: 0.53
epoch 700:	pdl:7.63e-01 	 Rec:7.47e-03 	 Color:0.00e+00 	Time: 0.52
epoch 750:	pdl:7.69e-01 	 Rec:7.40e-03 	 Color:0.00e+00 	Time: 0.52
epoch 800:	pdl:7.30e-01 	 Rec:8.23e-03 	 Color:0.00e+00 	Time: 0.51
epoch 850:	pdl:7.51e-01 	 Rec:7.16e-03 	 Color:0.00e+00 	Time: 0.51
epoch 900:	pdl:8.48e-01 	 Rec:7.22e-03 	 Color:0.00e+00 	Time: 0.51
epoch 950:	pdl:8.63e-01 	 Rec:7.04e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1000:	pdl:8.01e-01 	 Rec:6.34e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1050:	pdl:7.52e-01 	 Rec:6.17e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1100:	pdl:7.53e-01 	 Rec:5.52e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1150:	pdl:8.10e-01 	 Rec:5.87e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1200:	pdl:7.87e-01 	 Rec:5.95e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1250:	pdl:7.51e-01 	 Rec:5.38e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1300:	pdl:7.83e-01 	 Rec:9.11e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1350:	pdl:7.58e-01 	 Rec:5.39e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1400:	pdl:7.55e-01 	 Rec:5.84e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1450:	pdl:7.55e-01 	 Rec:5.67e-03 	 Color:0.00e+00 	Time: 0.53
epoch 1500:	pdl:7.61e-01 	 Rec:4.74e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1550:	pdl:7.62e-01 	 Rec:5.56e-03 	 Color:0.00e+00 	Time: 0.52
