epoch 0:	pdl:1.27e+00 	 Rec:1.20e-01 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:3.41e-01 	 Rec:1.55e-02 	 Color:0.00e+00 	Time: 1.38
epoch 100:	pdl:2.68e-01 	 Rec:1.14e-02 	 Color:0.00e+00 	Time: 1.36
epoch 150:	pdl:3.43e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 1.35
epoch 200:	pdl:2.96e-01 	 Rec:1.11e-02 	 Color:0.00e+00 	Time: 1.36
epoch 250:	pdl:2.84e-01 	 Rec:1.13e-02 	 Color:0.00e+00 	Time: 1.29
epoch 300:	pdl:3.32e-01 	 Rec:1.55e-02 	 Color:0.00e+00 	Time: 1.35
epoch 350:	pdl:3.11e-01 	 Rec:1.52e-02 	 Color:0.00e+00 	Time: 1.38
epoch 400:	pdl:3.34e-01 	 Rec:1.16e-02 	 Color:0.00e+00 	Time: 1.37
epoch 450:	pdl:2.87e-01 	 Rec:1.12e-02 	 Color:0.00e+00 	Time: 1.38
epoch 500:	pdl:2.74e-01 	 Rec:1.18e-02 	 Color:0.00e+00 	Time: 1.39
epoch 550:	pdl:2.78e-01 	 Rec:1.13e-02 	 Color:0.00e+00 	Time: 1.39
epoch 600:	pdl:2.92e-01 	 Rec:1.10e-02 	 Color:0.00e+00 	Time: 1.38
epoch 650:	pdl:2.48e-01 	 Rec:1.05e-02 	 Color:0.00e+00 	Time: 1.38
epoch 700:	pdl:2.77e-01 	 Rec:1.08e-02 	 Color:0.00e+00 	Time: 1.38
epoch 750:	pdl:2.64e-01 	 Rec:9.74e-03 	 Color:0.00e+00 	Time: 1.37
epoch 800:	pdl:3.09e-01 	 Rec:9.61e-03 	 Color:0.00e+00 	Time: 1.37
epoch 850:	pdl:3.31e-01 	 Rec:1.07e-02 	 Color:0.00e+00 	Time: 1.37
epoch 900:	pdl:2.56e-01 	 Rec:1.03e-02 	 Color:0.00e+00 	Time: 1.37
epoch 950:	pdl:2.68e-01 	 Rec:1.01e-02 	 Color:0.00e+00 	Time: 1.41
epoch 1000:	pdl:2.89e-01 	 Rec:1.03e-02 	 Color:0.00e+00 	Time: 1.40
epoch 1050:	pdl:2.75e-01 	 Rec:1.12e-02 	 Color:0.00e+00 	Time: 1.40
epoch 1100:	pdl:2.99e-01 	 Rec:1.05e-02 	 Color:0.00e+00 	Time: 1.38
epoch 1150:	pdl:3.41e-01 	 Rec:1.05e-02 	 Color:0.00e+00 	Time: 1.37
epoch 1200:	pdl:2.64e-01 	 Rec:9.72e-03 	 Color:0.00e+00 	Time: 1.39
epoch 1250:	pdl:2.98e-01 	 Rec:1.01e-02 	 Color:0.00e+00 	Time: 1.40
epoch 1300:	pdl:3.47e-01 	 Rec:1.05e-02 	 Color:0.00e+00 	Time: 1.41
epoch 1350:	pdl:2.84e-01 	 Rec:9.40e-03 	 Color:0.00e+00 	Time: 1.41
epoch 1400:	pdl:2.87e-01 	 Rec:9.59e-03 	 Color:0.00e+00 	Time: 1.40
epoch 1450:	pdl:2.65e-01 	 Rec:9.18e-03 	 Color:0.00e+00 	Time: 1.39
epoch 1500:	pdl:2.53e-01 	 Rec:9.27e-03 	 Color:0.00e+00 	Time: 1.39
epoch 1550:	pdl:2.76e-01 	 Rec:9.85e-03 	 Color:0.00e+00 	Time: 1.37
epoch 1600:	pdl:2.55e-01 	 Rec:9.26e-03 	 Color:0.00e+00 	Time: 1.38
epoch 1650:	pdl:2.83e-01 	 Rec:9.43e-03 	 Color:0.00e+00 	Time: 1.38
epoch 1700:	pdl:2.71e-01 	 Rec:9.36e-03 	 Color:0.00e+00 	Time: 1.38
epoch 1750:	pdl:2.62e-01 	 Rec:9.66e-03 	 Color:0.00e+00 	Time: 1.40
epoch 1800:	pdl:3.01e-01 	 Rec:9.77e-03 	 Color:0.00e+00 	Time: 1.41
epoch 1850:	pdl:2.71e-01 	 Rec:9.16e-03 	 Color:0.00e+00 	Time: 1.41
epoch 1900:	pdl:2.84e-01 	 Rec:9.21e-03 	 Color:0.00e+00 	Time: 1.39
epoch 1950:	pdl:2.75e-01 	 Rec:9.32e-03 	 Color:0.00e+00 	Time: 1.38
epoch 2000:	pdl:2.72e-01 	 Rec:9.37e-03 	 Color:0.00e+00 	Time: 1.38
epoch 2050:	pdl:2.72e-01 	 Rec:9.48e-03 	 Color:0.00e+00 	Time: 1.38
epoch 2100:	pdl:2.53e-01 	 Rec:9.63e-03 	 Color:0.00e+00 	Time: 1.38
epoch 2150:	pdl:2.39e-01 	 Rec:9.50e-03 	 Color:0.00e+00 	Time: 1.38
epoch 2200:	pdl:3.14e-01 	 Rec:9.69e-03 	 Color:0.00e+00 	Time: 1.40
epoch 2250:	pdl:2.44e-01 	 Rec:8.78e-03 	 Color:0.00e+00 	Time: 1.41
epoch 2300:	pdl:2.81e-01 	 Rec:9.35e-03 	 Color:0.00e+00 	Time: 1.41
epoch 2350:	pdl:2.62e-01 	 Rec:9.15e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2400:	pdl:2.96e-01 	 Rec:9.68e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2450:	pdl:2.69e-01 	 Rec:8.93e-03 	 Color:0.00e+00 	Time: 1.41
epoch 2500:	pdl:2.47e-01 	 Rec:9.01e-03 	 Color:0.00e+00 	Time: 1.40
epoch 2550:	pdl:2.75e-01 	 Rec:9.03e-03 	 Color:0.00e+00 	Time: 1.40
epoch 2600:	pdl:2.54e-01 	 Rec:8.94e-03 	 Color:0.00e+00 	Time: 1.41
epoch 2650:	pdl:2.77e-01 	 Rec:9.04e-03 	 Color:0.00e+00 	Time: 1.40
epoch 2700:	pdl:2.61e-01 	 Rec:8.81e-03 	 Color:0.00e+00 	Time: 1.47
epoch 2750:	pdl:2.78e-01 	 Rec:8.83e-03 	 Color:0.00e+00 	Time: 1.41
epoch 2800:	pdl:2.82e-01 	 Rec:9.33e-03 	 Color:0.00e+00 	Time: 1.41
