epoch 0:	pdl:8.32e-01 	 Rec:1.44e-01 	 Color:0.00e+00 	Time: 0.04
epoch 50:	pdl:1.76e-01 	 Rec:9.78e-03 	 Color:0.00e+00 	Time: 3.63
epoch 100:	pdl:2.43e-01 	 Rec:8.79e-03 	 Color:0.00e+00 	Time: 3.59
epoch 150:	pdl:1.61e-01 	 Rec:8.49e-03 	 Color:0.00e+00 	Time: 3.58
epoch 200:	pdl:1.78e-01 	 Rec:1.04e-02 	 Color:0.00e+00 	Time: 3.60
epoch 250:	pdl:1.53e-01 	 Rec:8.40e-03 	 Color:0.00e+00 	Time: 3.59
epoch 300:	pdl:1.95e-01 	 Rec:8.49e-03 	 Color:0.00e+00 	Time: 3.60
epoch 350:	pdl:1.45e-01 	 Rec:8.10e-03 	 Color:0.00e+00 	Time: 3.58
epoch 400:	pdl:1.83e-01 	 Rec:8.70e-03 	 Color:0.00e+00 	Time: 3.56
epoch 450:	pdl:1.71e-01 	 Rec:7.93e-03 	 Color:0.00e+00 	Time: 3.58
epoch 500:	pdl:1.66e-01 	 Rec:9.22e-03 	 Color:0.00e+00 	Time: 3.59
epoch 550:	pdl:2.04e-01 	 Rec:7.36e-03 	 Color:0.00e+00 	Time: 3.58
epoch 600:	pdl:1.95e-01 	 Rec:7.26e-03 	 Color:0.00e+00 	Time: 3.56
epoch 650:	pdl:2.50e-01 	 Rec:8.83e-03 	 Color:0.00e+00 	Time: 3.57
epoch 700:	pdl:1.58e-01 	 Rec:7.24e-03 	 Color:0.00e+00 	Time: 3.57
epoch 750:	pdl:1.38e-01 	 Rec:7.06e-03 	 Color:0.00e+00 	Time: 3.57
epoch 800:	pdl:1.54e-01 	 Rec:7.69e-03 	 Color:0.00e+00 	Time: 3.56
epoch 850:	pdl:1.67e-01 	 Rec:7.42e-03 	 Color:0.00e+00 	Time: 3.56
epoch 900:	pdl:1.44e-01 	 Rec:8.61e-03 	 Color:0.00e+00 	Time: 3.58
epoch 950:	pdl:1.35e-01 	 Rec:7.54e-03 	 Color:0.00e+00 	Time: 3.56
epoch 1000:	pdl:1.31e-01 	 Rec:7.11e-03 	 Color:0.00e+00 	Time: 3.57
epoch 1050:	pdl:1.19e-01 	 Rec:6.72e-03 	 Color:0.00e+00 	Time: 3.59
epoch 1100:	pdl:1.30e-01 	 Rec:6.95e-03 	 Color:0.00e+00 	Time: 3.60
epoch 1150:	pdl:1.58e-01 	 Rec:6.93e-03 	 Color:0.00e+00 	Time: 3.59
epoch 1200:	pdl:2.21e-01 	 Rec:7.75e-03 	 Color:0.00e+00 	Time: 3.60
epoch 1250:	pdl:1.71e-01 	 Rec:7.19e-03 	 Color:0.00e+00 	Time: 3.59
epoch 1300:	pdl:2.29e-01 	 Rec:7.82e-03 	 Color:0.00e+00 	Time: 3.60
epoch 1350:	pdl:1.49e-01 	 Rec:7.03e-03 	 Color:0.00e+00 	Time: 3.60
epoch 1400:	pdl:1.32e-01 	 Rec:6.98e-03 	 Color:0.00e+00 	Time: 3.59
epoch 1450:	pdl:1.62e-01 	 Rec:6.96e-03 	 Color:0.00e+00 	Time: 3.59
epoch 1500:	pdl:2.20e-01 	 Rec:6.84e-03 	 Color:0.00e+00 	Time: 3.59
epoch 1550:	pdl:1.39e-01 	 Rec:7.35e-03 	 Color:0.00e+00 	Time: 3.60
epoch 1600:	pdl:1.20e-01 	 Rec:6.56e-03 	 Color:0.00e+00 	Time: 3.59
epoch 1650:	pdl:1.40e-01 	 Rec:6.17e-03 	 Color:0.00e+00 	Time: 3.59
epoch 1700:	pdl:1.38e-01 	 Rec:7.04e-03 	 Color:0.00e+00 	Time: 3.58
epoch 1750:	pdl:1.53e-01 	 Rec:6.18e-03 	 Color:0.00e+00 	Time: 3.61
epoch 1800:	pdl:1.37e-01 	 Rec:6.45e-03 	 Color:0.00e+00 	Time: 3.61
epoch 1850:	pdl:1.49e-01 	 Rec:7.28e-03 	 Color:0.00e+00 	Time: 3.60
epoch 1900:	pdl:1.66e-01 	 Rec:6.38e-03 	 Color:0.00e+00 	Time: 3.56
epoch 1950:	pdl:1.53e-01 	 Rec:6.19e-03 	 Color:0.00e+00 	Time: 3.56
epoch 2000:	pdl:1.59e-01 	 Rec:6.79e-03 	 Color:0.00e+00 	Time: 3.56
epoch 2050:	pdl:1.17e-01 	 Rec:6.16e-03 	 Color:0.00e+00 	Time: 3.63
epoch 2100:	pdl:1.63e-01 	 Rec:6.16e-03 	 Color:0.00e+00 	Time: 3.56
epoch 2150:	pdl:1.79e-01 	 Rec:6.31e-03 	 Color:0.00e+00 	Time: 3.57
epoch 2200:	pdl:1.56e-01 	 Rec:6.77e-03 	 Color:0.00e+00 	Time: 3.58
epoch 2250:	pdl:1.29e-01 	 Rec:6.80e-03 	 Color:0.00e+00 	Time: 3.56
epoch 2300:	pdl:1.42e-01 	 Rec:5.85e-03 	 Color:0.00e+00 	Time: 3.56
epoch 2350:	pdl:1.96e-01 	 Rec:6.55e-03 	 Color:0.00e+00 	Time: 3.56
epoch 2400:	pdl:1.44e-01 	 Rec:5.99e-03 	 Color:0.00e+00 	Time: 3.57
epoch 2450:	pdl:1.30e-01 	 Rec:6.23e-03 	 Color:0.00e+00 	Time: 3.59
epoch 2500:	pdl:1.35e-01 	 Rec:6.20e-03 	 Color:0.00e+00 	Time: 3.28
epoch 2550:	pdl:1.31e-01 	 Rec:6.03e-03 	 Color:0.00e+00 	Time: 3.92
epoch 2600:	pdl:1.35e-01 	 Rec:9.66e-03 	 Color:0.00e+00 	Time: 3.98
epoch 2650:	pdl:1.47e-01 	 Rec:5.85e-03 	 Color:0.00e+00 	Time: 4.00
epoch 2700:	pdl:1.33e-01 	 Rec:6.28e-03 	 Color:0.00e+00 	Time: 3.94
epoch 2750:	pdl:1.59e-01 	 Rec:5.93e-03 	 Color:0.00e+00 	Time: 3.97
epoch 2800:	pdl:1.71e-01 	 Rec:7.24e-03 	 Color:0.00e+00 	Time: 3.95
epoch 2850:	pdl:1.57e-01 	 Rec:6.49e-03 	 Color:0.00e+00 	Time: 3.95
epoch 2900:	pdl:1.17e-01 	 Rec:5.93e-03 	 Color:0.00e+00 	Time: 3.97
epoch 2950:	pdl:1.37e-01 	 Rec:6.61e-03 	 Color:0.00e+00 	Time: 3.97
epoch 3000:	pdl:1.50e-01 	 Rec:6.17e-03 	 Color:0.00e+00 	Time: 3.95
epoch 3050:	pdl:1.36e-01 	 Rec:6.47e-03 	 Color:0.00e+00 	Time: 4.00
epoch 3100:	pdl:1.36e-01 	 Rec:5.94e-03 	 Color:0.00e+00 	Time: 3.94
epoch 3150:	pdl:1.23e-01 	 Rec:5.76e-03 	 Color:0.00e+00 	Time: 3.95
epoch 3200:	pdl:1.18e-01 	 Rec:5.94e-03 	 Color:0.00e+00 	Time: 3.94
epoch 3250:	pdl:1.28e-01 	 Rec:6.19e-03 	 Color:0.00e+00 	Time: 3.95
epoch 3300:	pdl:1.57e-01 	 Rec:6.14e-03 	 Color:0.00e+00 	Time: 3.96
epoch 3350:	pdl:1.74e-01 	 Rec:5.99e-03 	 Color:0.00e+00 	Time: 3.96
epoch 3400:	pdl:1.29e-01 	 Rec:5.87e-03 	 Color:0.00e+00 	Time: 3.95
epoch 3450:	pdl:1.41e-01 	 Rec:6.84e-03 	 Color:0.00e+00 	Time: 3.98
epoch 3500:	pdl:1.44e-01 	 Rec:6.68e-03 	 Color:0.00e+00 	Time: 3.98
epoch 3550:	pdl:1.18e-01 	 Rec:6.82e-03 	 Color:0.00e+00 	Time: 3.95
epoch 3600:	pdl:1.21e-01 	 Rec:5.73e-03 	 Color:0.00e+00 	Time: 3.97
epoch 3650:	pdl:1.26e-01 	 Rec:5.79e-03 	 Color:0.00e+00 	Time: 3.99
epoch 3700:	pdl:1.35e-01 	 Rec:5.90e-03 	 Color:0.00e+00 	Time: 3.99
epoch 3750:	pdl:1.50e-01 	 Rec:6.77e-03 	 Color:0.00e+00 	Time: 3.94
epoch 3800:	pdl:1.35e-01 	 Rec:5.99e-03 	 Color:0.00e+00 	Time: 3.96
epoch 3850:	pdl:2.08e-01 	 Rec:5.78e-03 	 Color:0.00e+00 	Time: 3.94
epoch 3900:	pdl:1.46e-01 	 Rec:6.15e-03 	 Color:0.00e+00 	Time: 3.98
epoch 3950:	pdl:1.15e-01 	 Rec:5.49e-03 	 Color:0.00e+00 	Time: 3.93
epoch 4000:	pdl:1.45e-01 	 Rec:5.67e-03 	 Color:0.00e+00 	Time: 3.96
epoch 4050:	pdl:1.74e-01 	 Rec:5.61e-03 	 Color:0.00e+00 	Time: 4.00
epoch 4100:	pdl:1.18e-01 	 Rec:5.47e-03 	 Color:0.00e+00 	Time: 3.96
epoch 4150:	pdl:1.28e-01 	 Rec:5.74e-03 	 Color:0.00e+00 	Time: 3.96
epoch 4200:	pdl:1.34e-01 	 Rec:6.76e-03 	 Color:0.00e+00 	Time: 3.97
epoch 4250:	pdl:1.37e-01 	 Rec:5.87e-03 	 Color:0.00e+00 	Time: 3.95
epoch 4300:	pdl:1.10e-01 	 Rec:5.42e-03 	 Color:0.00e+00 	Time: 3.97
epoch 4350:	pdl:1.36e-01 	 Rec:5.91e-03 	 Color:0.00e+00 	Time: 3.97
epoch 4400:	pdl:1.25e-01 	 Rec:5.98e-03 	 Color:0.00e+00 	Time: 3.96
epoch 4450:	pdl:1.16e-01 	 Rec:5.71e-03 	 Color:0.00e+00 	Time: 3.95
epoch 4500:	pdl:1.37e-01 	 Rec:5.60e-03 	 Color:0.00e+00 	Time: 3.96
epoch 4550:	pdl:1.37e-01 	 Rec:5.56e-03 	 Color:0.00e+00 	Time: 3.97
epoch 4600:	pdl:1.20e-01 	 Rec:5.48e-03 	 Color:0.00e+00 	Time: 3.94
epoch 4650:	pdl:1.37e-01 	 Rec:5.44e-03 	 Color:0.00e+00 	Time: 3.94
epoch 4700:	pdl:1.29e-01 	 Rec:5.24e-03 	 Color:0.00e+00 	Time: 3.95
epoch 4750:	pdl:1.25e-01 	 Rec:5.48e-03 	 Color:0.00e+00 	Time: 3.96
epoch 4800:	pdl:1.40e-01 	 Rec:5.37e-03 	 Color:0.00e+00 	Time: 3.97
epoch 4850:	pdl:1.38e-01 	 Rec:6.09e-03 	 Color:0.00e+00 	Time: 3.96
epoch 4900:	pdl:1.32e-01 	 Rec:5.21e-03 	 Color:0.00e+00 	Time: 3.97
epoch 4950:	pdl:1.33e-01 	 Rec:5.66e-03 	 Color:0.00e+00 	Time: 3.97
epoch 5000:	pdl:1.14e-01 	 Rec:5.26e-03 	 Color:0.00e+00 	Time: 3.96
epoch 5050:	pdl:1.27e-01 	 Rec:5.27e-03 	 Color:0.00e+00 	Time: 4.10
epoch 5100:	pdl:1.19e-01 	 Rec:5.09e-03 	 Color:0.00e+00 	Time: 4.01
epoch 5150:	pdl:1.74e-01 	 Rec:5.31e-03 	 Color:0.00e+00 	Time: 3.99
epoch 5200:	pdl:1.16e-01 	 Rec:5.51e-03 	 Color:0.00e+00 	Time: 3.96
epoch 5250:	pdl:1.21e-01 	 Rec:5.39e-03 	 Color:0.00e+00 	Time: 4.01
epoch 5300:	pdl:1.22e-01 	 Rec:5.30e-03 	 Color:0.00e+00 	Time: 3.96
epoch 5350:	pdl:1.25e-01 	 Rec:5.04e-03 	 Color:0.00e+00 	Time: 3.97
epoch 5400:	pdl:1.33e-01 	 Rec:5.39e-03 	 Color:0.00e+00 	Time: 3.97
epoch 5450:	pdl:1.41e-01 	 Rec:5.16e-03 	 Color:0.00e+00 	Time: 3.96
