epoch 0:	pdl:1.36e+00 	 Rec:2.47e-01 	 Color:1.62e-01 	Time: 0.01
epoch 50:	pdl:4.42e-01 	 Rec:3.25e-02 	 Color:1.22e-01 	Time: 0.48
epoch 100:	pdl:4.13e-01 	 Rec:1.21e-02 	 Color:1.28e-01 	Time: 0.48
epoch 150:	pdl:4.48e-01 	 Rec:1.36e-02 	 Color:7.01e-02 	Time: 0.47
epoch 200:	pdl:3.77e-01 	 Rec:8.50e-03 	 Color:1.11e-01 	Time: 0.48
epoch 250:	pdl:3.68e-01 	 Rec:8.82e-03 	 Color:9.16e-02 	Time: 0.47
epoch 300:	pdl:3.58e-01 	 Rec:7.38e-03 	 Color:7.87e-02 	Time: 0.47
epoch 350:	pdl:3.94e-01 	 Rec:5.97e-03 	 Color:1.22e-01 	Time: 0.47
epoch 400:	pdl:3.69e-01 	 Rec:5.83e-03 	 Color:1.34e-01 	Time: 0.48
epoch 450:	pdl:3.60e-01 	 Rec:5.61e-03 	 Color:6.37e-02 	Time: 0.48
epoch 500:	pdl:3.88e-01 	 Rec:5.93e-03 	 Color:1.07e-01 	Time: 0.48
epoch 550:	pdl:3.56e-01 	 Rec:5.11e-03 	 Color:1.06e-01 	Time: 0.48
epoch 600:	pdl:3.87e-01 	 Rec:5.83e-03 	 Color:1.00e-01 	Time: 0.48
epoch 650:	pdl:3.80e-01 	 Rec:3.54e-03 	 Color:1.05e-01 	Time: 0.47
epoch 700:	pdl:3.09e-01 	 Rec:4.26e-03 	 Color:6.49e-02 	Time: 0.48
epoch 750:	pdl:3.20e-01 	 Rec:4.51e-03 	 Color:1.07e-01 	Time: 0.48
epoch 800:	pdl:3.57e-01 	 Rec:4.58e-03 	 Color:8.78e-02 	Time: 0.48
epoch 850:	pdl:3.57e-01 	 Rec:4.73e-03 	 Color:7.28e-02 	Time: 0.47
epoch 900:	pdl:3.51e-01 	 Rec:3.75e-03 	 Color:9.54e-02 	Time: 0.48
epoch 950:	pdl:3.85e-01 	 Rec:3.81e-03 	 Color:8.10e-02 	Time: 0.48
epoch 1000:	pdl:3.78e-01 	 Rec:2.88e-03 	 Color:8.33e-02 	Time: 0.48
epoch 1050:	pdl:3.24e-01 	 Rec:4.53e-03 	 Color:9.58e-02 	Time: 0.48
