epoch 0:	pdl:7.97e-01 	 Rec:4.90e-02 	 Color:2.02e-01 	Time: 0.02
epoch 50:	pdl:4.01e-01 	 Rec:4.17e-03 	 Color:2.06e-01 	Time: 0.86
epoch 100:	pdl:3.56e-01 	 Rec:2.56e-03 	 Color:2.27e-01 	Time: 0.84
epoch 150:	pdl:3.77e-01 	 Rec:2.40e-03 	 Color:2.29e-01 	Time: 0.84
epoch 200:	pdl:3.53e-01 	 Rec:1.80e-03 	 Color:2.03e-01 	Time: 0.84
epoch 250:	pdl:3.49e-01 	 Rec:1.76e-03 	 Color:1.99e-01 	Time: 0.85
epoch 300:	pdl:3.64e-01 	 Rec:1.80e-03 	 Color:1.91e-01 	Time: 0.85
epoch 350:	pdl:4.70e-01 	 Rec:3.16e-03 	 Color:2.35e-01 	Time: 0.85
epoch 400:	pdl:3.48e-01 	 Rec:2.43e-03 	 Color:2.09e-01 	Time: 0.85
epoch 450:	pdl:4.09e-01 	 Rec:2.08e-03 	 Color:2.09e-01 	Time: 0.85
epoch 500:	pdl:4.28e-01 	 Rec:1.77e-03 	 Color:2.17e-01 	Time: 0.85
epoch 550:	pdl:3.97e-01 	 Rec:1.82e-03 	 Color:2.17e-01 	Time: 0.85
epoch 600:	pdl:5.09e-01 	 Rec:1.37e-03 	 Color:2.03e-01 	Time: 0.85
epoch 650:	pdl:3.62e-01 	 Rec:1.37e-03 	 Color:2.07e-01 	Time: 0.85
epoch 700:	pdl:3.69e-01 	 Rec:1.58e-03 	 Color:2.19e-01 	Time: 0.85
epoch 750:	pdl:3.84e-01 	 Rec:1.28e-03 	 Color:2.13e-01 	Time: 0.85
epoch 800:	pdl:3.66e-01 	 Rec:1.03e-03 	 Color:2.06e-01 	Time: 0.85
epoch 850:	pdl:4.31e-01 	 Rec:1.01e-03 	 Color:2.21e-01 	Time: 0.85
epoch 900:	pdl:3.68e-01 	 Rec:1.06e-03 	 Color:2.31e-01 	Time: 0.85
epoch 950:	pdl:3.93e-01 	 Rec:9.36e-04 	 Color:2.20e-01 	Time: 0.85
epoch 1000:	pdl:3.95e-01 	 Rec:1.17e-03 	 Color:2.49e-01 	Time: 0.85
epoch 1050:	pdl:3.58e-01 	 Rec:7.76e-04 	 Color:1.93e-01 	Time: 0.81
epoch 1100:	pdl:3.70e-01 	 Rec:8.64e-04 	 Color:2.31e-01 	Time: 0.87
epoch 1150:	pdl:3.34e-01 	 Rec:7.98e-04 	 Color:2.08e-01 	Time: 0.87
