epoch 0:	pdl:1.98e+00 	 Rec:9.03e-02 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:7.90e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 2.04
epoch 100:	pdl:7.19e-01 	 Rec:1.05e-02 	 Color:0.00e+00 	Time: 2.04
epoch 150:	pdl:5.60e-01 	 Rec:8.58e-03 	 Color:0.00e+00 	Time: 2.02
epoch 200:	pdl:5.75e-01 	 Rec:9.16e-03 	 Color:0.00e+00 	Time: 1.98
epoch 250:	pdl:8.10e-01 	 Rec:1.20e-02 	 Color:0.00e+00 	Time: 2.02
epoch 300:	pdl:5.64e-01 	 Rec:6.26e-03 	 Color:0.00e+00 	Time: 2.04
epoch 350:	pdl:6.42e-01 	 Rec:7.65e-03 	 Color:0.00e+00 	Time: 2.04
epoch 400:	pdl:5.97e-01 	 Rec:7.53e-03 	 Color:0.00e+00 	Time: 2.01
epoch 450:	pdl:6.33e-01 	 Rec:6.59e-03 	 Color:0.00e+00 	Time: 2.08
epoch 500:	pdl:5.69e-01 	 Rec:7.01e-03 	 Color:0.00e+00 	Time: 2.09
epoch 550:	pdl:6.14e-01 	 Rec:6.21e-03 	 Color:0.00e+00 	Time: 2.08
epoch 600:	pdl:5.83e-01 	 Rec:7.85e-03 	 Color:0.00e+00 	Time: 2.05
epoch 650:	pdl:6.44e-01 	 Rec:6.58e-03 	 Color:0.00e+00 	Time: 2.05
epoch 700:	pdl:6.39e-01 	 Rec:8.06e-03 	 Color:0.00e+00 	Time: 2.11
epoch 750:	pdl:6.52e-01 	 Rec:6.10e-03 	 Color:0.00e+00 	Time: 2.17
epoch 800:	pdl:6.36e-01 	 Rec:7.55e-03 	 Color:0.00e+00 	Time: 2.12
epoch 850:	pdl:6.56e-01 	 Rec:5.77e-03 	 Color:0.00e+00 	Time: 2.11
epoch 900:	pdl:6.12e-01 	 Rec:6.86e-03 	 Color:0.00e+00 	Time: 2.11
epoch 950:	pdl:5.71e-01 	 Rec:6.57e-03 	 Color:0.00e+00 	Time: 2.11
epoch 1000:	pdl:6.06e-01 	 Rec:5.75e-03 	 Color:0.00e+00 	Time: 2.12
epoch 1050:	pdl:6.26e-01 	 Rec:5.73e-03 	 Color:0.00e+00 	Time: 2.14
epoch 1100:	pdl:5.67e-01 	 Rec:6.22e-03 	 Color:0.00e+00 	Time: 2.04
epoch 1150:	pdl:8.87e-01 	 Rec:5.62e-03 	 Color:0.00e+00 	Time: 2.05
epoch 1200:	pdl:5.26e-01 	 Rec:5.54e-03 	 Color:0.00e+00 	Time: 2.05
epoch 1250:	pdl:5.66e-01 	 Rec:5.74e-03 	 Color:0.00e+00 	Time: 2.04
epoch 1300:	pdl:5.82e-01 	 Rec:5.60e-03 	 Color:0.00e+00 	Time: 2.03
epoch 1350:	pdl:5.26e-01 	 Rec:5.86e-03 	 Color:0.00e+00 	Time: 2.03
epoch 1400:	pdl:5.54e-01 	 Rec:5.84e-03 	 Color:0.00e+00 	Time: 2.03
epoch 1450:	pdl:6.10e-01 	 Rec:5.41e-03 	 Color:0.00e+00 	Time: 2.02
epoch 1500:	pdl:5.44e-01 	 Rec:5.78e-03 	 Color:0.00e+00 	Time: 2.05
epoch 1550:	pdl:6.24e-01 	 Rec:5.41e-03 	 Color:0.00e+00 	Time: 2.04
epoch 1600:	pdl:5.31e-01 	 Rec:5.40e-03 	 Color:0.00e+00 	Time: 2.05
epoch 1650:	pdl:5.26e-01 	 Rec:5.64e-03 	 Color:0.00e+00 	Time: 2.05
epoch 1700:	pdl:5.57e-01 	 Rec:5.38e-03 	 Color:0.00e+00 	Time: 2.05
epoch 1750:	pdl:5.28e-01 	 Rec:5.30e-03 	 Color:0.00e+00 	Time: 2.06
epoch 1800:	pdl:5.56e-01 	 Rec:5.31e-03 	 Color:0.00e+00 	Time: 2.09
epoch 1850:	pdl:5.92e-01 	 Rec:6.12e-03 	 Color:0.00e+00 	Time: 2.10
epoch 1900:	pdl:5.77e-01 	 Rec:5.87e-03 	 Color:0.00e+00 	Time: 2.07
epoch 1950:	pdl:5.21e-01 	 Rec:5.21e-03 	 Color:0.00e+00 	Time: 2.10
epoch 2000:	pdl:5.68e-01 	 Rec:5.41e-03 	 Color:0.00e+00 	Time: 2.07
epoch 2050:	pdl:5.46e-01 	 Rec:5.43e-03 	 Color:0.00e+00 	Time: 2.10
epoch 2100:	pdl:6.18e-01 	 Rec:6.06e-03 	 Color:0.00e+00 	Time: 2.09
epoch 2150:	pdl:5.62e-01 	 Rec:5.27e-03 	 Color:0.00e+00 	Time: 2.09
epoch 2200:	pdl:5.89e-01 	 Rec:5.29e-03 	 Color:0.00e+00 	Time: 2.09
epoch 2250:	pdl:5.26e-01 	 Rec:5.58e-03 	 Color:0.00e+00 	Time: 2.08
epoch 2300:	pdl:5.43e-01 	 Rec:5.26e-03 	 Color:0.00e+00 	Time: 2.08
epoch 2350:	pdl:5.28e-01 	 Rec:5.38e-03 	 Color:0.00e+00 	Time: 2.09
epoch 2400:	pdl:5.96e-01 	 Rec:5.29e-03 	 Color:0.00e+00 	Time: 2.07
epoch 2450:	pdl:6.01e-01 	 Rec:5.59e-03 	 Color:0.00e+00 	Time: 2.08
epoch 2500:	pdl:5.41e-01 	 Rec:5.49e-03 	 Color:0.00e+00 	Time: 2.09
epoch 2550:	pdl:5.65e-01 	 Rec:5.50e-03 	 Color:0.00e+00 	Time: 2.08
epoch 2600:	pdl:5.08e-01 	 Rec:5.20e-03 	 Color:0.00e+00 	Time: 2.06
epoch 2650:	pdl:5.49e-01 	 Rec:5.36e-03 	 Color:0.00e+00 	Time: 2.04
epoch 2700:	pdl:5.47e-01 	 Rec:5.30e-03 	 Color:0.00e+00 	Time: 2.04
epoch 2750:	pdl:5.24e-01 	 Rec:5.25e-03 	 Color:0.00e+00 	Time: 2.05
epoch 2800:	pdl:5.68e-01 	 Rec:5.28e-03 	 Color:0.00e+00 	Time: 2.00
epoch 2850:	pdl:5.30e-01 	 Rec:4.87e-03 	 Color:0.00e+00 	Time: 2.02
epoch 2900:	pdl:5.16e-01 	 Rec:5.22e-03 	 Color:0.00e+00 	Time: 2.02
epoch 2950:	pdl:5.62e-01 	 Rec:5.16e-03 	 Color:0.00e+00 	Time: 2.03
epoch 3000:	pdl:5.46e-01 	 Rec:4.99e-03 	 Color:0.00e+00 	Time: 2.05
epoch 3050:	pdl:6.03e-01 	 Rec:5.73e-03 	 Color:0.00e+00 	Time: 2.04
epoch 3100:	pdl:5.68e-01 	 Rec:4.95e-03 	 Color:0.00e+00 	Time: 2.05
epoch 3150:	pdl:5.93e-01 	 Rec:6.60e-03 	 Color:0.00e+00 	Time: 2.04
epoch 3200:	pdl:5.48e-01 	 Rec:5.22e-03 	 Color:0.00e+00 	Time: 2.02
epoch 3250:	pdl:5.40e-01 	 Rec:4.88e-03 	 Color:0.00e+00 	Time: 2.02
epoch 3300:	pdl:5.16e-01 	 Rec:4.84e-03 	 Color:0.00e+00 	Time: 2.01
epoch 3350:	pdl:5.64e-01 	 Rec:5.11e-03 	 Color:0.00e+00 	Time: 2.04
epoch 3400:	pdl:6.10e-01 	 Rec:4.82e-03 	 Color:0.00e+00 	Time: 2.06
