epoch 0:	pdl:9.70e-01 	 Rec:1.24e-01 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:4.69e-01 	 Rec:2.36e-02 	 Color:0.00e+00 	Time: 4.02
epoch 100:	pdl:3.65e-01 	 Rec:1.48e-02 	 Color:0.00e+00 	Time: 3.91
epoch 150:	pdl:4.15e-01 	 Rec:1.47e-02 	 Color:0.00e+00 	Time: 3.92
epoch 200:	pdl:4.02e-01 	 Rec:1.39e-02 	 Color:0.00e+00 	Time: 3.82
epoch 250:	pdl:4.07e-01 	 Rec:1.54e-02 	 Color:0.00e+00 	Time: 3.91
epoch 300:	pdl:3.88e-01 	 Rec:1.42e-02 	 Color:0.00e+00 	Time: 3.91
epoch 350:	pdl:4.06e-01 	 Rec:1.65e-02 	 Color:0.00e+00 	Time: 3.92
epoch 400:	pdl:4.03e-01 	 Rec:1.56e-02 	 Color:0.00e+00 	Time: 3.92
epoch 450:	pdl:4.05e-01 	 Rec:1.41e-02 	 Color:0.00e+00 	Time: 3.92
epoch 500:	pdl:3.89e-01 	 Rec:1.59e-02 	 Color:0.00e+00 	Time: 3.55
epoch 550:	pdl:4.08e-01 	 Rec:1.53e-02 	 Color:0.00e+00 	Time: 3.98
epoch 600:	pdl:3.91e-01 	 Rec:1.33e-02 	 Color:0.00e+00 	Time: 3.96
epoch 650:	pdl:4.37e-01 	 Rec:1.54e-02 	 Color:0.00e+00 	Time: 3.96
epoch 700:	pdl:4.30e-01 	 Rec:1.47e-02 	 Color:0.00e+00 	Time: 3.97
epoch 750:	pdl:3.84e-01 	 Rec:1.29e-02 	 Color:0.00e+00 	Time: 3.96
epoch 800:	pdl:3.71e-01 	 Rec:1.36e-02 	 Color:0.00e+00 	Time: 3.98
epoch 850:	pdl:3.47e-01 	 Rec:1.26e-02 	 Color:0.00e+00 	Time: 3.97
epoch 900:	pdl:3.57e-01 	 Rec:1.40e-02 	 Color:0.00e+00 	Time: 3.98
epoch 950:	pdl:3.98e-01 	 Rec:1.33e-02 	 Color:0.00e+00 	Time: 3.98
epoch 1000:	pdl:4.53e-01 	 Rec:1.38e-02 	 Color:0.00e+00 	Time: 3.97
epoch 1050:	pdl:3.70e-01 	 Rec:1.34e-02 	 Color:0.00e+00 	Time: 4.10
epoch 1100:	pdl:3.53e-01 	 Rec:1.30e-02 	 Color:0.00e+00 	Time: 3.97
epoch 1150:	pdl:3.95e-01 	 Rec:1.32e-02 	 Color:0.00e+00 	Time: 3.96
epoch 1200:	pdl:3.93e-01 	 Rec:1.29e-02 	 Color:0.00e+00 	Time: 3.82
epoch 1250:	pdl:3.63e-01 	 Rec:1.32e-02 	 Color:0.00e+00 	Time: 3.63
epoch 1300:	pdl:4.13e-01 	 Rec:1.40e-02 	 Color:0.00e+00 	Time: 3.67
epoch 1350:	pdl:4.41e-01 	 Rec:1.43e-02 	 Color:0.00e+00 	Time: 3.66
epoch 1400:	pdl:4.53e-01 	 Rec:1.29e-02 	 Color:0.00e+00 	Time: 3.83
epoch 1450:	pdl:3.94e-01 	 Rec:1.33e-02 	 Color:0.00e+00 	Time: 3.97
epoch 1500:	pdl:4.16e-01 	 Rec:1.48e-02 	 Color:0.00e+00 	Time: 3.98
epoch 1550:	pdl:3.75e-01 	 Rec:1.30e-02 	 Color:0.00e+00 	Time: 3.98
epoch 1600:	pdl:4.03e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 3.97
epoch 1650:	pdl:3.86e-01 	 Rec:1.32e-02 	 Color:0.00e+00 	Time: 3.98
epoch 1700:	pdl:3.58e-01 	 Rec:1.30e-02 	 Color:0.00e+00 	Time: 3.97
epoch 1750:	pdl:4.01e-01 	 Rec:1.29e-02 	 Color:0.00e+00 	Time: 3.98
epoch 1800:	pdl:3.85e-01 	 Rec:1.74e-02 	 Color:0.00e+00 	Time: 3.97
epoch 1850:	pdl:3.72e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 3.97
epoch 1900:	pdl:3.69e-01 	 Rec:1.24e-02 	 Color:0.00e+00 	Time: 3.97
epoch 1950:	pdl:3.83e-01 	 Rec:1.41e-02 	 Color:0.00e+00 	Time: 3.98
epoch 2000:	pdl:3.98e-01 	 Rec:1.29e-02 	 Color:0.00e+00 	Time: 3.98
epoch 2050:	pdl:3.66e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 4.00
epoch 2100:	pdl:3.95e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 3.97
epoch 2150:	pdl:3.77e-01 	 Rec:1.22e-02 	 Color:0.00e+00 	Time: 3.98
epoch 2200:	pdl:3.88e-01 	 Rec:1.31e-02 	 Color:0.00e+00 	Time: 3.95
epoch 2250:	pdl:3.64e-01 	 Rec:1.24e-02 	 Color:0.00e+00 	Time: 3.97
epoch 2300:	pdl:3.93e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 3.95
epoch 2350:	pdl:3.68e-01 	 Rec:1.29e-02 	 Color:0.00e+00 	Time: 3.98
epoch 2400:	pdl:3.83e-01 	 Rec:1.34e-02 	 Color:0.00e+00 	Time: 3.99
epoch 2450:	pdl:3.57e-01 	 Rec:1.23e-02 	 Color:0.00e+00 	Time: 3.99
epoch 2500:	pdl:3.68e-01 	 Rec:1.33e-02 	 Color:0.00e+00 	Time: 3.97
epoch 2550:	pdl:3.59e-01 	 Rec:1.28e-02 	 Color:0.00e+00 	Time: 3.97
epoch 2600:	pdl:3.41e-01 	 Rec:1.30e-02 	 Color:0.00e+00 	Time: 3.98
epoch 2650:	pdl:3.69e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 3.97
epoch 2700:	pdl:4.50e-01 	 Rec:1.30e-02 	 Color:0.00e+00 	Time: 3.97
epoch 2750:	pdl:3.90e-01 	 Rec:1.24e-02 	 Color:0.00e+00 	Time: 3.98
epoch 2800:	pdl:3.70e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 3.96
epoch 2850:	pdl:3.64e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 3.97
epoch 2900:	pdl:3.52e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 3.98
epoch 2950:	pdl:3.51e-01 	 Rec:1.24e-02 	 Color:0.00e+00 	Time: 3.98
epoch 3000:	pdl:3.83e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 3.98
epoch 3050:	pdl:3.69e-01 	 Rec:1.26e-02 	 Color:0.00e+00 	Time: 4.07
epoch 3100:	pdl:3.43e-01 	 Rec:1.23e-02 	 Color:0.00e+00 	Time: 3.98
epoch 3150:	pdl:3.84e-01 	 Rec:1.22e-02 	 Color:0.00e+00 	Time: 3.99
epoch 3200:	pdl:3.73e-01 	 Rec:1.83e-02 	 Color:0.00e+00 	Time: 3.46
epoch 3250:	pdl:3.57e-01 	 Rec:1.23e-02 	 Color:0.00e+00 	Time: 3.10
epoch 3300:	pdl:3.55e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 2.89
epoch 3350:	pdl:4.06e-01 	 Rec:1.34e-02 	 Color:0.00e+00 	Time: 2.90
epoch 3400:	pdl:3.92e-01 	 Rec:1.19e-02 	 Color:0.00e+00 	Time: 2.90
epoch 3450:	pdl:3.76e-01 	 Rec:1.22e-02 	 Color:0.00e+00 	Time: 2.91
epoch 3500:	pdl:3.79e-01 	 Rec:1.21e-02 	 Color:0.00e+00 	Time: 2.90
epoch 3550:	pdl:3.72e-01 	 Rec:1.22e-02 	 Color:0.00e+00 	Time: 2.97
epoch 3600:	pdl:4.11e-01 	 Rec:1.21e-02 	 Color:0.00e+00 	Time: 2.95
epoch 3650:	pdl:3.99e-01 	 Rec:1.19e-02 	 Color:0.00e+00 	Time: 3.54
epoch 3700:	pdl:3.78e-01 	 Rec:1.28e-02 	 Color:0.00e+00 	Time: 3.68
epoch 3750:	pdl:3.74e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 3.63
epoch 3800:	pdl:3.64e-01 	 Rec:1.24e-02 	 Color:0.00e+00 	Time: 3.72
epoch 3850:	pdl:3.75e-01 	 Rec:1.24e-02 	 Color:0.00e+00 	Time: 3.76
epoch 3900:	pdl:3.65e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 3.69
epoch 3950:	pdl:3.62e-01 	 Rec:1.18e-02 	 Color:0.00e+00 	Time: 3.66
epoch 4000:	pdl:3.52e-01 	 Rec:1.19e-02 	 Color:0.00e+00 	Time: 3.72
epoch 4050:	pdl:3.54e-01 	 Rec:1.20e-02 	 Color:0.00e+00 	Time: 3.90
epoch 4100:	pdl:3.64e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 3.64
epoch 4150:	pdl:3.52e-01 	 Rec:1.19e-02 	 Color:0.00e+00 	Time: 3.63
