epoch 0:	pdl:3.82e-01 	 Rec:6.40e-02 	 Color:2.05e-01 	Time: 0.01
epoch 50:	pdl:1.76e-01 	 Rec:3.34e-03 	 Color:1.50e-01 	Time: 0.67
epoch 100:	pdl:1.87e-01 	 Rec:3.45e-03 	 Color:1.41e-01 	Time: 0.66
epoch 150:	pdl:1.33e-01 	 Rec:2.90e-03 	 Color:1.27e-01 	Time: 0.66
epoch 200:	pdl:1.26e-01 	 Rec:2.60e-03 	 Color:1.04e-01 	Time: 0.65
epoch 250:	pdl:1.28e-01 	 Rec:3.16e-03 	 Color:1.21e-01 	Time: 0.65
epoch 300:	pdl:1.30e-01 	 Rec:2.42e-03 	 Color:1.10e-01 	Time: 0.65
epoch 350:	pdl:1.10e-01 	 Rec:2.25e-03 	 Color:9.50e-02 	Time: 0.65
epoch 400:	pdl:1.41e-01 	 Rec:2.41e-03 	 Color:1.03e-01 	Time: 0.65
epoch 450:	pdl:1.16e-01 	 Rec:1.81e-03 	 Color:9.25e-02 	Time: 0.66
epoch 500:	pdl:1.18e-01 	 Rec:2.03e-03 	 Color:1.07e-01 	Time: 0.66
epoch 550:	pdl:1.27e-01 	 Rec:2.31e-03 	 Color:8.69e-02 	Time: 0.66
epoch 600:	pdl:1.27e-01 	 Rec:2.11e-03 	 Color:8.41e-02 	Time: 0.66
epoch 650:	pdl:1.34e-01 	 Rec:1.77e-03 	 Color:8.26e-02 	Time: 0.66
epoch 700:	pdl:1.23e-01 	 Rec:1.76e-03 	 Color:9.30e-02 	Time: 0.66
epoch 750:	pdl:1.04e-01 	 Rec:1.70e-03 	 Color:8.44e-02 	Time: 0.66
epoch 800:	pdl:1.17e-01 	 Rec:1.45e-03 	 Color:7.73e-02 	Time: 0.65
epoch 850:	pdl:1.10e-01 	 Rec:1.53e-03 	 Color:8.97e-02 	Time: 0.66
epoch 900:	pdl:1.11e-01 	 Rec:1.59e-03 	 Color:8.24e-02 	Time: 0.66
epoch 950:	pdl:1.22e-01 	 Rec:1.97e-03 	 Color:8.65e-02 	Time: 0.66
epoch 1000:	pdl:1.03e-01 	 Rec:1.65e-03 	 Color:7.70e-02 	Time: 0.66
epoch 1050:	pdl:1.08e-01 	 Rec:1.36e-03 	 Color:7.53e-02 	Time: 0.67
epoch 1100:	pdl:1.06e-01 	 Rec:1.31e-03 	 Color:8.13e-02 	Time: 0.66
epoch 1150:	pdl:1.10e-01 	 Rec:1.27e-03 	 Color:7.42e-02 	Time: 0.66
epoch 1200:	pdl:1.06e-01 	 Rec:1.45e-03 	 Color:8.01e-02 	Time: 0.66
epoch 1250:	pdl:1.29e-01 	 Rec:1.51e-03 	 Color:8.52e-02 	Time: 0.66
epoch 1300:	pdl:1.12e-01 	 Rec:1.67e-03 	 Color:8.79e-02 	Time: 0.65
epoch 1350:	pdl:1.07e-01 	 Rec:1.15e-03 	 Color:8.63e-02 	Time: 0.66
epoch 1400:	pdl:1.10e-01 	 Rec:1.10e-03 	 Color:7.87e-02 	Time: 0.66
epoch 1450:	pdl:1.26e-01 	 Rec:1.13e-03 	 Color:8.62e-02 	Time: 0.66
epoch 1500:	pdl:1.07e-01 	 Rec:1.41e-03 	 Color:7.51e-02 	Time: 0.65
epoch 1550:	pdl:1.18e-01 	 Rec:1.16e-03 	 Color:8.05e-02 	Time: 0.65
epoch 1600:	pdl:1.12e-01 	 Rec:1.20e-03 	 Color:7.20e-02 	Time: 0.65
epoch 1650:	pdl:1.15e-01 	 Rec:1.20e-03 	 Color:7.69e-02 	Time: 0.67
epoch 1700:	pdl:9.70e-02 	 Rec:1.06e-03 	 Color:6.70e-02 	Time: 0.67
epoch 1750:	pdl:1.03e-01 	 Rec:1.12e-03 	 Color:7.32e-02 	Time: 0.66
epoch 1800:	pdl:1.00e-01 	 Rec:9.76e-04 	 Color:7.08e-02 	Time: 0.66
epoch 1850:	pdl:9.84e-02 	 Rec:1.31e-03 	 Color:6.71e-02 	Time: 0.65
epoch 1900:	pdl:1.02e-01 	 Rec:1.14e-03 	 Color:6.93e-02 	Time: 0.65
epoch 1950:	pdl:1.09e-01 	 Rec:1.01e-03 	 Color:6.52e-02 	Time: 0.65
epoch 2000:	pdl:1.01e-01 	 Rec:1.03e-03 	 Color:7.87e-02 	Time: 0.65
epoch 2050:	pdl:1.05e-01 	 Rec:1.04e-03 	 Color:7.70e-02 	Time: 0.66
epoch 2100:	pdl:1.03e-01 	 Rec:1.16e-03 	 Color:7.53e-02 	Time: 0.65
epoch 2150:	pdl:1.02e-01 	 Rec:1.14e-03 	 Color:7.48e-02 	Time: 0.65
epoch 2200:	pdl:1.15e-01 	 Rec:1.20e-03 	 Color:7.18e-02 	Time: 0.65
epoch 2250:	pdl:1.05e-01 	 Rec:9.21e-04 	 Color:7.40e-02 	Time: 0.66
epoch 2300:	pdl:1.15e-01 	 Rec:9.90e-04 	 Color:7.27e-02 	Time: 0.65
epoch 2350:	pdl:9.87e-02 	 Rec:9.93e-04 	 Color:6.89e-02 	Time: 0.65
epoch 2400:	pdl:1.10e-01 	 Rec:1.11e-03 	 Color:7.40e-02 	Time: 0.70
epoch 2450:	pdl:1.15e-01 	 Rec:1.23e-03 	 Color:6.79e-02 	Time: 0.65
epoch 2500:	pdl:9.92e-02 	 Rec:8.48e-04 	 Color:6.17e-02 	Time: 0.66
epoch 2550:	pdl:1.12e-01 	 Rec:9.90e-04 	 Color:7.21e-02 	Time: 0.65
epoch 2600:	pdl:9.75e-02 	 Rec:8.16e-04 	 Color:7.28e-02 	Time: 0.66
epoch 2650:	pdl:1.05e-01 	 Rec:8.53e-04 	 Color:6.94e-02 	Time: 0.65
epoch 2700:	pdl:9.75e-02 	 Rec:1.04e-03 	 Color:7.32e-02 	Time: 0.66
epoch 2750:	pdl:9.94e-02 	 Rec:9.37e-04 	 Color:6.97e-02 	Time: 0.65
epoch 2800:	pdl:1.03e-01 	 Rec:8.89e-04 	 Color:7.43e-02 	Time: 0.66
epoch 2850:	pdl:1.07e-01 	 Rec:9.66e-04 	 Color:7.42e-02 	Time: 0.65
epoch 2900:	pdl:9.84e-02 	 Rec:8.72e-04 	 Color:6.29e-02 	Time: 0.65
epoch 2950:	pdl:1.18e-01 	 Rec:1.02e-03 	 Color:7.29e-02 	Time: 0.65
epoch 3000:	pdl:1.17e-01 	 Rec:8.06e-04 	 Color:7.91e-02 	Time: 0.65
epoch 3050:	pdl:1.11e-01 	 Rec:1.13e-03 	 Color:8.13e-02 	Time: 0.66
epoch 3100:	pdl:1.08e-01 	 Rec:8.22e-04 	 Color:6.72e-02 	Time: 0.65
epoch 3150:	pdl:9.26e-02 	 Rec:9.94e-04 	 Color:6.15e-02 	Time: 0.66
epoch 3200:	pdl:1.25e-01 	 Rec:6.81e-04 	 Color:6.62e-02 	Time: 0.65
epoch 3250:	pdl:1.00e-01 	 Rec:9.15e-04 	 Color:7.10e-02 	Time: 0.65
epoch 3300:	pdl:9.40e-02 	 Rec:6.61e-04 	 Color:6.70e-02 	Time: 0.64
epoch 3350:	pdl:1.07e-01 	 Rec:1.01e-03 	 Color:7.26e-02 	Time: 0.64
epoch 3400:	pdl:9.79e-02 	 Rec:8.32e-04 	 Color:6.87e-02 	Time: 0.64
epoch 3450:	pdl:1.09e-01 	 Rec:7.48e-04 	 Color:6.46e-02 	Time: 0.64
epoch 3500:	pdl:1.17e-01 	 Rec:8.05e-04 	 Color:7.22e-02 	Time: 0.64
epoch 3550:	pdl:9.85e-02 	 Rec:1.28e-03 	 Color:6.46e-02 	Time: 0.64
epoch 3600:	pdl:1.05e-01 	 Rec:6.40e-04 	 Color:7.34e-02 	Time: 0.64
epoch 3650:	pdl:9.52e-02 	 Rec:7.20e-04 	 Color:7.34e-02 	Time: 0.65
epoch 3700:	pdl:1.15e-01 	 Rec:9.45e-04 	 Color:6.62e-02 	Time: 0.64
epoch 3750:	pdl:9.78e-02 	 Rec:7.36e-04 	 Color:6.29e-02 	Time: 0.64
epoch 3800:	pdl:9.60e-02 	 Rec:9.23e-04 	 Color:6.47e-02 	Time: 0.64
epoch 3850:	pdl:9.88e-02 	 Rec:1.05e-03 	 Color:6.39e-02 	Time: 0.64
epoch 3900:	pdl:1.04e-01 	 Rec:7.60e-04 	 Color:6.09e-02 	Time: 0.64
epoch 3950:	pdl:9.73e-02 	 Rec:6.67e-04 	 Color:6.18e-02 	Time: 0.64
