epoch 0:	pdl:7.69e-01 	 Rec:6.02e-02 	 Color:1.36e-01 	Time: 0.02
epoch 50:	pdl:4.78e-01 	 Rec:1.78e-02 	 Color:1.14e-01 	Time: 1.14
epoch 100:	pdl:4.49e-01 	 Rec:1.00e-02 	 Color:9.05e-02 	Time: 1.12
epoch 150:	pdl:4.49e-01 	 Rec:1.00e-02 	 Color:9.68e-02 	Time: 1.13
epoch 200:	pdl:4.45e-01 	 Rec:9.67e-03 	 Color:9.40e-02 	Time: 1.13
epoch 250:	pdl:4.11e-01 	 Rec:8.89e-03 	 Color:9.01e-02 	Time: 1.15
epoch 300:	pdl:4.34e-01 	 Rec:9.08e-03 	 Color:9.38e-02 	Time: 1.15
epoch 350:	pdl:4.23e-01 	 Rec:9.06e-03 	 Color:8.70e-02 	Time: 1.18
epoch 400:	pdl:4.48e-01 	 Rec:8.73e-03 	 Color:9.88e-02 	Time: 1.14
epoch 450:	pdl:4.35e-01 	 Rec:8.79e-03 	 Color:9.84e-02 	Time: 1.18
epoch 500:	pdl:4.34e-01 	 Rec:7.77e-03 	 Color:1.00e-01 	Time: 1.17
epoch 550:	pdl:4.11e-01 	 Rec:9.05e-03 	 Color:8.69e-02 	Time: 1.08
epoch 600:	pdl:4.12e-01 	 Rec:8.24e-03 	 Color:8.97e-02 	Time: 1.09
epoch 650:	pdl:4.18e-01 	 Rec:8.06e-03 	 Color:7.96e-02 	Time: 1.25
epoch 700:	pdl:3.79e-01 	 Rec:7.63e-03 	 Color:8.40e-02 	Time: 1.24
epoch 750:	pdl:3.68e-01 	 Rec:7.75e-03 	 Color:8.51e-02 	Time: 1.27
epoch 800:	pdl:3.91e-01 	 Rec:7.63e-03 	 Color:7.47e-02 	Time: 1.26
epoch 850:	pdl:4.12e-01 	 Rec:7.55e-03 	 Color:7.53e-02 	Time: 1.26
epoch 900:	pdl:4.10e-01 	 Rec:7.52e-03 	 Color:8.38e-02 	Time: 1.26
epoch 950:	pdl:4.29e-01 	 Rec:7.25e-03 	 Color:9.91e-02 	Time: 1.26
epoch 1000:	pdl:4.42e-01 	 Rec:7.42e-03 	 Color:9.42e-02 	Time: 1.25
epoch 1050:	pdl:4.01e-01 	 Rec:6.69e-03 	 Color:9.33e-02 	Time: 1.26
epoch 1100:	pdl:3.73e-01 	 Rec:6.76e-03 	 Color:7.74e-02 	Time: 1.27
epoch 1150:	pdl:3.84e-01 	 Rec:6.69e-03 	 Color:9.28e-02 	Time: 1.25
epoch 1200:	pdl:3.86e-01 	 Rec:6.93e-03 	 Color:7.58e-02 	Time: 1.28
epoch 1250:	pdl:4.15e-01 	 Rec:7.13e-03 	 Color:8.31e-02 	Time: 1.25
epoch 1300:	pdl:3.83e-01 	 Rec:7.00e-03 	 Color:8.47e-02 	Time: 1.25
epoch 1350:	pdl:4.12e-01 	 Rec:6.17e-03 	 Color:7.80e-02 	Time: 1.24
epoch 1400:	pdl:4.01e-01 	 Rec:6.52e-03 	 Color:9.79e-02 	Time: 1.25
epoch 1450:	pdl:4.09e-01 	 Rec:6.58e-03 	 Color:8.72e-02 	Time: 1.25
epoch 1500:	pdl:4.04e-01 	 Rec:6.62e-03 	 Color:8.89e-02 	Time: 1.26
epoch 1550:	pdl:4.21e-01 	 Rec:6.42e-03 	 Color:8.98e-02 	Time: 1.26
epoch 1600:	pdl:4.33e-01 	 Rec:6.53e-03 	 Color:8.84e-02 	Time: 1.25
epoch 1650:	pdl:4.01e-01 	 Rec:6.49e-03 	 Color:9.41e-02 	Time: 1.34
epoch 1700:	pdl:3.79e-01 	 Rec:6.09e-03 	 Color:8.97e-02 	Time: 1.33
epoch 1750:	pdl:4.13e-01 	 Rec:6.66e-03 	 Color:9.62e-02 	Time: 1.27
epoch 1800:	pdl:3.96e-01 	 Rec:6.32e-03 	 Color:9.04e-02 	Time: 1.31
epoch 1850:	pdl:3.77e-01 	 Rec:6.35e-03 	 Color:8.49e-02 	Time: 1.28
epoch 1900:	pdl:3.91e-01 	 Rec:5.98e-03 	 Color:9.06e-02 	Time: 1.29
epoch 1950:	pdl:4.01e-01 	 Rec:6.02e-03 	 Color:8.68e-02 	Time: 1.30
epoch 2000:	pdl:4.40e-01 	 Rec:6.03e-03 	 Color:7.31e-02 	Time: 1.27
epoch 2050:	pdl:3.94e-01 	 Rec:5.84e-03 	 Color:8.86e-02 	Time: 1.31
epoch 2100:	pdl:4.44e-01 	 Rec:6.08e-03 	 Color:9.34e-02 	Time: 1.29
epoch 2150:	pdl:3.91e-01 	 Rec:5.83e-03 	 Color:7.61e-02 	Time: 1.26
epoch 2200:	pdl:4.00e-01 	 Rec:5.73e-03 	 Color:7.32e-02 	Time: 1.26
epoch 2250:	pdl:4.14e-01 	 Rec:6.00e-03 	 Color:8.48e-02 	Time: 1.24
epoch 2300:	pdl:3.82e-01 	 Rec:5.64e-03 	 Color:8.31e-02 	Time: 1.27
epoch 2350:	pdl:3.69e-01 	 Rec:5.48e-03 	 Color:7.93e-02 	Time: 1.28
epoch 2400:	pdl:4.15e-01 	 Rec:5.77e-03 	 Color:8.53e-02 	Time: 1.26
epoch 2450:	pdl:3.86e-01 	 Rec:5.58e-03 	 Color:8.87e-02 	Time: 1.22
epoch 2500:	pdl:4.07e-01 	 Rec:5.67e-03 	 Color:7.90e-02 	Time: 1.25
epoch 2550:	pdl:3.93e-01 	 Rec:5.95e-03 	 Color:7.97e-02 	Time: 1.23
epoch 2600:	pdl:3.81e-01 	 Rec:5.61e-03 	 Color:7.99e-02 	Time: 1.22
epoch 2650:	pdl:3.86e-01 	 Rec:5.66e-03 	 Color:8.00e-02 	Time: 1.23
epoch 2700:	pdl:4.32e-01 	 Rec:5.71e-03 	 Color:8.47e-02 	Time: 1.22
epoch 2750:	pdl:3.88e-01 	 Rec:5.70e-03 	 Color:8.95e-02 	Time: 1.25
epoch 2800:	pdl:3.73e-01 	 Rec:5.62e-03 	 Color:7.17e-02 	Time: 1.22
epoch 2850:	pdl:3.86e-01 	 Rec:5.73e-03 	 Color:7.14e-02 	Time: 1.23
epoch 2900:	pdl:3.91e-01 	 Rec:5.26e-03 	 Color:6.67e-02 	Time: 1.23
epoch 2950:	pdl:4.02e-01 	 Rec:5.30e-03 	 Color:8.79e-02 	Time: 1.30
epoch 3000:	pdl:3.81e-01 	 Rec:5.57e-03 	 Color:8.12e-02 	Time: 1.25
epoch 3050:	pdl:3.87e-01 	 Rec:5.79e-03 	 Color:8.16e-02 	Time: 1.24
epoch 3100:	pdl:4.02e-01 	 Rec:5.90e-03 	 Color:8.73e-02 	Time: 1.25
