epoch 0:	pdl:1.28e+00 	 Rec:8.85e-02 	 Color:2.15e-01 	Time: 0.02
epoch 50:	pdl:3.35e-01 	 Rec:6.57e-03 	 Color:1.56e-01 	Time: 2.04
epoch 100:	pdl:3.72e-01 	 Rec:7.57e-03 	 Color:1.57e-01 	Time: 2.02
epoch 150:	pdl:3.22e-01 	 Rec:5.55e-03 	 Color:1.55e-01 	Time: 2.00
epoch 200:	pdl:3.26e-01 	 Rec:5.62e-03 	 Color:1.48e-01 	Time: 2.01
epoch 250:	pdl:3.22e-01 	 Rec:5.23e-03 	 Color:1.47e-01 	Time: 2.02
epoch 300:	pdl:3.25e-01 	 Rec:4.32e-03 	 Color:1.56e-01 	Time: 2.06
epoch 350:	pdl:3.49e-01 	 Rec:4.36e-03 	 Color:1.57e-01 	Time: 2.03
epoch 400:	pdl:3.56e-01 	 Rec:4.82e-03 	 Color:1.60e-01 	Time: 2.04
epoch 450:	pdl:3.38e-01 	 Rec:4.71e-03 	 Color:1.61e-01 	Time: 2.00
epoch 500:	pdl:3.42e-01 	 Rec:5.45e-03 	 Color:1.61e-01 	Time: 2.01
epoch 550:	pdl:3.30e-01 	 Rec:5.16e-03 	 Color:1.55e-01 	Time: 1.96
epoch 600:	pdl:3.01e-01 	 Rec:4.05e-03 	 Color:1.57e-01 	Time: 2.01
epoch 650:	pdl:2.98e-01 	 Rec:4.35e-03 	 Color:1.42e-01 	Time: 2.05
epoch 700:	pdl:3.15e-01 	 Rec:3.95e-03 	 Color:1.43e-01 	Time: 2.03
epoch 750:	pdl:3.33e-01 	 Rec:4.46e-03 	 Color:1.48e-01 	Time: 2.01
epoch 800:	pdl:3.04e-01 	 Rec:4.00e-03 	 Color:1.46e-01 	Time: 2.02
epoch 850:	pdl:3.38e-01 	 Rec:3.87e-03 	 Color:1.66e-01 	Time: 2.01
epoch 900:	pdl:3.01e-01 	 Rec:3.77e-03 	 Color:1.69e-01 	Time: 2.00
epoch 950:	pdl:3.28e-01 	 Rec:3.93e-03 	 Color:1.43e-01 	Time: 1.98
