epoch 0:	pdl:1.20e+00 	 Rec:9.24e-02 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:5.16e-01 	 Rec:1.61e-02 	 Color:0.00e+00 	Time: 1.51
epoch 100:	pdl:3.91e-01 	 Rec:1.23e-02 	 Color:0.00e+00 	Time: 1.50
epoch 150:	pdl:4.06e-01 	 Rec:9.62e-03 	 Color:0.00e+00 	Time: 1.51
epoch 200:	pdl:4.05e-01 	 Rec:7.83e-03 	 Color:0.00e+00 	Time: 1.51
epoch 250:	pdl:4.43e-01 	 Rec:8.37e-03 	 Color:0.00e+00 	Time: 1.51
epoch 300:	pdl:4.14e-01 	 Rec:7.32e-03 	 Color:0.00e+00 	Time: 1.50
epoch 350:	pdl:3.65e-01 	 Rec:7.94e-03 	 Color:0.00e+00 	Time: 1.51
epoch 400:	pdl:4.11e-01 	 Rec:8.11e-03 	 Color:0.00e+00 	Time: 1.51
epoch 450:	pdl:3.51e-01 	 Rec:7.63e-03 	 Color:0.00e+00 	Time: 1.51
epoch 500:	pdl:3.60e-01 	 Rec:7.31e-03 	 Color:0.00e+00 	Time: 1.50
epoch 550:	pdl:3.47e-01 	 Rec:7.71e-03 	 Color:0.00e+00 	Time: 1.51
epoch 600:	pdl:3.68e-01 	 Rec:7.09e-03 	 Color:0.00e+00 	Time: 1.51
epoch 650:	pdl:3.49e-01 	 Rec:7.05e-03 	 Color:0.00e+00 	Time: 1.51
epoch 700:	pdl:3.83e-01 	 Rec:7.88e-03 	 Color:0.00e+00 	Time: 1.49
epoch 750:	pdl:3.74e-01 	 Rec:7.42e-03 	 Color:0.00e+00 	Time: 1.51
epoch 800:	pdl:3.68e-01 	 Rec:7.44e-03 	 Color:0.00e+00 	Time: 1.51
epoch 850:	pdl:3.45e-01 	 Rec:7.33e-03 	 Color:0.00e+00 	Time: 1.51
epoch 900:	pdl:3.78e-01 	 Rec:7.50e-03 	 Color:0.00e+00 	Time: 1.51
epoch 950:	pdl:3.44e-01 	 Rec:7.27e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1000:	pdl:4.31e-01 	 Rec:6.87e-03 	 Color:0.00e+00 	Time: 1.50
epoch 1050:	pdl:4.22e-01 	 Rec:7.41e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1100:	pdl:3.62e-01 	 Rec:7.22e-03 	 Color:0.00e+00 	Time: 1.50
epoch 1150:	pdl:3.79e-01 	 Rec:6.66e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1200:	pdl:4.53e-01 	 Rec:7.24e-03 	 Color:0.00e+00 	Time: 1.48
epoch 1250:	pdl:3.85e-01 	 Rec:7.17e-03 	 Color:0.00e+00 	Time: 1.50
epoch 1300:	pdl:3.80e-01 	 Rec:7.83e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1350:	pdl:3.66e-01 	 Rec:7.44e-03 	 Color:0.00e+00 	Time: 1.52
epoch 1400:	pdl:3.51e-01 	 Rec:6.56e-03 	 Color:0.00e+00 	Time: 1.52
epoch 1450:	pdl:3.59e-01 	 Rec:7.06e-03 	 Color:0.00e+00 	Time: 1.52
epoch 1500:	pdl:3.60e-01 	 Rec:6.95e-03 	 Color:0.00e+00 	Time: 1.52
epoch 1550:	pdl:4.10e-01 	 Rec:6.77e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1600:	pdl:4.12e-01 	 Rec:6.76e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1650:	pdl:3.92e-01 	 Rec:6.93e-03 	 Color:0.00e+00 	Time: 1.52
epoch 1700:	pdl:3.87e-01 	 Rec:6.48e-03 	 Color:0.00e+00 	Time: 1.50
epoch 1750:	pdl:3.75e-01 	 Rec:6.73e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1800:	pdl:3.58e-01 	 Rec:6.89e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1850:	pdl:3.56e-01 	 Rec:6.66e-03 	 Color:0.00e+00 	Time: 1.52
epoch 1900:	pdl:3.55e-01 	 Rec:6.92e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1950:	pdl:3.60e-01 	 Rec:7.30e-03 	 Color:0.00e+00 	Time: 1.52
epoch 2000:	pdl:3.57e-01 	 Rec:6.71e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2050:	pdl:3.36e-01 	 Rec:6.80e-03 	 Color:0.00e+00 	Time: 1.49
epoch 2100:	pdl:3.44e-01 	 Rec:6.94e-03 	 Color:0.00e+00 	Time: 1.48
epoch 2150:	pdl:3.70e-01 	 Rec:6.52e-03 	 Color:0.00e+00 	Time: 1.49
epoch 2200:	pdl:3.37e-01 	 Rec:6.61e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2250:	pdl:3.97e-01 	 Rec:6.21e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2300:	pdl:4.12e-01 	 Rec:6.41e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2350:	pdl:3.42e-01 	 Rec:7.23e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2400:	pdl:4.69e-01 	 Rec:6.57e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2450:	pdl:3.43e-01 	 Rec:6.57e-03 	 Color:0.00e+00 	Time: 1.50
epoch 2500:	pdl:3.58e-01 	 Rec:6.24e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2550:	pdl:3.47e-01 	 Rec:6.33e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2600:	pdl:3.45e-01 	 Rec:6.46e-03 	 Color:0.00e+00 	Time: 1.50
epoch 2650:	pdl:4.05e-01 	 Rec:6.32e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2700:	pdl:3.44e-01 	 Rec:6.63e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2750:	pdl:3.55e-01 	 Rec:7.27e-03 	 Color:0.00e+00 	Time: 1.52
epoch 2800:	pdl:4.14e-01 	 Rec:6.15e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2850:	pdl:3.51e-01 	 Rec:6.32e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2900:	pdl:3.73e-01 	 Rec:6.28e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2950:	pdl:3.85e-01 	 Rec:6.37e-03 	 Color:0.00e+00 	Time: 1.50
epoch 3000:	pdl:4.02e-01 	 Rec:6.06e-03 	 Color:0.00e+00 	Time: 1.51
epoch 3050:	pdl:3.72e-01 	 Rec:6.14e-03 	 Color:0.00e+00 	Time: 1.52
epoch 3100:	pdl:3.70e-01 	 Rec:6.05e-03 	 Color:0.00e+00 	Time: 1.51
epoch 3150:	pdl:3.48e-01 	 Rec:6.41e-03 	 Color:0.00e+00 	Time: 1.52
epoch 3200:	pdl:3.55e-01 	 Rec:6.12e-03 	 Color:0.00e+00 	Time: 1.49
epoch 3250:	pdl:3.61e-01 	 Rec:5.97e-03 	 Color:0.00e+00 	Time: 1.48
epoch 3300:	pdl:3.32e-01 	 Rec:5.99e-03 	 Color:0.00e+00 	Time: 1.50
epoch 3350:	pdl:3.77e-01 	 Rec:5.91e-03 	 Color:0.00e+00 	Time: 1.52
epoch 3400:	pdl:3.41e-01 	 Rec:6.00e-03 	 Color:0.00e+00 	Time: 1.52
epoch 3450:	pdl:3.72e-01 	 Rec:6.21e-03 	 Color:0.00e+00 	Time: 1.51
epoch 3500:	pdl:3.59e-01 	 Rec:6.14e-03 	 Color:0.00e+00 	Time: 1.51
epoch 3550:	pdl:3.64e-01 	 Rec:6.11e-03 	 Color:0.00e+00 	Time: 1.52
epoch 3600:	pdl:3.63e-01 	 Rec:6.43e-03 	 Color:0.00e+00 	Time: 1.51
epoch 3650:	pdl:3.83e-01 	 Rec:6.35e-03 	 Color:0.00e+00 	Time: 1.51
epoch 3700:	pdl:3.60e-01 	 Rec:5.84e-03 	 Color:0.00e+00 	Time: 1.50
epoch 3750:	pdl:3.49e-01 	 Rec:6.09e-03 	 Color:0.00e+00 	Time: 1.48
epoch 3800:	pdl:3.37e-01 	 Rec:6.35e-03 	 Color:0.00e+00 	Time: 1.50
epoch 3850:	pdl:3.61e-01 	 Rec:6.07e-03 	 Color:0.00e+00 	Time: 1.50
epoch 3900:	pdl:3.27e-01 	 Rec:5.93e-03 	 Color:0.00e+00 	Time: 1.49
epoch 3950:	pdl:3.60e-01 	 Rec:5.90e-03 	 Color:0.00e+00 	Time: 1.49
epoch 4000:	pdl:3.58e-01 	 Rec:5.90e-03 	 Color:0.00e+00 	Time: 1.50
epoch 4050:	pdl:3.65e-01 	 Rec:6.28e-03 	 Color:0.00e+00 	Time: 1.50
epoch 4100:	pdl:3.39e-01 	 Rec:5.81e-03 	 Color:0.00e+00 	Time: 1.50
epoch 4150:	pdl:3.39e-01 	 Rec:5.91e-03 	 Color:0.00e+00 	Time: 1.49
epoch 4200:	pdl:3.81e-01 	 Rec:6.18e-03 	 Color:0.00e+00 	Time: 1.50
epoch 4250:	pdl:3.82e-01 	 Rec:6.33e-03 	 Color:0.00e+00 	Time: 1.50
epoch 4300:	pdl:3.79e-01 	 Rec:6.01e-03 	 Color:0.00e+00 	Time: 1.50
epoch 4350:	pdl:3.43e-01 	 Rec:5.85e-03 	 Color:0.00e+00 	Time: 1.50
epoch 4400:	pdl:3.76e-01 	 Rec:5.68e-03 	 Color:0.00e+00 	Time: 1.50
