epoch 0:	pdl:9.49e-01 	 Rec:5.72e-02 	 Color:1.95e-01 	Time: 0.02
epoch 50:	pdl:6.77e-01 	 Rec:9.02e-03 	 Color:2.21e-01 	Time: 1.04
epoch 100:	pdl:6.66e-01 	 Rec:7.21e-03 	 Color:2.48e-01 	Time: 1.04
epoch 150:	pdl:6.43e-01 	 Rec:6.31e-03 	 Color:2.52e-01 	Time: 1.04
epoch 200:	pdl:5.91e-01 	 Rec:5.66e-03 	 Color:2.14e-01 	Time: 1.04
epoch 250:	pdl:5.74e-01 	 Rec:5.14e-03 	 Color:2.13e-01 	Time: 1.03
epoch 300:	pdl:5.47e-01 	 Rec:4.67e-03 	 Color:1.93e-01 	Time: 1.03
epoch 350:	pdl:5.47e-01 	 Rec:4.24e-03 	 Color:2.49e-01 	Time: 1.03
epoch 400:	pdl:5.16e-01 	 Rec:3.89e-03 	 Color:2.18e-01 	Time: 1.04
epoch 450:	pdl:5.53e-01 	 Rec:3.56e-03 	 Color:2.14e-01 	Time: 1.03
epoch 500:	pdl:5.50e-01 	 Rec:3.31e-03 	 Color:2.25e-01 	Time: 1.02
epoch 550:	pdl:5.11e-01 	 Rec:3.09e-03 	 Color:2.34e-01 	Time: 1.02
epoch 600:	pdl:5.12e-01 	 Rec:2.94e-03 	 Color:2.25e-01 	Time: 1.01
epoch 650:	pdl:4.96e-01 	 Rec:2.66e-03 	 Color:1.97e-01 	Time: 1.02
epoch 700:	pdl:5.60e-01 	 Rec:2.56e-03 	 Color:2.33e-01 	Time: 1.04
epoch 750:	pdl:5.37e-01 	 Rec:2.44e-03 	 Color:2.08e-01 	Time: 1.03
epoch 800:	pdl:5.17e-01 	 Rec:2.27e-03 	 Color:2.20e-01 	Time: 1.03
epoch 850:	pdl:5.83e-01 	 Rec:2.14e-03 	 Color:2.22e-01 	Time: 1.04
epoch 900:	pdl:5.57e-01 	 Rec:2.04e-03 	 Color:2.45e-01 	Time: 1.04
epoch 950:	pdl:5.56e-01 	 Rec:1.96e-03 	 Color:2.28e-01 	Time: 1.04
epoch 1000:	pdl:5.45e-01 	 Rec:1.82e-03 	 Color:2.43e-01 	Time: 1.04
epoch 1050:	pdl:5.31e-01 	 Rec:1.75e-03 	 Color:1.89e-01 	Time: 1.04
epoch 1100:	pdl:5.65e-01 	 Rec:1.67e-03 	 Color:2.30e-01 	Time: 1.03
epoch 1150:	pdl:5.67e-01 	 Rec:1.64e-03 	 Color:2.34e-01 	Time: 1.03
epoch 1200:	pdl:5.56e-01 	 Rec:1.57e-03 	 Color:2.25e-01 	Time: 1.03
epoch 1250:	pdl:5.63e-01 	 Rec:1.46e-03 	 Color:2.15e-01 	Time: 1.03
epoch 1300:	pdl:5.44e-01 	 Rec:1.46e-03 	 Color:2.32e-01 	Time: 1.03
epoch 1350:	pdl:6.05e-01 	 Rec:1.35e-03 	 Color:2.55e-01 	Time: 1.04
epoch 1400:	pdl:6.08e-01 	 Rec:1.37e-03 	 Color:2.26e-01 	Time: 1.02
epoch 1450:	pdl:6.08e-01 	 Rec:1.30e-03 	 Color:2.65e-01 	Time: 1.02
epoch 1500:	pdl:5.74e-01 	 Rec:1.22e-03 	 Color:2.10e-01 	Time: 1.03
epoch 1550:	pdl:6.03e-01 	 Rec:1.24e-03 	 Color:2.25e-01 	Time: 1.02
epoch 1600:	pdl:5.54e-01 	 Rec:1.18e-03 	 Color:2.20e-01 	Time: 1.03
epoch 1650:	pdl:5.85e-01 	 Rec:1.12e-03 	 Color:2.42e-01 	Time: 1.02
epoch 1700:	pdl:6.05e-01 	 Rec:1.05e-03 	 Color:2.02e-01 	Time: 1.03
epoch 1750:	pdl:5.89e-01 	 Rec:1.12e-03 	 Color:2.27e-01 	Time: 1.03
epoch 1800:	pdl:5.98e-01 	 Rec:9.89e-04 	 Color:2.35e-01 	Time: 1.03
epoch 1850:	pdl:5.61e-01 	 Rec:9.85e-04 	 Color:2.11e-01 	Time: 1.02
