epoch 0:	pdl:1.36e+00 	 Rec:2.47e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.67e-01 	 Rec:3.16e-02 	 Color:0.00e+00 	Time: 0.43
epoch 100:	pdl:5.32e-01 	 Rec:7.91e-03 	 Color:0.00e+00 	Time: 0.43
epoch 150:	pdl:4.75e-01 	 Rec:3.44e-03 	 Color:0.00e+00 	Time: 0.43
epoch 200:	pdl:4.54e-01 	 Rec:1.54e-03 	 Color:0.00e+00 	Time: 0.44
epoch 250:	pdl:5.06e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 0.44
epoch 300:	pdl:4.96e-01 	 Rec:1.64e-03 	 Color:0.00e+00 	Time: 0.44
epoch 350:	pdl:4.93e-01 	 Rec:9.75e-04 	 Color:0.00e+00 	Time: 0.43
epoch 400:	pdl:4.68e-01 	 Rec:4.10e-04 	 Color:0.00e+00 	Time: 0.43
epoch 450:	pdl:4.91e-01 	 Rec:1.20e-04 	 Color:0.00e+00 	Time: 0.43
epoch 500:	pdl:4.88e-01 	 Rec:5.05e-04 	 Color:0.00e+00 	Time: 0.43
epoch 550:	pdl:4.95e-01 	 Rec:2.54e-04 	 Color:0.00e+00 	Time: 0.43
epoch 600:	pdl:5.10e-01 	 Rec:3.75e-05 	 Color:0.00e+00 	Time: 0.43
epoch 650:	pdl:4.91e-01 	 Rec:2.70e-05 	 Color:0.00e+00 	Time: 0.43
epoch 700:	pdl:4.64e-01 	 Rec:2.04e-05 	 Color:0.00e+00 	Time: 0.43
epoch 750:	pdl:4.67e-01 	 Rec:1.60e-05 	 Color:0.00e+00 	Time: 0.43
epoch 800:	pdl:4.96e-01 	 Rec:1.89e-05 	 Color:0.00e+00 	Time: 0.43
epoch 850:	pdl:4.76e-01 	 Rec:1.08e-05 	 Color:0.00e+00 	Time: 0.43
epoch 900:	pdl:4.77e-01 	 Rec:5.31e-06 	 Color:0.00e+00 	Time: 0.43
epoch 950:	pdl:4.90e-01 	 Rec:1.24e-05 	 Color:0.00e+00 	Time: 0.42
epoch 1000:	pdl:4.79e-01 	 Rec:9.45e-06 	 Color:0.00e+00 	Time: 0.43
