epoch 0:	pdl:7.67e-01 	 Rec:6.35e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:4.82e-01 	 Rec:2.44e-03 	 Color:0.00e+00 	Time: 0.53
epoch 100:	pdl:4.22e-01 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 0.52
epoch 150:	pdl:4.08e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.52
epoch 200:	pdl:4.28e-01 	 Rec:9.77e-04 	 Color:0.00e+00 	Time: 0.52
epoch 250:	pdl:4.68e-01 	 Rec:7.40e-04 	 Color:0.00e+00 	Time: 0.52
epoch 300:	pdl:4.35e-01 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 0.52
epoch 350:	pdl:3.92e-01 	 Rec:6.81e-04 	 Color:0.00e+00 	Time: 0.52
epoch 400:	pdl:3.85e-01 	 Rec:4.31e-04 	 Color:0.00e+00 	Time: 0.52
epoch 450:	pdl:4.41e-01 	 Rec:4.62e-04 	 Color:0.00e+00 	Time: 0.52
epoch 500:	pdl:3.81e-01 	 Rec:3.85e-04 	 Color:0.00e+00 	Time: 0.51
epoch 550:	pdl:3.90e-01 	 Rec:3.12e-04 	 Color:0.00e+00 	Time: 0.51
epoch 600:	pdl:4.58e-01 	 Rec:2.34e-04 	 Color:0.00e+00 	Time: 0.52
epoch 650:	pdl:3.87e-01 	 Rec:2.71e-04 	 Color:0.00e+00 	Time: 0.53
epoch 700:	pdl:4.18e-01 	 Rec:2.59e-04 	 Color:0.00e+00 	Time: 0.52
epoch 750:	pdl:4.10e-01 	 Rec:2.00e-04 	 Color:0.00e+00 	Time: 0.52
epoch 800:	pdl:3.80e-01 	 Rec:1.89e-04 	 Color:0.00e+00 	Time: 0.52
epoch 850:	pdl:4.17e-01 	 Rec:1.58e-04 	 Color:0.00e+00 	Time: 0.52
epoch 900:	pdl:4.08e-01 	 Rec:2.34e-04 	 Color:0.00e+00 	Time: 0.52
epoch 950:	pdl:4.37e-01 	 Rec:2.46e-04 	 Color:0.00e+00 	Time: 0.52
epoch 1000:	pdl:3.86e-01 	 Rec:2.04e-04 	 Color:0.00e+00 	Time: 0.52
epoch 1050:	pdl:3.60e-01 	 Rec:1.70e-04 	 Color:0.00e+00 	Time: 0.53
epoch 1100:	pdl:4.33e-01 	 Rec:1.61e-04 	 Color:0.00e+00 	Time: 0.52
epoch 1150:	pdl:4.19e-01 	 Rec:1.41e-04 	 Color:0.00e+00 	Time: 0.52
epoch 1200:	pdl:4.11e-01 	 Rec:1.34e-04 	 Color:0.00e+00 	Time: 0.52
epoch 1250:	pdl:4.54e-01 	 Rec:1.03e-04 	 Color:0.00e+00 	Time: 0.52
epoch 1300:	pdl:3.97e-01 	 Rec:2.02e-04 	 Color:0.00e+00 	Time: 0.52
epoch 1350:	pdl:4.10e-01 	 Rec:5.93e-05 	 Color:0.00e+00 	Time: 0.51
epoch 1400:	pdl:4.10e-01 	 Rec:9.94e-05 	 Color:0.00e+00 	Time: 0.51
epoch 1450:	pdl:4.25e-01 	 Rec:8.84e-05 	 Color:0.00e+00 	Time: 0.51
epoch 1500:	pdl:3.73e-01 	 Rec:9.68e-05 	 Color:0.00e+00 	Time: 0.52
epoch 1550:	pdl:3.85e-01 	 Rec:9.34e-05 	 Color:0.00e+00 	Time: 0.53
epoch 1600:	pdl:3.56e-01 	 Rec:7.93e-05 	 Color:0.00e+00 	Time: 0.52
epoch 1650:	pdl:3.75e-01 	 Rec:9.87e-05 	 Color:0.00e+00 	Time: 0.53
epoch 1700:	pdl:3.55e-01 	 Rec:6.53e-05 	 Color:0.00e+00 	Time: 0.53
epoch 1750:	pdl:3.43e-01 	 Rec:4.44e-05 	 Color:0.00e+00 	Time: 0.52
epoch 1800:	pdl:4.08e-01 	 Rec:1.09e-04 	 Color:0.00e+00 	Time: 0.51
epoch 1850:	pdl:3.82e-01 	 Rec:7.36e-05 	 Color:0.00e+00 	Time: 0.51
epoch 1900:	pdl:3.43e-01 	 Rec:3.15e-05 	 Color:0.00e+00 	Time: 0.50
epoch 1950:	pdl:3.64e-01 	 Rec:1.06e-04 	 Color:0.00e+00 	Time: 0.52
epoch 2000:	pdl:3.89e-01 	 Rec:5.55e-05 	 Color:0.00e+00 	Time: 0.54
epoch 2050:	pdl:3.62e-01 	 Rec:4.20e-05 	 Color:0.00e+00 	Time: 0.54
epoch 2100:	pdl:3.75e-01 	 Rec:2.94e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2150:	pdl:3.48e-01 	 Rec:5.06e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2200:	pdl:3.46e-01 	 Rec:5.25e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2250:	pdl:3.61e-01 	 Rec:4.89e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2300:	pdl:4.33e-01 	 Rec:5.92e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2350:	pdl:3.71e-01 	 Rec:4.92e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2400:	pdl:3.90e-01 	 Rec:2.66e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2450:	pdl:3.68e-01 	 Rec:3.80e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2500:	pdl:3.45e-01 	 Rec:3.03e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2550:	pdl:3.68e-01 	 Rec:6.59e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2600:	pdl:3.35e-01 	 Rec:2.89e-05 	 Color:0.00e+00 	Time: 0.54
epoch 2650:	pdl:3.38e-01 	 Rec:4.78e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2700:	pdl:3.47e-01 	 Rec:4.95e-05 	 Color:0.00e+00 	Time: 0.53
epoch 2750:	pdl:3.73e-01 	 Rec:3.29e-05 	 Color:0.00e+00 	Time: 0.54
epoch 2800:	pdl:3.63e-01 	 Rec:3.25e-05 	 Color:0.00e+00 	Time: 0.54
epoch 2850:	pdl:3.35e-01 	 Rec:3.56e-05 	 Color:0.00e+00 	Time: 0.54
epoch 2900:	pdl:3.60e-01 	 Rec:3.71e-05 	 Color:0.00e+00 	Time: 0.54
epoch 2950:	pdl:3.82e-01 	 Rec:6.25e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3000:	pdl:3.67e-01 	 Rec:4.55e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3050:	pdl:3.67e-01 	 Rec:3.57e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3100:	pdl:3.67e-01 	 Rec:2.79e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3150:	pdl:3.27e-01 	 Rec:1.37e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3200:	pdl:3.60e-01 	 Rec:6.56e-05 	 Color:0.00e+00 	Time: 0.52
epoch 3250:	pdl:3.51e-01 	 Rec:6.61e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3300:	pdl:3.29e-01 	 Rec:4.03e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3350:	pdl:3.45e-01 	 Rec:4.85e-05 	 Color:0.00e+00 	Time: 0.54
epoch 3400:	pdl:3.61e-01 	 Rec:4.21e-05 	 Color:0.00e+00 	Time: 0.54
epoch 3450:	pdl:3.47e-01 	 Rec:5.10e-05 	 Color:0.00e+00 	Time: 0.54
epoch 3500:	pdl:4.46e-01 	 Rec:4.36e-05 	 Color:0.00e+00 	Time: 0.54
epoch 3550:	pdl:3.48e-01 	 Rec:4.59e-05 	 Color:0.00e+00 	Time: 0.54
epoch 3600:	pdl:4.29e-01 	 Rec:2.27e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3650:	pdl:3.73e-01 	 Rec:5.06e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3700:	pdl:3.24e-01 	 Rec:4.02e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3750:	pdl:3.41e-01 	 Rec:3.81e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3800:	pdl:3.72e-01 	 Rec:1.27e-05 	 Color:0.00e+00 	Time: 0.52
epoch 3850:	pdl:3.72e-01 	 Rec:3.07e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3900:	pdl:3.47e-01 	 Rec:6.55e-05 	 Color:0.00e+00 	Time: 0.53
epoch 3950:	pdl:3.86e-01 	 Rec:2.80e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4000:	pdl:4.13e-01 	 Rec:3.27e-05 	 Color:0.00e+00 	Time: 0.52
epoch 4050:	pdl:3.51e-01 	 Rec:5.74e-05 	 Color:0.00e+00 	Time: 0.54
epoch 4100:	pdl:3.45e-01 	 Rec:2.18e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4150:	pdl:3.63e-01 	 Rec:5.11e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4200:	pdl:3.78e-01 	 Rec:5.40e-05 	 Color:0.00e+00 	Time: 0.54
epoch 4250:	pdl:3.57e-01 	 Rec:2.32e-05 	 Color:0.00e+00 	Time: 0.54
epoch 4300:	pdl:3.42e-01 	 Rec:1.66e-05 	 Color:0.00e+00 	Time: 0.54
epoch 4350:	pdl:3.53e-01 	 Rec:1.87e-05 	 Color:0.00e+00 	Time: 0.54
epoch 4400:	pdl:3.62e-01 	 Rec:2.65e-05 	 Color:0.00e+00 	Time: 0.58
epoch 4450:	pdl:3.63e-01 	 Rec:6.76e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4500:	pdl:3.21e-01 	 Rec:3.49e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4550:	pdl:3.53e-01 	 Rec:3.68e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4600:	pdl:3.62e-01 	 Rec:1.47e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4650:	pdl:3.75e-01 	 Rec:4.14e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4700:	pdl:3.51e-01 	 Rec:2.46e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4750:	pdl:3.70e-01 	 Rec:3.15e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4800:	pdl:3.73e-01 	 Rec:2.11e-05 	 Color:0.00e+00 	Time: 0.52
epoch 4850:	pdl:3.60e-01 	 Rec:3.09e-05 	 Color:0.00e+00 	Time: 0.52
epoch 4900:	pdl:3.82e-01 	 Rec:3.29e-05 	 Color:0.00e+00 	Time: 0.53
epoch 4950:	pdl:3.45e-01 	 Rec:4.17e-05 	 Color:0.00e+00 	Time: 0.53
epoch 5000:	pdl:3.37e-01 	 Rec:1.14e-05 	 Color:0.00e+00 	Time: 0.52
epoch 5050:	pdl:3.60e-01 	 Rec:3.07e-05 	 Color:0.00e+00 	Time: 0.54
epoch 5100:	pdl:3.56e-01 	 Rec:1.68e-05 	 Color:0.00e+00 	Time: 0.53
epoch 5150:	pdl:3.54e-01 	 Rec:2.06e-05 	 Color:0.00e+00 	Time: 0.53
epoch 5200:	pdl:3.15e-01 	 Rec:1.59e-05 	 Color:0.00e+00 	Time: 0.54
epoch 5250:	pdl:3.56e-01 	 Rec:3.64e-05 	 Color:0.00e+00 	Time: 0.54
