epoch 0:	style:3.19e-03 	 Rec:3.19e-03 	Time: 0.01
epoch 50:	style:2.17e-03 	 Rec:2.29e-03 	Time: 1.75
epoch 100:	style:1.58e-03 	 Rec:2.09e-03 	Time: 1.68
epoch 150:	style:1.78e-03 	 Rec:1.97e-03 	Time: 1.67
epoch 200:	style:2.12e-03 	 Rec:1.89e-03 	Time: 1.67
epoch 250:	style:1.52e-03 	 Rec:1.85e-03 	Time: 1.70
epoch 300:	style:1.70e-03 	 Rec:1.82e-03 	Time: 1.71
epoch 350:	style:2.19e-03 	 Rec:1.75e-03 	Time: 1.87
epoch 400:	style:1.96e-03 	 Rec:1.70e-03 	Time: 1.68
epoch 450:	style:2.31e-03 	 Rec:1.64e-03 	Time: 1.67
epoch 500:	style:1.75e-03 	 Rec:1.60e-03 	Time: 1.68
epoch 550:	style:2.66e-03 	 Rec:1.64e-03 	Time: 1.69
epoch 600:	style:1.69e-03 	 Rec:1.54e-03 	Time: 1.61
epoch 650:	style:1.90e-03 	 Rec:1.56e-03 	Time: 1.72
epoch 700:	style:1.78e-03 	 Rec:1.46e-03 	Time: 1.72
epoch 750:	style:1.70e-03 	 Rec:1.45e-03 	Time: 1.71
epoch 800:	style:2.21e-03 	 Rec:1.49e-03 	Time: 1.70
epoch 850:	style:1.59e-03 	 Rec:1.45e-03 	Time: 1.68
epoch 900:	style:1.66e-03 	 Rec:1.40e-03 	Time: 1.67
epoch 950:	style:1.60e-03 	 Rec:1.40e-03 	Time: 1.78
epoch 1000:	style:1.53e-03 	 Rec:1.38e-03 	Time: 1.70
epoch 1050:	style:1.75e-03 	 Rec:1.36e-03 	Time: 1.72
epoch 1100:	style:2.06e-03 	 Rec:1.34e-03 	Time: 1.68
epoch 1150:	style:1.58e-03 	 Rec:1.35e-03 	Time: 1.70
epoch 1200:	style:1.68e-03 	 Rec:1.30e-03 	Time: 1.71
epoch 1250:	style:2.71e-03 	 Rec:1.28e-03 	Time: 1.76
epoch 1300:	style:1.64e-03 	 Rec:1.29e-03 	Time: 1.71
epoch 1350:	style:1.55e-03 	 Rec:1.26e-03 	Time: 1.70
epoch 1400:	style:1.84e-03 	 Rec:1.25e-03 	Time: 1.70
epoch 1450:	style:1.79e-03 	 Rec:1.25e-03 	Time: 1.69
epoch 1500:	style:1.49e-03 	 Rec:1.21e-03 	Time: 1.66
