epoch 0:	style:6.50e-02 	 Rec:2.47e-01 	 Color:2.15e-05 	Time: 0.01
epoch 50:	style:1.46e-02 	 Rec:3.16e-03 	 Color:1.58e-05 	Time: 0.53
epoch 100:	style:1.56e-02 	 Rec:8.31e-04 	 Color:1.70e-05 	Time: 0.52
epoch 150:	style:1.41e-02 	 Rec:1.07e-03 	 Color:1.22e-05 	Time: 0.52
epoch 200:	style:1.25e-02 	 Rec:7.13e-04 	 Color:1.34e-05 	Time: 0.54
epoch 250:	style:1.50e-02 	 Rec:7.65e-05 	 Color:1.07e-05 	Time: 0.53
epoch 300:	style:1.59e-02 	 Rec:6.08e-05 	 Color:1.48e-05 	Time: 0.53
epoch 350:	style:1.52e-02 	 Rec:4.42e-05 	 Color:1.45e-05 	Time: 0.53
epoch 400:	style:1.48e-02 	 Rec:4.88e-04 	 Color:1.41e-05 	Time: 0.53
epoch 450:	style:1.78e-02 	 Rec:3.81e-04 	 Color:1.78e-05 	Time: 0.53
epoch 500:	style:1.34e-02 	 Rec:4.22e-05 	 Color:1.62e-05 	Time: 0.53
epoch 550:	style:1.43e-02 	 Rec:3.48e-04 	 Color:1.17e-05 	Time: 0.53
epoch 600:	style:1.58e-02 	 Rec:1.20e-04 	 Color:1.07e-05 	Time: 0.54
epoch 650:	style:1.43e-02 	 Rec:1.06e-03 	 Color:1.35e-05 	Time: 0.54
epoch 700:	style:1.24e-02 	 Rec:3.26e-04 	 Color:1.73e-05 	Time: 0.53
epoch 750:	style:1.40e-02 	 Rec:4.12e-04 	 Color:1.47e-05 	Time: 0.52
epoch 800:	style:1.46e-02 	 Rec:1.35e-04 	 Color:1.20e-05 	Time: 0.53
epoch 850:	style:1.44e-02 	 Rec:5.54e-05 	 Color:1.40e-05 	Time: 0.53
epoch 900:	style:1.51e-02 	 Rec:4.91e-05 	 Color:1.21e-05 	Time: 0.53
epoch 950:	style:1.38e-02 	 Rec:3.12e-04 	 Color:1.42e-05 	Time: 0.53
epoch 1000:	style:1.56e-02 	 Rec:3.34e-04 	 Color:1.44e-05 	Time: 0.53
epoch 1050:	style:1.33e-02 	 Rec:2.17e-04 	 Color:1.35e-05 	Time: 0.54
epoch 1100:	style:1.63e-02 	 Rec:3.73e-05 	 Color:1.49e-05 	Time: 0.53
