epoch 0:	pdl:1.63e+00 	 Rec:2.30e-01 	 Color:1.08e-01 	Time: 0.01
epoch 50:	pdl:7.95e-01 	 Rec:2.52e-02 	 Color:1.08e-01 	Time: 0.39
epoch 100:	pdl:6.47e-01 	 Rec:6.83e-03 	 Color:1.01e-01 	Time: 0.38
epoch 150:	pdl:7.41e-01 	 Rec:2.59e-03 	 Color:1.02e-01 	Time: 0.37
epoch 200:	pdl:7.18e-01 	 Rec:1.54e-03 	 Color:9.86e-02 	Time: 0.38
epoch 250:	pdl:6.60e-01 	 Rec:1.03e-03 	 Color:1.04e-01 	Time: 0.35
epoch 300:	pdl:7.14e-01 	 Rec:1.05e-03 	 Color:1.20e-01 	Time: 0.42
epoch 350:	pdl:6.73e-01 	 Rec:7.99e-04 	 Color:1.21e-01 	Time: 0.40
epoch 400:	pdl:6.31e-01 	 Rec:5.39e-04 	 Color:9.64e-02 	Time: 0.39
epoch 450:	pdl:6.78e-01 	 Rec:8.16e-04 	 Color:9.57e-02 	Time: 0.42
epoch 500:	pdl:6.29e-01 	 Rec:4.65e-04 	 Color:9.73e-02 	Time: 0.35
epoch 550:	pdl:6.26e-01 	 Rec:6.05e-04 	 Color:1.19e-01 	Time: 0.38
epoch 600:	pdl:6.06e-01 	 Rec:4.33e-04 	 Color:1.07e-01 	Time: 0.41
epoch 650:	pdl:6.17e-01 	 Rec:9.48e-04 	 Color:1.10e-01 	Time: 0.39
epoch 700:	pdl:6.29e-01 	 Rec:8.92e-04 	 Color:1.14e-01 	Time: 0.39
epoch 750:	pdl:5.68e-01 	 Rec:4.76e-04 	 Color:8.72e-02 	Time: 0.35
epoch 800:	pdl:6.25e-01 	 Rec:4.95e-04 	 Color:9.69e-02 	Time: 0.39
epoch 850:	pdl:6.39e-01 	 Rec:6.58e-04 	 Color:1.06e-01 	Time: 0.38
epoch 900:	pdl:6.20e-01 	 Rec:4.47e-04 	 Color:1.39e-01 	Time: 0.35
epoch 950:	pdl:6.17e-01 	 Rec:5.62e-04 	 Color:1.13e-01 	Time: 0.39
epoch 1000:	pdl:5.78e-01 	 Rec:4.53e-04 	 Color:1.26e-01 	Time: 0.39
epoch 1050:	pdl:5.88e-01 	 Rec:3.45e-04 	 Color:1.20e-01 	Time: 0.39
epoch 1100:	pdl:5.80e-01 	 Rec:3.30e-04 	 Color:8.50e-02 	Time: 0.39
epoch 1150:	pdl:5.93e-01 	 Rec:4.89e-04 	 Color:9.33e-02 	Time: 0.36
epoch 1200:	pdl:6.07e-01 	 Rec:4.29e-04 	 Color:1.07e-01 	Time: 0.40
epoch 1250:	pdl:5.90e-01 	 Rec:4.37e-04 	 Color:1.04e-01 	Time: 0.38
epoch 1300:	pdl:5.71e-01 	 Rec:2.79e-04 	 Color:1.14e-01 	Time: 0.36
epoch 1350:	pdl:5.80e-01 	 Rec:4.61e-04 	 Color:1.15e-01 	Time: 0.40
epoch 1400:	pdl:5.98e-01 	 Rec:4.20e-04 	 Color:8.63e-02 	Time: 0.42
epoch 1450:	pdl:5.90e-01 	 Rec:3.79e-04 	 Color:1.15e-01 	Time: 0.38
epoch 1500:	pdl:5.47e-01 	 Rec:3.30e-04 	 Color:1.10e-01 	Time: 0.40
epoch 1550:	pdl:5.38e-01 	 Rec:2.71e-04 	 Color:8.98e-02 	Time: 0.33
epoch 1600:	pdl:6.02e-01 	 Rec:4.11e-04 	 Color:1.30e-01 	Time: 0.38
epoch 1650:	pdl:5.49e-01 	 Rec:4.01e-04 	 Color:8.65e-02 	Time: 0.40
epoch 1700:	pdl:6.09e-01 	 Rec:4.87e-04 	 Color:1.09e-01 	Time: 0.33
epoch 1750:	pdl:5.56e-01 	 Rec:3.66e-04 	 Color:1.01e-01 	Time: 0.39
epoch 1800:	pdl:5.99e-01 	 Rec:5.83e-04 	 Color:1.19e-01 	Time: 0.33
epoch 1850:	pdl:5.18e-01 	 Rec:4.93e-04 	 Color:9.38e-02 	Time: 0.38
epoch 1900:	pdl:5.42e-01 	 Rec:7.61e-04 	 Color:9.86e-02 	Time: 0.37
epoch 1950:	pdl:6.19e-01 	 Rec:4.13e-04 	 Color:1.07e-01 	Time: 0.40
epoch 2000:	pdl:5.59e-01 	 Rec:5.98e-04 	 Color:1.15e-01 	Time: 0.37
epoch 2050:	pdl:5.33e-01 	 Rec:3.85e-04 	 Color:9.67e-02 	Time: 0.38
epoch 2100:	pdl:5.44e-01 	 Rec:5.15e-04 	 Color:9.09e-02 	Time: 0.35
epoch 2150:	pdl:5.40e-01 	 Rec:3.88e-04 	 Color:1.03e-01 	Time: 0.37
epoch 2200:	pdl:6.15e-01 	 Rec:3.23e-04 	 Color:1.00e-01 	Time: 0.39
epoch 2250:	pdl:5.52e-01 	 Rec:3.13e-04 	 Color:9.57e-02 	Time: 0.39
epoch 2300:	pdl:6.44e-01 	 Rec:3.68e-04 	 Color:1.17e-01 	Time: 0.39
epoch 2350:	pdl:5.34e-01 	 Rec:3.71e-04 	 Color:1.05e-01 	Time: 0.36
epoch 2400:	pdl:5.74e-01 	 Rec:6.17e-04 	 Color:8.10e-02 	Time: 0.40
epoch 2450:	pdl:5.56e-01 	 Rec:2.27e-04 	 Color:1.09e-01 	Time: 0.38
epoch 2500:	pdl:5.66e-01 	 Rec:3.30e-04 	 Color:1.00e-01 	Time: 0.38
epoch 2550:	pdl:5.54e-01 	 Rec:4.18e-04 	 Color:1.17e-01 	Time: 0.39
epoch 2600:	pdl:5.53e-01 	 Rec:5.08e-04 	 Color:1.14e-01 	Time: 0.36
epoch 2650:	pdl:5.32e-01 	 Rec:4.08e-04 	 Color:1.04e-01 	Time: 0.40
epoch 2700:	pdl:6.01e-01 	 Rec:2.33e-04 	 Color:9.63e-02 	Time: 0.40
epoch 2750:	pdl:5.67e-01 	 Rec:2.94e-04 	 Color:8.77e-02 	Time: 0.37
epoch 2800:	pdl:5.86e-01 	 Rec:5.23e-04 	 Color:1.05e-01 	Time: 0.40
epoch 2850:	pdl:5.30e-01 	 Rec:2.69e-04 	 Color:1.02e-01 	Time: 0.38
epoch 2900:	pdl:6.11e-01 	 Rec:4.28e-04 	 Color:1.03e-01 	Time: 0.38
