epoch 0:	pdl:1.18e+00 	 Rec:1.69e-01 	 Color:3.40e-01 	Time: 0.01
epoch 50:	pdl:6.81e-01 	 Rec:1.28e-02 	 Color:2.48e-01 	Time: 0.72
epoch 100:	pdl:7.20e-01 	 Rec:9.52e-03 	 Color:2.49e-01 	Time: 0.71
epoch 150:	pdl:6.19e-01 	 Rec:7.61e-03 	 Color:2.76e-01 	Time: 0.71
epoch 200:	pdl:6.30e-01 	 Rec:6.73e-03 	 Color:2.87e-01 	Time: 0.70
epoch 250:	pdl:5.94e-01 	 Rec:6.43e-03 	 Color:2.85e-01 	Time: 0.71
epoch 300:	pdl:6.33e-01 	 Rec:5.54e-03 	 Color:2.80e-01 	Time: 0.72
epoch 350:	pdl:5.78e-01 	 Rec:5.71e-03 	 Color:2.50e-01 	Time: 0.71
epoch 400:	pdl:6.17e-01 	 Rec:5.00e-03 	 Color:2.78e-01 	Time: 0.70
epoch 450:	pdl:5.96e-01 	 Rec:5.15e-03 	 Color:2.58e-01 	Time: 0.70
epoch 500:	pdl:6.66e-01 	 Rec:5.98e-03 	 Color:2.88e-01 	Time: 0.70
epoch 550:	pdl:5.88e-01 	 Rec:4.92e-03 	 Color:2.91e-01 	Time: 0.72
epoch 600:	pdl:5.78e-01 	 Rec:4.38e-03 	 Color:2.77e-01 	Time: 0.71
epoch 650:	pdl:6.04e-01 	 Rec:4.54e-03 	 Color:2.72e-01 	Time: 0.71
epoch 700:	pdl:5.90e-01 	 Rec:4.19e-03 	 Color:2.48e-01 	Time: 0.71
epoch 750:	pdl:5.37e-01 	 Rec:3.87e-03 	 Color:2.41e-01 	Time: 0.70
epoch 800:	pdl:5.13e-01 	 Rec:3.79e-03 	 Color:2.10e-01 	Time: 0.70
epoch 850:	pdl:5.49e-01 	 Rec:3.88e-03 	 Color:2.28e-01 	Time: 0.71
epoch 900:	pdl:5.75e-01 	 Rec:3.63e-03 	 Color:2.80e-01 	Time: 0.70
epoch 950:	pdl:5.43e-01 	 Rec:3.61e-03 	 Color:2.25e-01 	Time: 0.71
epoch 1000:	pdl:5.61e-01 	 Rec:3.59e-03 	 Color:2.60e-01 	Time: 0.70
epoch 1050:	pdl:5.87e-01 	 Rec:3.41e-03 	 Color:2.40e-01 	Time: 0.70
epoch 1100:	pdl:6.12e-01 	 Rec:3.65e-03 	 Color:2.88e-01 	Time: 0.71
epoch 1150:	pdl:5.55e-01 	 Rec:3.31e-03 	 Color:2.51e-01 	Time: 0.71
epoch 1200:	pdl:5.57e-01 	 Rec:3.48e-03 	 Color:2.64e-01 	Time: 0.72
epoch 1250:	pdl:5.38e-01 	 Rec:3.05e-03 	 Color:2.15e-01 	Time: 0.71
epoch 1300:	pdl:5.68e-01 	 Rec:3.78e-03 	 Color:2.69e-01 	Time: 0.71
epoch 1350:	pdl:5.70e-01 	 Rec:3.37e-03 	 Color:2.40e-01 	Time: 0.71
epoch 1400:	pdl:5.15e-01 	 Rec:3.99e-03 	 Color:1.96e-01 	Time: 0.71
epoch 1450:	pdl:5.30e-01 	 Rec:2.81e-03 	 Color:2.56e-01 	Time: 0.71
epoch 1500:	pdl:5.43e-01 	 Rec:3.39e-03 	 Color:2.42e-01 	Time: 0.71
epoch 1550:	pdl:6.28e-01 	 Rec:3.73e-03 	 Color:2.70e-01 	Time: 0.71
epoch 1600:	pdl:5.29e-01 	 Rec:3.01e-03 	 Color:2.30e-01 	Time: 0.71
epoch 1650:	pdl:5.97e-01 	 Rec:2.72e-03 	 Color:2.37e-01 	Time: 0.72
epoch 1700:	pdl:5.53e-01 	 Rec:2.79e-03 	 Color:2.39e-01 	Time: 0.72
epoch 1750:	pdl:5.33e-01 	 Rec:2.82e-03 	 Color:2.46e-01 	Time: 0.71
epoch 1800:	pdl:5.38e-01 	 Rec:2.54e-03 	 Color:2.53e-01 	Time: 0.71
epoch 1850:	pdl:5.20e-01 	 Rec:2.62e-03 	 Color:2.19e-01 	Time: 0.71
epoch 1900:	pdl:5.49e-01 	 Rec:2.77e-03 	 Color:2.75e-01 	Time: 0.71
epoch 1950:	pdl:5.69e-01 	 Rec:3.02e-03 	 Color:2.27e-01 	Time: 0.71
epoch 2000:	pdl:5.40e-01 	 Rec:2.31e-03 	 Color:2.24e-01 	Time: 0.69
epoch 2050:	pdl:5.63e-01 	 Rec:2.25e-03 	 Color:2.79e-01 	Time: 0.72
epoch 2100:	pdl:5.29e-01 	 Rec:2.56e-03 	 Color:2.31e-01 	Time: 0.71
epoch 2150:	pdl:5.52e-01 	 Rec:2.66e-03 	 Color:2.02e-01 	Time: 0.71
epoch 2200:	pdl:5.32e-01 	 Rec:2.26e-03 	 Color:2.35e-01 	Time: 0.71
epoch 2250:	pdl:5.22e-01 	 Rec:2.28e-03 	 Color:1.94e-01 	Time: 0.71
epoch 2300:	pdl:5.05e-01 	 Rec:2.62e-03 	 Color:2.22e-01 	Time: 0.70
epoch 2350:	pdl:5.55e-01 	 Rec:2.48e-03 	 Color:2.53e-01 	Time: 0.70
epoch 2400:	pdl:5.34e-01 	 Rec:2.20e-03 	 Color:2.30e-01 	Time: 0.70
epoch 2450:	pdl:5.14e-01 	 Rec:2.29e-03 	 Color:2.27e-01 	Time: 0.70
epoch 2500:	pdl:5.43e-01 	 Rec:2.27e-03 	 Color:2.27e-01 	Time: 0.70
epoch 2550:	pdl:5.58e-01 	 Rec:2.41e-03 	 Color:2.50e-01 	Time: 0.71
epoch 2600:	pdl:5.07e-01 	 Rec:2.11e-03 	 Color:2.25e-01 	Time: 0.70
epoch 2650:	pdl:5.22e-01 	 Rec:1.98e-03 	 Color:2.21e-01 	Time: 0.70
epoch 2700:	pdl:5.93e-01 	 Rec:1.98e-03 	 Color:2.40e-01 	Time: 0.70
epoch 2750:	pdl:5.90e-01 	 Rec:2.18e-03 	 Color:2.61e-01 	Time: 0.68
epoch 2800:	pdl:5.64e-01 	 Rec:2.76e-03 	 Color:2.70e-01 	Time: 0.70
epoch 2850:	pdl:5.33e-01 	 Rec:1.97e-03 	 Color:2.56e-01 	Time: 0.70
epoch 2900:	pdl:5.39e-01 	 Rec:2.30e-03 	 Color:2.29e-01 	Time: 0.70
epoch 2950:	pdl:5.38e-01 	 Rec:2.09e-03 	 Color:2.61e-01 	Time: 0.71
epoch 3000:	pdl:5.45e-01 	 Rec:1.93e-03 	 Color:2.55e-01 	Time: 0.71
epoch 3050:	pdl:5.54e-01 	 Rec:1.85e-03 	 Color:2.48e-01 	Time: 0.69
epoch 3100:	pdl:5.45e-01 	 Rec:2.61e-03 	 Color:2.51e-01 	Time: 0.68
epoch 3150:	pdl:5.31e-01 	 Rec:3.55e-03 	 Color:2.22e-01 	Time: 0.69
epoch 3200:	pdl:5.77e-01 	 Rec:2.33e-03 	 Color:2.67e-01 	Time: 0.69
epoch 3250:	pdl:5.52e-01 	 Rec:2.48e-03 	 Color:2.29e-01 	Time: 0.69
epoch 3300:	pdl:5.20e-01 	 Rec:2.42e-03 	 Color:2.20e-01 	Time: 0.68
epoch 3350:	pdl:5.02e-01 	 Rec:1.82e-03 	 Color:2.33e-01 	Time: 0.69
