epoch 0:	pdl:5.74e-01 	 Rec:1.07e-02 	 Color:3.01e-01 	Time: 0.01
epoch 50:	pdl:4.50e-01 	 Rec:5.44e-03 	 Color:2.61e-01 	Time: 0.63
epoch 100:	pdl:4.82e-01 	 Rec:4.70e-03 	 Color:2.57e-01 	Time: 0.55
epoch 150:	pdl:4.35e-01 	 Rec:4.41e-03 	 Color:2.27e-01 	Time: 0.55
epoch 200:	pdl:4.68e-01 	 Rec:4.75e-03 	 Color:2.41e-01 	Time: 0.55
epoch 250:	pdl:4.39e-01 	 Rec:3.93e-03 	 Color:2.47e-01 	Time: 0.52
epoch 300:	pdl:4.86e-01 	 Rec:4.33e-03 	 Color:2.64e-01 	Time: 0.53
epoch 350:	pdl:4.82e-01 	 Rec:3.80e-03 	 Color:2.84e-01 	Time: 0.55
epoch 400:	pdl:4.40e-01 	 Rec:3.63e-03 	 Color:2.45e-01 	Time: 0.54
epoch 450:	pdl:4.34e-01 	 Rec:3.77e-03 	 Color:2.21e-01 	Time: 0.52
epoch 500:	pdl:4.91e-01 	 Rec:3.26e-03 	 Color:2.93e-01 	Time: 0.52
epoch 550:	pdl:4.55e-01 	 Rec:3.47e-03 	 Color:2.63e-01 	Time: 0.52
epoch 600:	pdl:4.53e-01 	 Rec:3.18e-03 	 Color:2.46e-01 	Time: 0.57
epoch 650:	pdl:4.56e-01 	 Rec:3.40e-03 	 Color:2.65e-01 	Time: 0.52
epoch 700:	pdl:4.39e-01 	 Rec:3.01e-03 	 Color:2.15e-01 	Time: 0.52
epoch 750:	pdl:4.67e-01 	 Rec:3.59e-03 	 Color:2.35e-01 	Time: 0.55
epoch 800:	pdl:4.73e-01 	 Rec:3.31e-03 	 Color:2.61e-01 	Time: 0.55
epoch 850:	pdl:4.22e-01 	 Rec:2.98e-03 	 Color:2.17e-01 	Time: 0.52
epoch 900:	pdl:4.24e-01 	 Rec:3.00e-03 	 Color:2.24e-01 	Time: 0.52
epoch 950:	pdl:4.64e-01 	 Rec:2.92e-03 	 Color:2.71e-01 	Time: 0.52
epoch 1000:	pdl:4.34e-01 	 Rec:2.96e-03 	 Color:2.38e-01 	Time: 0.55
epoch 1050:	pdl:4.42e-01 	 Rec:2.93e-03 	 Color:2.71e-01 	Time: 0.56
epoch 1100:	pdl:4.53e-01 	 Rec:2.97e-03 	 Color:2.43e-01 	Time: 0.54
epoch 1150:	pdl:4.44e-01 	 Rec:2.83e-03 	 Color:2.69e-01 	Time: 0.52
epoch 1200:	pdl:4.21e-01 	 Rec:2.81e-03 	 Color:2.35e-01 	Time: 0.52
epoch 1250:	pdl:4.39e-01 	 Rec:2.70e-03 	 Color:2.23e-01 	Time: 0.55
epoch 1300:	pdl:4.43e-01 	 Rec:2.91e-03 	 Color:2.45e-01 	Time: 0.55
epoch 1350:	pdl:4.36e-01 	 Rec:2.49e-03 	 Color:2.31e-01 	Time: 0.52
epoch 1400:	pdl:4.30e-01 	 Rec:2.52e-03 	 Color:2.33e-01 	Time: 0.53
epoch 1450:	pdl:4.00e-01 	 Rec:2.55e-03 	 Color:2.07e-01 	Time: 0.56
epoch 1500:	pdl:4.27e-01 	 Rec:2.44e-03 	 Color:2.31e-01 	Time: 0.55
epoch 1550:	pdl:4.28e-01 	 Rec:2.36e-03 	 Color:2.13e-01 	Time: 0.56
epoch 1600:	pdl:4.06e-01 	 Rec:2.30e-03 	 Color:2.09e-01 	Time: 0.54
epoch 1650:	pdl:4.48e-01 	 Rec:2.60e-03 	 Color:2.62e-01 	Time: 0.55
epoch 1700:	pdl:4.37e-01 	 Rec:2.35e-03 	 Color:2.39e-01 	Time: 0.55
epoch 1750:	pdl:4.37e-01 	 Rec:2.46e-03 	 Color:2.50e-01 	Time: 0.55
epoch 1800:	pdl:4.44e-01 	 Rec:2.19e-03 	 Color:2.60e-01 	Time: 0.54
