epoch 0:	pdl:1.26e+00 	 Rec:2.56e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.05e-01 	 Rec:8.87e-02 	 Color:0.00e+00 	Time: 0.42
epoch 100:	pdl:5.52e-01 	 Rec:3.05e-02 	 Color:0.00e+00 	Time: 0.40
epoch 150:	pdl:5.25e-01 	 Rec:1.74e-02 	 Color:0.00e+00 	Time: 0.39
epoch 200:	pdl:4.78e-01 	 Rec:1.45e-02 	 Color:0.00e+00 	Time: 0.38
epoch 250:	pdl:4.68e-01 	 Rec:1.28e-02 	 Color:0.00e+00 	Time: 0.40
epoch 300:	pdl:5.06e-01 	 Rec:1.28e-02 	 Color:0.00e+00 	Time: 0.39
epoch 350:	pdl:4.52e-01 	 Rec:9.67e-03 	 Color:0.00e+00 	Time: 0.42
epoch 400:	pdl:4.89e-01 	 Rec:9.35e-03 	 Color:0.00e+00 	Time: 0.42
epoch 450:	pdl:4.37e-01 	 Rec:6.66e-03 	 Color:0.00e+00 	Time: 0.38
epoch 500:	pdl:4.44e-01 	 Rec:7.05e-03 	 Color:0.00e+00 	Time: 0.37
epoch 550:	pdl:4.38e-01 	 Rec:6.37e-03 	 Color:0.00e+00 	Time: 0.39
epoch 600:	pdl:4.58e-01 	 Rec:6.05e-03 	 Color:0.00e+00 	Time: 0.38
epoch 650:	pdl:4.22e-01 	 Rec:6.32e-03 	 Color:0.00e+00 	Time: 0.39
epoch 700:	pdl:4.55e-01 	 Rec:5.93e-03 	 Color:0.00e+00 	Time: 0.39
epoch 750:	pdl:4.21e-01 	 Rec:4.98e-03 	 Color:0.00e+00 	Time: 0.33
epoch 800:	pdl:4.53e-01 	 Rec:5.70e-03 	 Color:0.00e+00 	Time: 0.37
epoch 850:	pdl:4.37e-01 	 Rec:4.57e-03 	 Color:0.00e+00 	Time: 0.40
epoch 900:	pdl:4.13e-01 	 Rec:4.51e-03 	 Color:0.00e+00 	Time: 0.40
epoch 950:	pdl:3.98e-01 	 Rec:5.18e-03 	 Color:0.00e+00 	Time: 0.42
epoch 1000:	pdl:4.22e-01 	 Rec:4.30e-03 	 Color:0.00e+00 	Time: 0.38
epoch 1050:	pdl:4.26e-01 	 Rec:4.02e-03 	 Color:0.00e+00 	Time: 0.40
epoch 1100:	pdl:4.14e-01 	 Rec:5.25e-03 	 Color:0.00e+00 	Time: 0.38
epoch 1150:	pdl:4.00e-01 	 Rec:3.87e-03 	 Color:0.00e+00 	Time: 0.38
epoch 1200:	pdl:4.08e-01 	 Rec:3.54e-03 	 Color:0.00e+00 	Time: 0.39
epoch 1250:	pdl:4.24e-01 	 Rec:3.12e-03 	 Color:0.00e+00 	Time: 0.37
epoch 1300:	pdl:4.12e-01 	 Rec:3.35e-03 	 Color:0.00e+00 	Time: 0.37
epoch 1350:	pdl:3.88e-01 	 Rec:4.00e-03 	 Color:0.00e+00 	Time: 0.38
epoch 1400:	pdl:4.51e-01 	 Rec:3.15e-03 	 Color:0.00e+00 	Time: 0.37
epoch 1450:	pdl:4.28e-01 	 Rec:3.34e-03 	 Color:0.00e+00 	Time: 0.41
epoch 1500:	pdl:3.89e-01 	 Rec:2.89e-03 	 Color:0.00e+00 	Time: 0.40
epoch 1550:	pdl:4.46e-01 	 Rec:3.44e-03 	 Color:0.00e+00 	Time: 0.41
