epoch 0:	pdl:7.23e-01 	 Rec:1.17e-01 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:1.70e-01 	 Rec:6.89e-03 	 Color:0.00e+00 	Time: 2.76
epoch 100:	pdl:1.87e-01 	 Rec:8.67e-03 	 Color:0.00e+00 	Time: 2.69
epoch 150:	pdl:1.50e-01 	 Rec:4.11e-03 	 Color:0.00e+00 	Time: 2.68
epoch 200:	pdl:1.45e-01 	 Rec:8.53e-03 	 Color:0.00e+00 	Time: 2.69
epoch 250:	pdl:1.47e-01 	 Rec:3.97e-03 	 Color:0.00e+00 	Time: 2.68
epoch 300:	pdl:1.84e-01 	 Rec:4.94e-03 	 Color:0.00e+00 	Time: 2.68
epoch 350:	pdl:1.65e-01 	 Rec:3.80e-03 	 Color:0.00e+00 	Time: 2.68
epoch 400:	pdl:1.35e-01 	 Rec:4.17e-03 	 Color:0.00e+00 	Time: 2.68
epoch 450:	pdl:1.45e-01 	 Rec:4.07e-03 	 Color:0.00e+00 	Time: 2.69
epoch 500:	pdl:1.74e-01 	 Rec:5.02e-03 	 Color:0.00e+00 	Time: 2.68
epoch 550:	pdl:2.58e-01 	 Rec:7.13e-03 	 Color:0.00e+00 	Time: 2.68
epoch 600:	pdl:2.09e-01 	 Rec:5.78e-03 	 Color:0.00e+00 	Time: 2.69
epoch 650:	pdl:1.91e-01 	 Rec:4.18e-03 	 Color:0.00e+00 	Time: 2.69
epoch 700:	pdl:1.56e-01 	 Rec:5.59e-03 	 Color:0.00e+00 	Time: 2.69
epoch 750:	pdl:1.50e-01 	 Rec:3.98e-03 	 Color:0.00e+00 	Time: 2.69
epoch 800:	pdl:1.43e-01 	 Rec:3.64e-03 	 Color:0.00e+00 	Time: 2.69
epoch 850:	pdl:1.91e-01 	 Rec:4.27e-03 	 Color:0.00e+00 	Time: 2.70
epoch 900:	pdl:1.40e-01 	 Rec:3.73e-03 	 Color:0.00e+00 	Time: 2.69
epoch 950:	pdl:1.44e-01 	 Rec:3.40e-03 	 Color:0.00e+00 	Time: 2.67
epoch 1000:	pdl:1.32e-01 	 Rec:3.56e-03 	 Color:0.00e+00 	Time: 2.69
epoch 1050:	pdl:2.22e-01 	 Rec:5.29e-03 	 Color:0.00e+00 	Time: 2.71
epoch 1100:	pdl:1.33e-01 	 Rec:3.70e-03 	 Color:0.00e+00 	Time: 2.69
epoch 1150:	pdl:1.56e-01 	 Rec:3.46e-03 	 Color:0.00e+00 	Time: 2.67
epoch 1200:	pdl:1.75e-01 	 Rec:3.49e-03 	 Color:0.00e+00 	Time: 2.69
