epoch 0:	pdl:1.17e-01 	 Rec:2.44e-03 	 Color:2.06e-02 	Time: 0.03
epoch 50:	pdl:1.25e-01 	 Rec:2.11e-03 	 Color:2.55e-02 	Time: 4.09
epoch 100:	pdl:1.23e-01 	 Rec:2.10e-03 	 Color:2.48e-02 	Time: 4.05
epoch 150:	pdl:1.14e-01 	 Rec:2.00e-03 	 Color:2.14e-02 	Time: 4.07
epoch 200:	pdl:1.07e-01 	 Rec:1.98e-03 	 Color:2.31e-02 	Time: 4.07
epoch 250:	pdl:9.77e-02 	 Rec:2.05e-03 	 Color:2.17e-02 	Time: 4.10
epoch 300:	pdl:1.05e-01 	 Rec:1.97e-03 	 Color:2.06e-02 	Time: 4.07
epoch 350:	pdl:1.09e-01 	 Rec:2.05e-03 	 Color:2.15e-02 	Time: 4.11
epoch 400:	pdl:9.78e-02 	 Rec:1.94e-03 	 Color:2.22e-02 	Time: 4.11
epoch 450:	pdl:1.08e-01 	 Rec:1.96e-03 	 Color:2.31e-02 	Time: 4.11
epoch 500:	pdl:9.91e-02 	 Rec:1.92e-03 	 Color:2.20e-02 	Time: 4.11
epoch 550:	pdl:1.04e-01 	 Rec:1.96e-03 	 Color:2.21e-02 	Time: 4.11
epoch 600:	pdl:1.13e-01 	 Rec:1.90e-03 	 Color:2.51e-02 	Time: 4.11
epoch 650:	pdl:1.00e-01 	 Rec:1.99e-03 	 Color:2.14e-02 	Time: 4.12
epoch 700:	pdl:9.84e-02 	 Rec:1.92e-03 	 Color:2.07e-02 	Time: 4.13
epoch 750:	pdl:1.16e-01 	 Rec:1.97e-03 	 Color:2.64e-02 	Time: 4.12
epoch 800:	pdl:1.07e-01 	 Rec:1.84e-03 	 Color:2.08e-02 	Time: 4.12
epoch 850:	pdl:1.13e-01 	 Rec:1.95e-03 	 Color:2.27e-02 	Time: 4.11
epoch 900:	pdl:1.07e-01 	 Rec:1.85e-03 	 Color:2.42e-02 	Time: 4.12
epoch 950:	pdl:9.97e-02 	 Rec:1.86e-03 	 Color:2.03e-02 	Time: 4.12
epoch 1000:	pdl:1.13e-01 	 Rec:2.01e-03 	 Color:2.40e-02 	Time: 4.11
epoch 1050:	pdl:9.92e-02 	 Rec:1.81e-03 	 Color:2.44e-02 	Time: 4.14
epoch 1100:	pdl:1.02e-01 	 Rec:1.90e-03 	 Color:2.15e-02 	Time: 4.11
epoch 1150:	pdl:1.10e-01 	 Rec:1.86e-03 	 Color:2.20e-02 	Time: 4.11
epoch 1200:	pdl:1.01e-01 	 Rec:1.80e-03 	 Color:2.05e-02 	Time: 4.10
epoch 1250:	pdl:9.54e-02 	 Rec:1.84e-03 	 Color:2.03e-02 	Time: 4.11
epoch 1300:	pdl:1.01e-01 	 Rec:1.81e-03 	 Color:2.15e-02 	Time: 4.10
epoch 1350:	pdl:1.01e-01 	 Rec:1.85e-03 	 Color:2.10e-02 	Time: 4.11
epoch 1400:	pdl:1.95e-01 	 Rec:1.86e-03 	 Color:3.47e-02 	Time: 4.11
epoch 1450:	pdl:1.00e-01 	 Rec:1.80e-03 	 Color:2.20e-02 	Time: 4.10
epoch 1500:	pdl:9.56e-02 	 Rec:1.88e-03 	 Color:1.97e-02 	Time: 4.10
epoch 1550:	pdl:1.01e-01 	 Rec:1.81e-03 	 Color:2.12e-02 	Time: 4.10
epoch 1600:	pdl:9.70e-02 	 Rec:1.89e-03 	 Color:2.15e-02 	Time: 4.12
epoch 1650:	pdl:1.09e-01 	 Rec:1.81e-03 	 Color:2.35e-02 	Time: 4.09
epoch 1700:	pdl:1.10e-01 	 Rec:1.85e-03 	 Color:2.35e-02 	Time: 4.10
epoch 1750:	pdl:1.16e-01 	 Rec:1.87e-03 	 Color:2.69e-02 	Time: 4.10
epoch 1800:	pdl:1.07e-01 	 Rec:1.82e-03 	 Color:2.50e-02 	Time: 4.10
epoch 1850:	pdl:9.80e-02 	 Rec:1.73e-03 	 Color:2.07e-02 	Time: 4.09
epoch 1900:	pdl:9.52e-02 	 Rec:1.75e-03 	 Color:2.17e-02 	Time: 4.10
epoch 1950:	pdl:1.06e-01 	 Rec:1.83e-03 	 Color:2.23e-02 	Time: 4.10
epoch 2000:	pdl:1.22e-01 	 Rec:1.83e-03 	 Color:2.29e-02 	Time: 4.10
epoch 2050:	pdl:9.85e-02 	 Rec:1.80e-03 	 Color:2.22e-02 	Time: 4.14
epoch 2100:	pdl:1.01e-01 	 Rec:1.77e-03 	 Color:2.21e-02 	Time: 4.09
epoch 2150:	pdl:1.07e-01 	 Rec:1.81e-03 	 Color:2.13e-02 	Time: 4.09
epoch 2200:	pdl:9.75e-02 	 Rec:1.75e-03 	 Color:1.91e-02 	Time: 4.07
epoch 2250:	pdl:9.25e-02 	 Rec:1.78e-03 	 Color:2.02e-02 	Time: 4.08
epoch 2300:	pdl:1.10e-01 	 Rec:1.75e-03 	 Color:2.39e-02 	Time: 4.10
