epoch 0:	pdl:2.63e-01 	 Rec:1.38e-02 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:2.68e-01 	 Rec:1.03e-02 	 Color:0.00e+00 	Time: 4.06
epoch 100:	pdl:2.28e-01 	 Rec:9.69e-03 	 Color:0.00e+00 	Time: 4.03
epoch 150:	pdl:2.00e-01 	 Rec:1.00e-02 	 Color:0.00e+00 	Time: 4.06
epoch 200:	pdl:1.74e-01 	 Rec:9.25e-03 	 Color:0.00e+00 	Time: 4.08
epoch 250:	pdl:2.05e-01 	 Rec:9.30e-03 	 Color:0.00e+00 	Time: 4.07
epoch 300:	pdl:1.79e-01 	 Rec:8.74e-03 	 Color:0.00e+00 	Time: 4.07
epoch 350:	pdl:2.33e-01 	 Rec:9.81e-03 	 Color:0.00e+00 	Time: 4.11
epoch 400:	pdl:1.87e-01 	 Rec:8.70e-03 	 Color:0.00e+00 	Time: 4.11
epoch 450:	pdl:2.11e-01 	 Rec:8.35e-03 	 Color:0.00e+00 	Time: 4.10
epoch 500:	pdl:1.89e-01 	 Rec:8.26e-03 	 Color:0.00e+00 	Time: 4.11
epoch 550:	pdl:1.93e-01 	 Rec:8.53e-03 	 Color:0.00e+00 	Time: 4.11
epoch 600:	pdl:2.25e-01 	 Rec:8.43e-03 	 Color:0.00e+00 	Time: 4.11
epoch 650:	pdl:2.09e-01 	 Rec:8.45e-03 	 Color:0.00e+00 	Time: 4.11
epoch 700:	pdl:1.68e-01 	 Rec:8.65e-03 	 Color:0.00e+00 	Time: 4.11
epoch 750:	pdl:2.23e-01 	 Rec:8.93e-03 	 Color:0.00e+00 	Time: 4.10
epoch 800:	pdl:1.88e-01 	 Rec:9.05e-03 	 Color:0.00e+00 	Time: 4.10
epoch 850:	pdl:1.89e-01 	 Rec:8.35e-03 	 Color:0.00e+00 	Time: 4.09
epoch 900:	pdl:2.16e-01 	 Rec:7.93e-03 	 Color:0.00e+00 	Time: 4.10
epoch 950:	pdl:2.24e-01 	 Rec:8.11e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1000:	pdl:2.33e-01 	 Rec:7.80e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1050:	pdl:1.77e-01 	 Rec:8.32e-03 	 Color:0.00e+00 	Time: 4.15
epoch 1100:	pdl:2.17e-01 	 Rec:7.92e-03 	 Color:0.00e+00 	Time: 4.12
epoch 1150:	pdl:1.69e-01 	 Rec:7.69e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1200:	pdl:1.59e-01 	 Rec:7.92e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1250:	pdl:1.95e-01 	 Rec:7.86e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1300:	pdl:1.68e-01 	 Rec:7.66e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1350:	pdl:1.88e-01 	 Rec:7.82e-03 	 Color:0.00e+00 	Time: 4.11
epoch 1400:	pdl:1.74e-01 	 Rec:9.32e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1450:	pdl:1.89e-01 	 Rec:8.16e-03 	 Color:0.00e+00 	Time: 4.11
epoch 1500:	pdl:1.54e-01 	 Rec:8.06e-03 	 Color:0.00e+00 	Time: 4.09
epoch 1550:	pdl:1.73e-01 	 Rec:7.47e-03 	 Color:0.00e+00 	Time: 4.11
epoch 1600:	pdl:1.59e-01 	 Rec:7.43e-03 	 Color:0.00e+00 	Time: 4.08
epoch 1650:	pdl:1.72e-01 	 Rec:9.28e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1700:	pdl:1.92e-01 	 Rec:7.40e-03 	 Color:0.00e+00 	Time: 4.09
epoch 1750:	pdl:1.60e-01 	 Rec:7.24e-03 	 Color:0.00e+00 	Time: 4.10
epoch 1800:	pdl:2.99e-01 	 Rec:7.47e-03 	 Color:0.00e+00 	Time: 4.12
epoch 1850:	pdl:1.89e-01 	 Rec:7.45e-03 	 Color:0.00e+00 	Time: 4.11
epoch 1900:	pdl:2.13e-01 	 Rec:7.20e-03 	 Color:0.00e+00 	Time: 4.12
epoch 1950:	pdl:1.57e-01 	 Rec:6.94e-03 	 Color:0.00e+00 	Time: 4.12
epoch 2000:	pdl:1.82e-01 	 Rec:7.29e-03 	 Color:0.00e+00 	Time: 4.12
epoch 2050:	pdl:2.02e-01 	 Rec:7.23e-03 	 Color:0.00e+00 	Time: 4.15
