epoch 0:	pdl:1.72e+00 	 Rec:2.86e-01 	 Color:1.28e-01 	Time: 0.01
epoch 50:	pdl:9.25e-01 	 Rec:3.66e-02 	 Color:1.30e-01 	Time: 0.40
epoch 100:	pdl:8.69e-01 	 Rec:9.91e-03 	 Color:1.36e-01 	Time: 0.39
epoch 150:	pdl:7.80e-01 	 Rec:5.23e-03 	 Color:9.53e-02 	Time: 0.41
epoch 200:	pdl:7.34e-01 	 Rec:3.63e-03 	 Color:8.72e-02 	Time: 0.43
epoch 250:	pdl:7.54e-01 	 Rec:3.04e-03 	 Color:7.63e-02 	Time: 0.41
epoch 300:	pdl:7.11e-01 	 Rec:2.67e-03 	 Color:8.54e-02 	Time: 0.38
epoch 350:	pdl:7.56e-01 	 Rec:2.00e-03 	 Color:7.85e-02 	Time: 0.40
epoch 400:	pdl:7.28e-01 	 Rec:2.19e-03 	 Color:9.59e-02 	Time: 0.41
epoch 450:	pdl:8.06e-01 	 Rec:1.71e-03 	 Color:1.50e-01 	Time: 0.38
epoch 500:	pdl:7.61e-01 	 Rec:2.02e-03 	 Color:9.78e-02 	Time: 0.38
epoch 550:	pdl:7.18e-01 	 Rec:2.40e-03 	 Color:8.48e-02 	Time: 0.42
epoch 600:	pdl:7.41e-01 	 Rec:1.52e-03 	 Color:1.32e-01 	Time: 0.38
epoch 650:	pdl:7.49e-01 	 Rec:1.38e-03 	 Color:1.13e-01 	Time: 0.41
epoch 700:	pdl:7.39e-01 	 Rec:1.45e-03 	 Color:1.40e-01 	Time: 0.38
epoch 750:	pdl:7.06e-01 	 Rec:1.31e-03 	 Color:8.47e-02 	Time: 0.38
epoch 800:	pdl:7.21e-01 	 Rec:1.38e-03 	 Color:1.10e-01 	Time: 0.38
epoch 850:	pdl:6.34e-01 	 Rec:1.45e-03 	 Color:8.80e-02 	Time: 0.40
epoch 900:	pdl:6.83e-01 	 Rec:1.53e-03 	 Color:8.49e-02 	Time: 0.39
epoch 950:	pdl:6.59e-01 	 Rec:1.21e-03 	 Color:1.05e-01 	Time: 0.38
epoch 1000:	pdl:7.34e-01 	 Rec:1.37e-03 	 Color:1.03e-01 	Time: 0.35
epoch 1050:	pdl:7.01e-01 	 Rec:1.69e-03 	 Color:1.45e-01 	Time: 0.40
epoch 1100:	pdl:6.50e-01 	 Rec:1.18e-03 	 Color:9.60e-02 	Time: 0.39
epoch 1150:	pdl:6.92e-01 	 Rec:1.39e-03 	 Color:7.97e-02 	Time: 0.38
epoch 1200:	pdl:5.81e-01 	 Rec:9.55e-04 	 Color:7.79e-02 	Time: 0.39
epoch 1250:	pdl:6.79e-01 	 Rec:9.32e-04 	 Color:1.12e-01 	Time: 0.36
epoch 1300:	pdl:6.76e-01 	 Rec:1.05e-03 	 Color:1.07e-01 	Time: 0.36
epoch 1350:	pdl:6.53e-01 	 Rec:1.20e-03 	 Color:1.06e-01 	Time: 0.37
epoch 1400:	pdl:6.81e-01 	 Rec:1.16e-03 	 Color:1.21e-01 	Time: 0.37
epoch 1450:	pdl:6.25e-01 	 Rec:9.68e-04 	 Color:8.13e-02 	Time: 0.36
epoch 1500:	pdl:5.96e-01 	 Rec:1.13e-03 	 Color:7.13e-02 	Time: 0.37
epoch 1550:	pdl:6.14e-01 	 Rec:9.54e-04 	 Color:8.26e-02 	Time: 0.35
epoch 1600:	pdl:5.85e-01 	 Rec:1.15e-03 	 Color:8.26e-02 	Time: 0.36
epoch 1650:	pdl:6.70e-01 	 Rec:8.86e-04 	 Color:7.26e-02 	Time: 0.38
epoch 1700:	pdl:6.50e-01 	 Rec:1.09e-03 	 Color:8.99e-02 	Time: 0.36
epoch 1750:	pdl:6.27e-01 	 Rec:1.25e-03 	 Color:8.60e-02 	Time: 0.39
epoch 1800:	pdl:6.34e-01 	 Rec:9.75e-04 	 Color:7.18e-02 	Time: 0.36
epoch 1850:	pdl:6.17e-01 	 Rec:9.81e-04 	 Color:8.23e-02 	Time: 0.39
epoch 1900:	pdl:6.38e-01 	 Rec:9.54e-04 	 Color:8.85e-02 	Time: 0.41
epoch 1950:	pdl:6.28e-01 	 Rec:1.13e-03 	 Color:1.03e-01 	Time: 0.41
epoch 2000:	pdl:6.66e-01 	 Rec:8.96e-04 	 Color:9.79e-02 	Time: 0.41
epoch 2050:	pdl:6.09e-01 	 Rec:9.43e-04 	 Color:1.02e-01 	Time: 0.38
epoch 2100:	pdl:6.22e-01 	 Rec:7.62e-04 	 Color:8.32e-02 	Time: 0.39
epoch 2150:	pdl:6.77e-01 	 Rec:8.79e-04 	 Color:9.20e-02 	Time: 0.41
epoch 2200:	pdl:6.23e-01 	 Rec:1.15e-03 	 Color:8.18e-02 	Time: 0.40
epoch 2250:	pdl:6.57e-01 	 Rec:9.68e-04 	 Color:8.03e-02 	Time: 0.39
epoch 2300:	pdl:6.90e-01 	 Rec:9.05e-04 	 Color:1.03e-01 	Time: 0.37
epoch 2350:	pdl:6.50e-01 	 Rec:1.27e-03 	 Color:1.16e-01 	Time: 0.38
epoch 2400:	pdl:5.91e-01 	 Rec:9.63e-04 	 Color:6.80e-02 	Time: 0.40
epoch 2450:	pdl:6.33e-01 	 Rec:1.02e-03 	 Color:9.04e-02 	Time: 0.41
epoch 2500:	pdl:5.31e-01 	 Rec:6.80e-04 	 Color:7.65e-02 	Time: 0.38
epoch 2550:	pdl:5.65e-01 	 Rec:6.47e-04 	 Color:9.25e-02 	Time: 0.38
epoch 2600:	pdl:5.38e-01 	 Rec:6.87e-04 	 Color:7.06e-02 	Time: 0.37
