epoch 0:	pdl:2.72e+00 	 Rec:2.87e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:1.35e+00 	 Rec:4.10e-02 	 Color:0.00e+00 	Time: 0.37
epoch 100:	pdl:1.17e+00 	 Rec:8.66e-03 	 Color:0.00e+00 	Time: 0.38
epoch 150:	pdl:1.22e+00 	 Rec:4.01e-03 	 Color:0.00e+00 	Time: 0.35
epoch 200:	pdl:1.24e+00 	 Rec:2.51e-03 	 Color:0.00e+00 	Time: 0.37
epoch 250:	pdl:1.10e+00 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 0.35
epoch 300:	pdl:1.17e+00 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 0.38
epoch 350:	pdl:1.08e+00 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 0.39
epoch 400:	pdl:1.15e+00 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 0.37
epoch 450:	pdl:1.14e+00 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.35
epoch 500:	pdl:1.04e+00 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.33
epoch 550:	pdl:1.12e+00 	 Rec:9.29e-04 	 Color:0.00e+00 	Time: 0.34
epoch 600:	pdl:1.02e+00 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.38
epoch 650:	pdl:1.10e+00 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.37
epoch 700:	pdl:9.33e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.37
epoch 750:	pdl:9.19e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.39
epoch 800:	pdl:1.00e+00 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.36
epoch 850:	pdl:1.04e+00 	 Rec:8.87e-04 	 Color:0.00e+00 	Time: 0.39
epoch 900:	pdl:1.04e+00 	 Rec:6.17e-04 	 Color:0.00e+00 	Time: 0.39
epoch 950:	pdl:9.85e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.37
epoch 1000:	pdl:8.87e-01 	 Rec:7.29e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1050:	pdl:9.94e-01 	 Rec:5.42e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1100:	pdl:1.02e+00 	 Rec:7.20e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1150:	pdl:8.84e-01 	 Rec:7.70e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1200:	pdl:1.01e+00 	 Rec:7.26e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1250:	pdl:9.51e-01 	 Rec:8.54e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1300:	pdl:9.89e-01 	 Rec:7.16e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1350:	pdl:8.78e-01 	 Rec:5.66e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1400:	pdl:9.37e-01 	 Rec:6.17e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1450:	pdl:9.55e-01 	 Rec:6.20e-04 	 Color:0.00e+00 	Time: 0.37
