epoch 0:	pdl:1.10e+00 	 Rec:2.86e-01 	 Color:3.20e-01 	Time: 0.01
epoch 50:	pdl:6.99e-01 	 Rec:1.77e-02 	 Color:3.34e-01 	Time: 0.40
epoch 100:	pdl:6.51e-01 	 Rec:3.28e-03 	 Color:3.27e-01 	Time: 0.42
epoch 150:	pdl:5.65e-01 	 Rec:1.46e-03 	 Color:2.37e-01 	Time: 0.38
epoch 200:	pdl:5.76e-01 	 Rec:8.82e-04 	 Color:2.50e-01 	Time: 0.38
epoch 250:	pdl:5.24e-01 	 Rec:6.09e-04 	 Color:1.85e-01 	Time: 0.40
epoch 300:	pdl:5.14e-01 	 Rec:4.41e-04 	 Color:2.25e-01 	Time: 0.38
epoch 350:	pdl:5.62e-01 	 Rec:4.07e-04 	 Color:2.12e-01 	Time: 0.42
epoch 400:	pdl:5.45e-01 	 Rec:3.00e-04 	 Color:2.44e-01 	Time: 0.40
epoch 450:	pdl:6.12e-01 	 Rec:6.44e-04 	 Color:3.37e-01 	Time: 0.39
epoch 500:	pdl:5.56e-01 	 Rec:3.11e-04 	 Color:2.43e-01 	Time: 0.35
epoch 550:	pdl:5.35e-01 	 Rec:2.54e-04 	 Color:2.41e-01 	Time: 0.39
epoch 600:	pdl:5.72e-01 	 Rec:3.38e-04 	 Color:3.01e-01 	Time: 0.37
epoch 650:	pdl:5.47e-01 	 Rec:2.62e-04 	 Color:2.43e-01 	Time: 0.39
epoch 700:	pdl:5.86e-01 	 Rec:2.51e-04 	 Color:3.30e-01 	Time: 0.40
epoch 750:	pdl:5.08e-01 	 Rec:3.46e-04 	 Color:2.25e-01 	Time: 0.38
epoch 800:	pdl:5.24e-01 	 Rec:4.15e-04 	 Color:2.56e-01 	Time: 0.40
epoch 850:	pdl:4.79e-01 	 Rec:4.17e-04 	 Color:2.18e-01 	Time: 0.40
epoch 900:	pdl:4.85e-01 	 Rec:5.12e-04 	 Color:2.08e-01 	Time: 0.40
epoch 950:	pdl:5.12e-01 	 Rec:2.24e-04 	 Color:2.49e-01 	Time: 0.40
epoch 1000:	pdl:5.11e-01 	 Rec:2.61e-04 	 Color:2.32e-01 	Time: 0.33
epoch 1050:	pdl:5.34e-01 	 Rec:2.89e-04 	 Color:3.03e-01 	Time: 0.40
