epoch 0:	pdl:2.66e+00 	 Rec:2.86e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:1.34e+00 	 Rec:2.83e-02 	 Color:0.00e+00 	Time: 0.35
epoch 100:	pdl:1.24e+00 	 Rec:6.92e-03 	 Color:0.00e+00 	Time: 0.37
epoch 150:	pdl:1.16e+00 	 Rec:3.34e-03 	 Color:0.00e+00 	Time: 0.38
epoch 200:	pdl:1.10e+00 	 Rec:2.17e-03 	 Color:0.00e+00 	Time: 0.38
epoch 250:	pdl:1.10e+00 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 0.33
epoch 300:	pdl:1.03e+00 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 0.37
epoch 350:	pdl:1.15e+00 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.35
epoch 400:	pdl:1.04e+00 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.37
epoch 450:	pdl:1.10e+00 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.33
epoch 500:	pdl:1.13e+00 	 Rec:7.95e-04 	 Color:0.00e+00 	Time: 0.38
epoch 550:	pdl:1.10e+00 	 Rec:9.87e-04 	 Color:0.00e+00 	Time: 0.35
epoch 600:	pdl:1.03e+00 	 Rec:7.01e-04 	 Color:0.00e+00 	Time: 0.38
epoch 650:	pdl:1.11e+00 	 Rec:8.48e-04 	 Color:0.00e+00 	Time: 0.36
epoch 700:	pdl:1.02e+00 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.36
epoch 750:	pdl:1.05e+00 	 Rec:6.51e-04 	 Color:0.00e+00 	Time: 0.37
epoch 800:	pdl:1.00e+00 	 Rec:8.58e-04 	 Color:0.00e+00 	Time: 0.34
epoch 850:	pdl:9.78e-01 	 Rec:9.14e-04 	 Color:0.00e+00 	Time: 0.37
epoch 900:	pdl:1.07e+00 	 Rec:5.89e-04 	 Color:0.00e+00 	Time: 0.37
epoch 950:	pdl:1.06e+00 	 Rec:6.19e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1000:	pdl:1.04e+00 	 Rec:7.66e-04 	 Color:0.00e+00 	Time: 0.34
epoch 1050:	pdl:9.62e-01 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 0.39
epoch 1100:	pdl:9.75e-01 	 Rec:4.72e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1150:	pdl:9.86e-01 	 Rec:5.93e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1200:	pdl:8.81e-01 	 Rec:8.36e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1250:	pdl:9.03e-01 	 Rec:5.71e-04 	 Color:0.00e+00 	Time: 0.34
epoch 1300:	pdl:9.62e-01 	 Rec:6.97e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1350:	pdl:9.74e-01 	 Rec:6.15e-04 	 Color:0.00e+00 	Time: 0.34
epoch 1400:	pdl:9.99e-01 	 Rec:7.63e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1450:	pdl:9.27e-01 	 Rec:5.13e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1500:	pdl:9.36e-01 	 Rec:6.31e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1550:	pdl:8.66e-01 	 Rec:5.24e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1600:	pdl:8.58e-01 	 Rec:6.48e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1650:	pdl:1.04e+00 	 Rec:5.33e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1700:	pdl:9.47e-01 	 Rec:5.11e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1750:	pdl:9.50e-01 	 Rec:5.94e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1800:	pdl:9.30e-01 	 Rec:5.21e-04 	 Color:0.00e+00 	Time: 0.34
epoch 1850:	pdl:9.24e-01 	 Rec:4.51e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1900:	pdl:9.82e-01 	 Rec:5.33e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1950:	pdl:9.21e-01 	 Rec:6.37e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2000:	pdl:9.20e-01 	 Rec:4.53e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2050:	pdl:8.60e-01 	 Rec:4.32e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2100:	pdl:9.82e-01 	 Rec:4.51e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2150:	pdl:9.78e-01 	 Rec:4.46e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2200:	pdl:8.89e-01 	 Rec:6.17e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2250:	pdl:9.51e-01 	 Rec:4.07e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2300:	pdl:1.07e+00 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.36
epoch 2350:	pdl:9.61e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.36
epoch 2400:	pdl:8.91e-01 	 Rec:7.18e-04 	 Color:0.00e+00 	Time: 0.36
epoch 2450:	pdl:9.33e-01 	 Rec:5.44e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2500:	pdl:8.64e-01 	 Rec:4.73e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2550:	pdl:8.47e-01 	 Rec:4.75e-04 	 Color:0.00e+00 	Time: 0.36
epoch 2600:	pdl:7.95e-01 	 Rec:3.75e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2650:	pdl:9.70e-01 	 Rec:4.79e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2700:	pdl:8.52e-01 	 Rec:5.90e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2750:	pdl:9.27e-01 	 Rec:6.14e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2800:	pdl:7.89e-01 	 Rec:5.16e-04 	 Color:0.00e+00 	Time: 0.36
epoch 2850:	pdl:8.99e-01 	 Rec:5.94e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2900:	pdl:8.96e-01 	 Rec:4.58e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2950:	pdl:8.82e-01 	 Rec:4.07e-04 	 Color:0.00e+00 	Time: 0.36
epoch 3000:	pdl:8.31e-01 	 Rec:5.32e-04 	 Color:0.00e+00 	Time: 0.35
epoch 3050:	pdl:8.73e-01 	 Rec:4.30e-04 	 Color:0.00e+00 	Time: 0.38
epoch 3100:	pdl:8.41e-01 	 Rec:5.50e-04 	 Color:0.00e+00 	Time: 0.37
epoch 3150:	pdl:7.76e-01 	 Rec:6.44e-04 	 Color:0.00e+00 	Time: 0.39
epoch 3200:	pdl:8.82e-01 	 Rec:6.14e-04 	 Color:0.00e+00 	Time: 0.37
epoch 3250:	pdl:8.98e-01 	 Rec:3.57e-04 	 Color:0.00e+00 	Time: 0.35
epoch 3300:	pdl:8.74e-01 	 Rec:7.09e-04 	 Color:0.00e+00 	Time: 0.36
epoch 3350:	pdl:8.53e-01 	 Rec:7.94e-04 	 Color:0.00e+00 	Time: 0.37
epoch 3400:	pdl:9.53e-01 	 Rec:5.14e-04 	 Color:0.00e+00 	Time: 0.34
epoch 3450:	pdl:9.19e-01 	 Rec:5.00e-04 	 Color:0.00e+00 	Time: 0.36
epoch 3500:	pdl:9.00e-01 	 Rec:5.40e-04 	 Color:0.00e+00 	Time: 0.31
epoch 3550:	pdl:8.62e-01 	 Rec:4.15e-04 	 Color:0.00e+00 	Time: 0.35
epoch 3600:	pdl:8.84e-01 	 Rec:6.08e-04 	 Color:0.00e+00 	Time: 0.33
epoch 3650:	pdl:8.22e-01 	 Rec:4.26e-04 	 Color:0.00e+00 	Time: 0.34
epoch 3700:	pdl:9.15e-01 	 Rec:4.86e-04 	 Color:0.00e+00 	Time: 0.37
epoch 3750:	pdl:8.73e-01 	 Rec:2.98e-04 	 Color:0.00e+00 	Time: 0.37
epoch 3800:	pdl:8.11e-01 	 Rec:4.87e-04 	 Color:0.00e+00 	Time: 0.34
epoch 3850:	pdl:9.22e-01 	 Rec:3.96e-04 	 Color:0.00e+00 	Time: 0.32
epoch 3900:	pdl:9.22e-01 	 Rec:3.78e-04 	 Color:0.00e+00 	Time: 0.33
epoch 3950:	pdl:8.73e-01 	 Rec:3.50e-04 	 Color:0.00e+00 	Time: 0.36
epoch 4000:	pdl:7.60e-01 	 Rec:6.46e-04 	 Color:0.00e+00 	Time: 0.35
epoch 4050:	pdl:8.53e-01 	 Rec:3.80e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4100:	pdl:8.22e-01 	 Rec:6.63e-04 	 Color:0.00e+00 	Time: 0.35
epoch 4150:	pdl:8.32e-01 	 Rec:3.93e-04 	 Color:0.00e+00 	Time: 0.35
epoch 4200:	pdl:7.03e-01 	 Rec:4.04e-04 	 Color:0.00e+00 	Time: 0.34
epoch 4250:	pdl:7.48e-01 	 Rec:5.52e-04 	 Color:0.00e+00 	Time: 0.34
epoch 4300:	pdl:8.27e-01 	 Rec:4.05e-04 	 Color:0.00e+00 	Time: 0.36
epoch 4350:	pdl:7.42e-01 	 Rec:4.38e-04 	 Color:0.00e+00 	Time: 0.37
epoch 4400:	pdl:8.20e-01 	 Rec:4.26e-04 	 Color:0.00e+00 	Time: 0.36
epoch 4450:	pdl:8.69e-01 	 Rec:5.00e-04 	 Color:0.00e+00 	Time: 0.36
epoch 4500:	pdl:8.13e-01 	 Rec:8.17e-04 	 Color:0.00e+00 	Time: 0.35
epoch 4550:	pdl:8.27e-01 	 Rec:3.91e-04 	 Color:0.00e+00 	Time: 0.37
epoch 4600:	pdl:8.52e-01 	 Rec:3.62e-04 	 Color:0.00e+00 	Time: 0.36
epoch 4650:	pdl:8.31e-01 	 Rec:3.82e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4700:	pdl:8.81e-01 	 Rec:6.54e-04 	 Color:0.00e+00 	Time: 0.32
epoch 4750:	pdl:7.72e-01 	 Rec:4.71e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4800:	pdl:7.65e-01 	 Rec:8.90e-04 	 Color:0.00e+00 	Time: 0.37
epoch 4850:	pdl:7.00e-01 	 Rec:2.67e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4900:	pdl:8.01e-01 	 Rec:3.67e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4950:	pdl:8.30e-01 	 Rec:3.19e-04 	 Color:0.00e+00 	Time: 0.34
epoch 5000:	pdl:7.11e-01 	 Rec:5.44e-04 	 Color:0.00e+00 	Time: 0.36
epoch 5050:	pdl:7.52e-01 	 Rec:5.02e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5100:	pdl:7.40e-01 	 Rec:4.47e-04 	 Color:0.00e+00 	Time: 0.40
epoch 5150:	pdl:7.13e-01 	 Rec:2.76e-04 	 Color:0.00e+00 	Time: 0.34
epoch 5200:	pdl:7.25e-01 	 Rec:4.66e-04 	 Color:0.00e+00 	Time: 0.36
epoch 5250:	pdl:8.10e-01 	 Rec:3.82e-04 	 Color:0.00e+00 	Time: 0.32
epoch 5300:	pdl:8.36e-01 	 Rec:3.68e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5350:	pdl:7.62e-01 	 Rec:2.71e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5400:	pdl:7.18e-01 	 Rec:4.42e-04 	 Color:0.00e+00 	Time: 0.37
epoch 5450:	pdl:7.96e-01 	 Rec:2.78e-04 	 Color:0.00e+00 	Time: 0.37
epoch 5500:	pdl:7.91e-01 	 Rec:5.60e-04 	 Color:0.00e+00 	Time: 0.35
epoch 5550:	pdl:7.93e-01 	 Rec:3.91e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5600:	pdl:7.02e-01 	 Rec:4.62e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5650:	pdl:7.64e-01 	 Rec:3.91e-04 	 Color:0.00e+00 	Time: 0.35
epoch 5700:	pdl:7.96e-01 	 Rec:4.45e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5750:	pdl:7.84e-01 	 Rec:3.05e-04 	 Color:0.00e+00 	Time: 0.37
epoch 5800:	pdl:7.77e-01 	 Rec:4.89e-04 	 Color:0.00e+00 	Time: 0.36
epoch 5850:	pdl:7.07e-01 	 Rec:4.14e-04 	 Color:0.00e+00 	Time: 0.36
epoch 5900:	pdl:7.77e-01 	 Rec:3.78e-04 	 Color:0.00e+00 	Time: 0.35
epoch 5950:	pdl:6.94e-01 	 Rec:2.95e-04 	 Color:0.00e+00 	Time: 0.37
epoch 6000:	pdl:7.54e-01 	 Rec:2.96e-04 	 Color:0.00e+00 	Time: 0.35
epoch 6050:	pdl:7.30e-01 	 Rec:3.89e-04 	 Color:0.00e+00 	Time: 0.34
epoch 6100:	pdl:7.77e-01 	 Rec:2.39e-04 	 Color:0.00e+00 	Time: 0.31
epoch 6150:	pdl:7.18e-01 	 Rec:4.60e-04 	 Color:0.00e+00 	Time: 0.35
epoch 6200:	pdl:7.71e-01 	 Rec:2.99e-04 	 Color:0.00e+00 	Time: 0.36
epoch 6250:	pdl:7.90e-01 	 Rec:4.87e-04 	 Color:0.00e+00 	Time: 0.35
epoch 6300:	pdl:7.50e-01 	 Rec:2.83e-04 	 Color:0.00e+00 	Time: 0.35
epoch 6350:	pdl:7.12e-01 	 Rec:5.73e-04 	 Color:0.00e+00 	Time: 0.32
epoch 6400:	pdl:7.08e-01 	 Rec:3.78e-04 	 Color:0.00e+00 	Time: 0.31
epoch 6450:	pdl:7.26e-01 	 Rec:1.33e-04 	 Color:0.00e+00 	Time: 0.33
epoch 6500:	pdl:6.78e-01 	 Rec:1.22e-04 	 Color:0.00e+00 	Time: 0.36
epoch 6550:	pdl:6.94e-01 	 Rec:1.23e-04 	 Color:0.00e+00 	Time: 0.37
epoch 6600:	pdl:6.86e-01 	 Rec:1.09e-04 	 Color:0.00e+00 	Time: 0.35
epoch 6650:	pdl:7.48e-01 	 Rec:1.00e-04 	 Color:0.00e+00 	Time: 0.33
epoch 6700:	pdl:7.20e-01 	 Rec:9.43e-05 	 Color:0.00e+00 	Time: 0.36
epoch 6750:	pdl:6.96e-01 	 Rec:1.00e-04 	 Color:0.00e+00 	Time: 0.35
epoch 6800:	pdl:7.07e-01 	 Rec:1.14e-04 	 Color:0.00e+00 	Time: 0.37
epoch 6850:	pdl:7.43e-01 	 Rec:9.40e-05 	 Color:0.00e+00 	Time: 0.37
epoch 6900:	pdl:7.61e-01 	 Rec:1.00e-04 	 Color:0.00e+00 	Time: 0.37
epoch 6950:	pdl:7.56e-01 	 Rec:9.73e-05 	 Color:0.00e+00 	Time: 0.33
epoch 7000:	pdl:7.09e-01 	 Rec:8.90e-05 	 Color:0.00e+00 	Time: 0.34
epoch 7050:	pdl:7.10e-01 	 Rec:9.44e-05 	 Color:0.00e+00 	Time: 0.34
epoch 7100:	pdl:7.65e-01 	 Rec:8.91e-05 	 Color:0.00e+00 	Time: 0.37
epoch 7150:	pdl:7.06e-01 	 Rec:9.12e-05 	 Color:0.00e+00 	Time: 0.37
epoch 7200:	pdl:8.21e-01 	 Rec:9.64e-05 	 Color:0.00e+00 	Time: 0.34
epoch 7250:	pdl:7.27e-01 	 Rec:8.68e-05 	 Color:0.00e+00 	Time: 0.31
epoch 7300:	pdl:7.22e-01 	 Rec:8.90e-05 	 Color:0.00e+00 	Time: 0.36
epoch 7350:	pdl:7.01e-01 	 Rec:8.56e-05 	 Color:0.00e+00 	Time: 0.36
epoch 7400:	pdl:7.87e-01 	 Rec:9.34e-05 	 Color:0.00e+00 	Time: 0.38
epoch 7450:	pdl:7.22e-01 	 Rec:8.63e-05 	 Color:0.00e+00 	Time: 0.38
epoch 7500:	pdl:6.95e-01 	 Rec:9.09e-05 	 Color:0.00e+00 	Time: 0.35
epoch 7550:	pdl:7.58e-01 	 Rec:8.66e-05 	 Color:0.00e+00 	Time: 0.36
epoch 7600:	pdl:7.64e-01 	 Rec:9.00e-05 	 Color:0.00e+00 	Time: 0.37
epoch 7650:	pdl:7.28e-01 	 Rec:9.17e-05 	 Color:0.00e+00 	Time: 0.38
epoch 7700:	pdl:7.20e-01 	 Rec:8.44e-05 	 Color:0.00e+00 	Time: 0.38
epoch 7750:	pdl:7.34e-01 	 Rec:8.81e-05 	 Color:0.00e+00 	Time: 0.38
epoch 7800:	pdl:7.11e-01 	 Rec:8.32e-05 	 Color:0.00e+00 	Time: 0.37
epoch 7850:	pdl:7.47e-01 	 Rec:9.02e-05 	 Color:0.00e+00 	Time: 0.38
epoch 7900:	pdl:7.31e-01 	 Rec:9.34e-05 	 Color:0.00e+00 	Time: 0.37
epoch 7950:	pdl:8.04e-01 	 Rec:8.91e-05 	 Color:0.00e+00 	Time: 0.36
