epoch 0:	pdl:5.28e-01 	 Rec:3.87e-03 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:3.63e-01 	 Rec:2.17e-03 	 Color:0.00e+00 	Time: 0.92
epoch 100:	pdl:4.15e-01 	 Rec:1.89e-03 	 Color:0.00e+00 	Time: 0.81
epoch 150:	pdl:4.39e-01 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 0.83
epoch 200:	pdl:4.17e-01 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 0.85
epoch 250:	pdl:4.03e-01 	 Rec:1.48e-03 	 Color:0.00e+00 	Time: 0.88
epoch 300:	pdl:4.76e-01 	 Rec:1.51e-03 	 Color:0.00e+00 	Time: 0.85
epoch 350:	pdl:3.76e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.83
epoch 400:	pdl:3.93e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.88
epoch 450:	pdl:4.18e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.82
epoch 500:	pdl:4.14e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.84
epoch 550:	pdl:3.83e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.83
epoch 600:	pdl:3.81e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.81
epoch 650:	pdl:3.93e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.82
epoch 700:	pdl:3.73e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.81
epoch 750:	pdl:3.73e-01 	 Rec:1.00e-03 	 Color:0.00e+00 	Time: 0.84
epoch 800:	pdl:3.49e-01 	 Rec:9.90e-04 	 Color:0.00e+00 	Time: 0.87
epoch 850:	pdl:3.85e-01 	 Rec:8.78e-04 	 Color:0.00e+00 	Time: 0.84
epoch 900:	pdl:3.97e-01 	 Rec:9.34e-04 	 Color:0.00e+00 	Time: 0.82
epoch 950:	pdl:3.94e-01 	 Rec:8.31e-04 	 Color:0.00e+00 	Time: 0.84
epoch 1000:	pdl:3.99e-01 	 Rec:8.89e-04 	 Color:0.00e+00 	Time: 0.81
epoch 1050:	pdl:4.65e-01 	 Rec:8.56e-04 	 Color:0.00e+00 	Time: 0.84
epoch 1100:	pdl:3.89e-01 	 Rec:8.79e-04 	 Color:0.00e+00 	Time: 0.81
epoch 1150:	pdl:4.46e-01 	 Rec:8.49e-04 	 Color:0.00e+00 	Time: 0.84
epoch 1200:	pdl:4.37e-01 	 Rec:7.77e-04 	 Color:0.00e+00 	Time: 0.80
epoch 1250:	pdl:3.61e-01 	 Rec:7.62e-04 	 Color:0.00e+00 	Time: 0.85
epoch 1300:	pdl:3.79e-01 	 Rec:8.22e-04 	 Color:0.00e+00 	Time: 0.86
epoch 1350:	pdl:3.92e-01 	 Rec:8.15e-04 	 Color:0.00e+00 	Time: 0.83
epoch 1400:	pdl:4.20e-01 	 Rec:7.78e-04 	 Color:0.00e+00 	Time: 0.84
epoch 1450:	pdl:3.78e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 0.83
epoch 1500:	pdl:3.59e-01 	 Rec:7.74e-04 	 Color:0.00e+00 	Time: 0.81
epoch 1550:	pdl:3.57e-01 	 Rec:7.66e-04 	 Color:0.00e+00 	Time: 0.79
epoch 1600:	pdl:5.21e-01 	 Rec:7.49e-04 	 Color:0.00e+00 	Time: 0.82
epoch 1650:	pdl:3.66e-01 	 Rec:7.18e-04 	 Color:0.00e+00 	Time: 0.82
epoch 1700:	pdl:4.04e-01 	 Rec:6.60e-04 	 Color:0.00e+00 	Time: 0.83
epoch 1750:	pdl:3.89e-01 	 Rec:7.05e-04 	 Color:0.00e+00 	Time: 0.85
epoch 1800:	pdl:4.84e-01 	 Rec:6.88e-04 	 Color:0.00e+00 	Time: 0.80
epoch 1850:	pdl:4.07e-01 	 Rec:7.99e-04 	 Color:0.00e+00 	Time: 0.83
epoch 1900:	pdl:4.41e-01 	 Rec:7.68e-04 	 Color:0.00e+00 	Time: 0.82
epoch 1950:	pdl:4.25e-01 	 Rec:7.85e-04 	 Color:0.00e+00 	Time: 0.87
epoch 2000:	pdl:3.90e-01 	 Rec:6.77e-04 	 Color:0.00e+00 	Time: 0.82
epoch 2050:	pdl:3.90e-01 	 Rec:7.12e-04 	 Color:0.00e+00 	Time: 0.87
epoch 2100:	pdl:4.42e-01 	 Rec:6.25e-04 	 Color:0.00e+00 	Time: 0.90
epoch 2150:	pdl:3.52e-01 	 Rec:6.74e-04 	 Color:0.00e+00 	Time: 0.89
epoch 2200:	pdl:3.39e-01 	 Rec:7.09e-04 	 Color:0.00e+00 	Time: 0.90
epoch 2250:	pdl:4.06e-01 	 Rec:7.09e-04 	 Color:0.00e+00 	Time: 0.88
epoch 2300:	pdl:3.96e-01 	 Rec:6.54e-04 	 Color:0.00e+00 	Time: 0.87
epoch 2350:	pdl:3.57e-01 	 Rec:5.63e-04 	 Color:0.00e+00 	Time: 0.85
epoch 2400:	pdl:3.67e-01 	 Rec:6.01e-04 	 Color:0.00e+00 	Time: 0.89
epoch 2450:	pdl:3.32e-01 	 Rec:5.79e-04 	 Color:0.00e+00 	Time: 0.88
epoch 2500:	pdl:4.07e-01 	 Rec:6.47e-04 	 Color:0.00e+00 	Time: 0.87
epoch 2550:	pdl:4.35e-01 	 Rec:7.64e-04 	 Color:0.00e+00 	Time: 0.88
epoch 2600:	pdl:3.29e-01 	 Rec:5.38e-04 	 Color:0.00e+00 	Time: 0.85
epoch 2650:	pdl:4.72e-01 	 Rec:6.02e-04 	 Color:0.00e+00 	Time: 0.90
epoch 2700:	pdl:4.70e-01 	 Rec:6.64e-04 	 Color:0.00e+00 	Time: 0.85
epoch 2750:	pdl:3.78e-01 	 Rec:5.69e-04 	 Color:0.00e+00 	Time: 0.83
epoch 2800:	pdl:3.62e-01 	 Rec:5.74e-04 	 Color:0.00e+00 	Time: 0.85
epoch 2850:	pdl:3.56e-01 	 Rec:6.04e-04 	 Color:0.00e+00 	Time: 0.93
epoch 2900:	pdl:4.19e-01 	 Rec:6.73e-04 	 Color:0.00e+00 	Time: 0.88
epoch 2950:	pdl:3.59e-01 	 Rec:5.99e-04 	 Color:0.00e+00 	Time: 0.90
epoch 3000:	pdl:3.87e-01 	 Rec:6.66e-04 	 Color:0.00e+00 	Time: 0.82
epoch 3050:	pdl:3.36e-01 	 Rec:6.57e-04 	 Color:0.00e+00 	Time: 0.89
epoch 3100:	pdl:3.54e-01 	 Rec:8.31e-04 	 Color:0.00e+00 	Time: 0.86
epoch 3150:	pdl:3.37e-01 	 Rec:6.65e-04 	 Color:0.00e+00 	Time: 0.83
epoch 3200:	pdl:3.83e-01 	 Rec:6.31e-04 	 Color:0.00e+00 	Time: 0.81
epoch 3250:	pdl:3.55e-01 	 Rec:6.04e-04 	 Color:0.00e+00 	Time: 0.85
epoch 3300:	pdl:3.27e-01 	 Rec:5.72e-04 	 Color:0.00e+00 	Time: 0.91
epoch 3350:	pdl:3.73e-01 	 Rec:6.19e-04 	 Color:0.00e+00 	Time: 0.88
epoch 3400:	pdl:3.53e-01 	 Rec:5.67e-04 	 Color:0.00e+00 	Time: 0.86
epoch 3450:	pdl:4.03e-01 	 Rec:5.15e-04 	 Color:0.00e+00 	Time: 0.85
epoch 3500:	pdl:4.54e-01 	 Rec:6.27e-04 	 Color:0.00e+00 	Time: 0.85
epoch 3550:	pdl:3.20e-01 	 Rec:5.25e-04 	 Color:0.00e+00 	Time: 0.87
epoch 3600:	pdl:3.68e-01 	 Rec:5.50e-04 	 Color:0.00e+00 	Time: 0.87
epoch 3650:	pdl:3.78e-01 	 Rec:5.55e-04 	 Color:0.00e+00 	Time: 0.86
epoch 3700:	pdl:3.71e-01 	 Rec:5.34e-04 	 Color:0.00e+00 	Time: 0.85
epoch 3750:	pdl:3.96e-01 	 Rec:4.98e-04 	 Color:0.00e+00 	Time: 0.85
epoch 3800:	pdl:4.45e-01 	 Rec:5.63e-04 	 Color:0.00e+00 	Time: 0.87
epoch 3850:	pdl:4.15e-01 	 Rec:4.86e-04 	 Color:0.00e+00 	Time: 0.91
epoch 3900:	pdl:3.94e-01 	 Rec:4.95e-04 	 Color:0.00e+00 	Time: 0.88
epoch 3950:	pdl:3.76e-01 	 Rec:4.95e-04 	 Color:0.00e+00 	Time: 0.88
epoch 4000:	pdl:3.47e-01 	 Rec:5.17e-04 	 Color:0.00e+00 	Time: 0.89
epoch 4050:	pdl:3.61e-01 	 Rec:5.66e-04 	 Color:0.00e+00 	Time: 0.84
epoch 4100:	pdl:4.00e-01 	 Rec:5.71e-04 	 Color:0.00e+00 	Time: 0.92
epoch 4150:	pdl:3.92e-01 	 Rec:5.61e-04 	 Color:0.00e+00 	Time: 0.89
epoch 4200:	pdl:3.83e-01 	 Rec:5.34e-04 	 Color:0.00e+00 	Time: 0.83
epoch 4250:	pdl:3.56e-01 	 Rec:4.97e-04 	 Color:0.00e+00 	Time: 0.85
