epoch 0:	pdl:1.22e-01 	 Rec:1.70e-03 	 Color:1.66e-02 	Time: 0.03
epoch 50:	pdl:1.13e-01 	 Rec:1.00e-03 	 Color:1.75e-02 	Time: 2.83
epoch 100:	pdl:1.16e-01 	 Rec:8.66e-04 	 Color:1.72e-02 	Time: 2.79
epoch 150:	pdl:1.16e-01 	 Rec:8.15e-04 	 Color:1.50e-02 	Time: 2.79
epoch 200:	pdl:1.04e-01 	 Rec:7.46e-04 	 Color:1.63e-02 	Time: 2.80
epoch 250:	pdl:1.12e-01 	 Rec:7.35e-04 	 Color:1.73e-02 	Time: 2.78
epoch 300:	pdl:1.25e-01 	 Rec:7.21e-04 	 Color:1.77e-02 	Time: 2.78
epoch 350:	pdl:1.06e-01 	 Rec:6.65e-04 	 Color:1.69e-02 	Time: 2.78
epoch 400:	pdl:1.01e-01 	 Rec:6.96e-04 	 Color:1.48e-02 	Time: 2.78
epoch 450:	pdl:1.12e-01 	 Rec:6.44e-04 	 Color:1.59e-02 	Time: 2.78
epoch 500:	pdl:1.12e-01 	 Rec:6.83e-04 	 Color:1.70e-02 	Time: 2.79
epoch 550:	pdl:1.26e-01 	 Rec:6.15e-04 	 Color:2.38e-02 	Time: 2.78
epoch 600:	pdl:1.09e-01 	 Rec:5.93e-04 	 Color:1.54e-02 	Time: 2.77
epoch 650:	pdl:1.17e-01 	 Rec:5.87e-04 	 Color:1.84e-02 	Time: 2.77
epoch 700:	pdl:1.15e-01 	 Rec:5.90e-04 	 Color:1.72e-02 	Time: 2.79
epoch 750:	pdl:1.12e-01 	 Rec:5.79e-04 	 Color:1.71e-02 	Time: 2.77
epoch 800:	pdl:1.17e-01 	 Rec:5.97e-04 	 Color:1.95e-02 	Time: 2.78
epoch 850:	pdl:1.23e-01 	 Rec:5.50e-04 	 Color:1.95e-02 	Time: 2.78
epoch 900:	pdl:1.18e-01 	 Rec:5.50e-04 	 Color:1.82e-02 	Time: 2.77
epoch 950:	pdl:1.59e-01 	 Rec:5.15e-04 	 Color:1.99e-02 	Time: 2.78
epoch 1000:	pdl:1.14e-01 	 Rec:5.29e-04 	 Color:1.84e-02 	Time: 2.77
epoch 1050:	pdl:1.18e-01 	 Rec:5.64e-04 	 Color:1.96e-02 	Time: 2.80
