epoch 0:	pdl:1.74e+00 	 Rec:7.04e-02 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:6.20e-01 	 Rec:2.13e-02 	 Color:0.00e+00 	Time: 0.98
epoch 100:	pdl:6.79e-01 	 Rec:1.71e-02 	 Color:0.00e+00 	Time: 0.92
epoch 150:	pdl:5.81e-01 	 Rec:1.42e-02 	 Color:0.00e+00 	Time: 0.93
epoch 200:	pdl:6.66e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 0.93
epoch 250:	pdl:5.92e-01 	 Rec:1.10e-02 	 Color:0.00e+00 	Time: 0.97
epoch 300:	pdl:6.77e-01 	 Rec:1.02e-02 	 Color:0.00e+00 	Time: 0.94
epoch 350:	pdl:5.49e-01 	 Rec:9.40e-03 	 Color:0.00e+00 	Time: 0.98
epoch 400:	pdl:5.64e-01 	 Rec:8.70e-03 	 Color:0.00e+00 	Time: 0.95
epoch 450:	pdl:6.27e-01 	 Rec:7.99e-03 	 Color:0.00e+00 	Time: 0.93
epoch 500:	pdl:5.94e-01 	 Rec:7.74e-03 	 Color:0.00e+00 	Time: 0.90
epoch 550:	pdl:5.85e-01 	 Rec:7.20e-03 	 Color:0.00e+00 	Time: 0.91
epoch 600:	pdl:6.12e-01 	 Rec:6.72e-03 	 Color:0.00e+00 	Time: 0.96
epoch 650:	pdl:5.67e-01 	 Rec:6.37e-03 	 Color:0.00e+00 	Time: 0.92
epoch 700:	pdl:5.95e-01 	 Rec:5.90e-03 	 Color:0.00e+00 	Time: 0.93
epoch 750:	pdl:5.63e-01 	 Rec:5.88e-03 	 Color:0.00e+00 	Time: 0.93
epoch 800:	pdl:5.63e-01 	 Rec:5.32e-03 	 Color:0.00e+00 	Time: 0.93
epoch 850:	pdl:5.29e-01 	 Rec:5.14e-03 	 Color:0.00e+00 	Time: 0.97
epoch 900:	pdl:5.93e-01 	 Rec:4.68e-03 	 Color:0.00e+00 	Time: 0.94
epoch 950:	pdl:6.69e-01 	 Rec:4.51e-03 	 Color:0.00e+00 	Time: 0.95
epoch 1000:	pdl:5.43e-01 	 Rec:4.57e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1050:	pdl:5.63e-01 	 Rec:4.56e-03 	 Color:0.00e+00 	Time: 0.94
epoch 1100:	pdl:5.53e-01 	 Rec:4.17e-03 	 Color:0.00e+00 	Time: 0.95
epoch 1150:	pdl:5.61e-01 	 Rec:3.95e-03 	 Color:0.00e+00 	Time: 0.95
epoch 1200:	pdl:5.64e-01 	 Rec:3.73e-03 	 Color:0.00e+00 	Time: 1.00
epoch 1250:	pdl:5.74e-01 	 Rec:3.85e-03 	 Color:0.00e+00 	Time: 0.95
epoch 1300:	pdl:5.88e-01 	 Rec:3.58e-03 	 Color:0.00e+00 	Time: 0.92
epoch 1350:	pdl:5.25e-01 	 Rec:3.73e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1400:	pdl:5.38e-01 	 Rec:3.51e-03 	 Color:0.00e+00 	Time: 0.93
epoch 1450:	pdl:6.20e-01 	 Rec:3.45e-03 	 Color:0.00e+00 	Time: 0.93
epoch 1500:	pdl:6.23e-01 	 Rec:3.37e-03 	 Color:0.00e+00 	Time: 0.92
epoch 1550:	pdl:6.31e-01 	 Rec:3.35e-03 	 Color:0.00e+00 	Time: 0.93
epoch 1600:	pdl:5.84e-01 	 Rec:3.28e-03 	 Color:0.00e+00 	Time: 0.94
epoch 1650:	pdl:5.52e-01 	 Rec:3.02e-03 	 Color:0.00e+00 	Time: 0.92
epoch 1700:	pdl:5.88e-01 	 Rec:2.82e-03 	 Color:0.00e+00 	Time: 0.90
epoch 1750:	pdl:5.18e-01 	 Rec:2.82e-03 	 Color:0.00e+00 	Time: 0.90
epoch 1800:	pdl:5.94e-01 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 0.92
epoch 1850:	pdl:5.87e-01 	 Rec:2.60e-03 	 Color:0.00e+00 	Time: 0.91
epoch 1900:	pdl:5.64e-01 	 Rec:2.95e-03 	 Color:0.00e+00 	Time: 0.92
epoch 1950:	pdl:5.89e-01 	 Rec:2.67e-03 	 Color:0.00e+00 	Time: 0.98
epoch 2000:	pdl:6.08e-01 	 Rec:2.45e-03 	 Color:0.00e+00 	Time: 0.93
epoch 2050:	pdl:6.64e-01 	 Rec:2.77e-03 	 Color:0.00e+00 	Time: 0.94
epoch 2100:	pdl:5.45e-01 	 Rec:2.36e-03 	 Color:0.00e+00 	Time: 0.91
epoch 2150:	pdl:5.56e-01 	 Rec:2.48e-03 	 Color:0.00e+00 	Time: 0.92
epoch 2200:	pdl:5.21e-01 	 Rec:2.41e-03 	 Color:0.00e+00 	Time: 0.92
epoch 2250:	pdl:5.51e-01 	 Rec:2.41e-03 	 Color:0.00e+00 	Time: 0.91
epoch 2300:	pdl:6.05e-01 	 Rec:2.48e-03 	 Color:0.00e+00 	Time: 0.91
epoch 2350:	pdl:6.10e-01 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 0.90
epoch 2400:	pdl:5.48e-01 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 0.90
epoch 2450:	pdl:5.79e-01 	 Rec:1.98e-03 	 Color:0.00e+00 	Time: 0.88
epoch 2500:	pdl:5.39e-01 	 Rec:2.10e-03 	 Color:0.00e+00 	Time: 0.88
epoch 2550:	pdl:5.30e-01 	 Rec:2.03e-03 	 Color:0.00e+00 	Time: 0.92
epoch 2600:	pdl:4.95e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 0.91
epoch 2650:	pdl:5.56e-01 	 Rec:1.92e-03 	 Color:0.00e+00 	Time: 0.92
epoch 2700:	pdl:5.37e-01 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 0.88
epoch 2750:	pdl:5.60e-01 	 Rec:2.00e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2800:	pdl:5.31e-01 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 0.88
epoch 2850:	pdl:6.35e-01 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 0.94
epoch 2900:	pdl:5.64e-01 	 Rec:1.91e-03 	 Color:0.00e+00 	Time: 0.92
epoch 2950:	pdl:5.22e-01 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 0.93
epoch 3000:	pdl:5.49e-01 	 Rec:2.14e-03 	 Color:0.00e+00 	Time: 0.92
epoch 3050:	pdl:5.85e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.92
epoch 3100:	pdl:5.68e-01 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 0.94
