epoch 0:	pdl:1.28e+00 	 Rec:2.73e-01 	 Color:4.44e-01 	Time: 0.01
epoch 50:	pdl:3.56e-01 	 Rec:1.76e-02 	 Color:1.58e-01 	Time: 0.59
epoch 100:	pdl:3.07e-01 	 Rec:4.07e-03 	 Color:1.33e-01 	Time: 0.51
epoch 150:	pdl:3.04e-01 	 Rec:3.25e-03 	 Color:1.34e-01 	Time: 0.50
epoch 200:	pdl:2.97e-01 	 Rec:2.37e-03 	 Color:1.29e-01 	Time: 0.48
epoch 250:	pdl:2.81e-01 	 Rec:2.17e-03 	 Color:1.19e-01 	Time: 0.52
epoch 300:	pdl:2.76e-01 	 Rec:1.73e-03 	 Color:1.11e-01 	Time: 0.52
epoch 350:	pdl:2.84e-01 	 Rec:1.65e-03 	 Color:1.15e-01 	Time: 0.50
epoch 400:	pdl:2.81e-01 	 Rec:1.51e-03 	 Color:1.14e-01 	Time: 0.48
epoch 450:	pdl:2.71e-01 	 Rec:1.50e-03 	 Color:1.09e-01 	Time: 0.50
epoch 500:	pdl:2.53e-01 	 Rec:1.48e-03 	 Color:9.30e-02 	Time: 0.50
epoch 550:	pdl:2.82e-01 	 Rec:1.25e-03 	 Color:1.15e-01 	Time: 0.54
epoch 600:	pdl:2.72e-01 	 Rec:1.21e-03 	 Color:1.07e-01 	Time: 0.51
epoch 650:	pdl:3.14e-01 	 Rec:1.12e-03 	 Color:1.16e-01 	Time: 0.47
epoch 700:	pdl:2.84e-01 	 Rec:1.24e-03 	 Color:1.18e-01 	Time: 0.52
epoch 750:	pdl:2.70e-01 	 Rec:1.13e-03 	 Color:1.06e-01 	Time: 0.51
epoch 800:	pdl:2.62e-01 	 Rec:9.77e-04 	 Color:1.03e-01 	Time: 0.46
epoch 850:	pdl:2.76e-01 	 Rec:9.43e-04 	 Color:9.65e-02 	Time: 0.49
epoch 900:	pdl:2.73e-01 	 Rec:9.77e-04 	 Color:1.13e-01 	Time: 0.47
epoch 950:	pdl:2.66e-01 	 Rec:9.66e-04 	 Color:9.94e-02 	Time: 0.50
epoch 1000:	pdl:2.59e-01 	 Rec:1.02e-03 	 Color:1.01e-01 	Time: 0.50
epoch 1050:	pdl:2.63e-01 	 Rec:8.80e-04 	 Color:1.09e-01 	Time: 0.54
epoch 1100:	pdl:2.69e-01 	 Rec:8.38e-04 	 Color:1.08e-01 	Time: 0.51
epoch 1150:	pdl:2.68e-01 	 Rec:8.98e-04 	 Color:1.01e-01 	Time: 0.51
epoch 1200:	pdl:2.65e-01 	 Rec:9.14e-04 	 Color:1.07e-01 	Time: 0.45
epoch 1250:	pdl:2.56e-01 	 Rec:7.20e-04 	 Color:8.73e-02 	Time: 0.53
epoch 1300:	pdl:2.68e-01 	 Rec:7.27e-04 	 Color:9.28e-02 	Time: 0.54
epoch 1350:	pdl:2.61e-01 	 Rec:8.17e-04 	 Color:9.68e-02 	Time: 0.52
epoch 1400:	pdl:2.70e-01 	 Rec:7.11e-04 	 Color:1.04e-01 	Time: 0.48
epoch 1450:	pdl:2.63e-01 	 Rec:7.29e-04 	 Color:9.65e-02 	Time: 0.49
epoch 1500:	pdl:2.60e-01 	 Rec:7.04e-04 	 Color:1.01e-01 	Time: 0.52
epoch 1550:	pdl:2.53e-01 	 Rec:6.84e-04 	 Color:8.86e-02 	Time: 0.46
epoch 1600:	pdl:2.60e-01 	 Rec:8.78e-04 	 Color:9.45e-02 	Time: 0.51
epoch 1650:	pdl:2.52e-01 	 Rec:7.81e-04 	 Color:9.59e-02 	Time: 0.49
epoch 1700:	pdl:2.55e-01 	 Rec:7.26e-04 	 Color:1.02e-01 	Time: 0.49
epoch 1750:	pdl:2.62e-01 	 Rec:6.21e-04 	 Color:8.87e-02 	Time: 0.48
epoch 1800:	pdl:2.60e-01 	 Rec:5.61e-04 	 Color:8.53e-02 	Time: 0.48
epoch 1850:	pdl:2.57e-01 	 Rec:1.05e-03 	 Color:8.93e-02 	Time: 0.50
epoch 1900:	pdl:2.66e-01 	 Rec:6.31e-04 	 Color:1.00e-01 	Time: 0.47
epoch 1950:	pdl:2.64e-01 	 Rec:6.23e-04 	 Color:9.67e-02 	Time: 0.51
epoch 2000:	pdl:2.64e-01 	 Rec:5.75e-04 	 Color:8.99e-02 	Time: 0.51
epoch 2050:	pdl:2.59e-01 	 Rec:6.82e-04 	 Color:9.55e-02 	Time: 0.53
