epoch 0:	pdl:8.76e-01 	 Rec:9.62e-02 	 Color:1.65e-01 	Time: 0.02
epoch 50:	pdl:2.34e-01 	 Rec:4.75e-03 	 Color:7.78e-02 	Time: 0.98
epoch 100:	pdl:2.18e-01 	 Rec:3.52e-03 	 Color:7.76e-02 	Time: 0.85
epoch 150:	pdl:2.38e-01 	 Rec:2.92e-03 	 Color:7.96e-02 	Time: 0.84
epoch 200:	pdl:2.43e-01 	 Rec:2.64e-03 	 Color:8.40e-02 	Time: 0.83
epoch 250:	pdl:2.22e-01 	 Rec:2.41e-03 	 Color:7.45e-02 	Time: 0.83
epoch 300:	pdl:2.37e-01 	 Rec:2.20e-03 	 Color:7.74e-02 	Time: 0.84
epoch 350:	pdl:2.30e-01 	 Rec:2.18e-03 	 Color:7.51e-02 	Time: 0.83
epoch 400:	pdl:2.29e-01 	 Rec:2.11e-03 	 Color:7.97e-02 	Time: 0.81
epoch 450:	pdl:2.31e-01 	 Rec:1.93e-03 	 Color:7.69e-02 	Time: 0.87
epoch 500:	pdl:2.54e-01 	 Rec:2.00e-03 	 Color:9.26e-02 	Time: 0.85
epoch 550:	pdl:2.35e-01 	 Rec:1.85e-03 	 Color:7.86e-02 	Time: 0.84
epoch 600:	pdl:2.18e-01 	 Rec:1.72e-03 	 Color:7.44e-02 	Time: 0.83
epoch 650:	pdl:2.28e-01 	 Rec:1.58e-03 	 Color:7.48e-02 	Time: 0.82
epoch 700:	pdl:2.24e-01 	 Rec:1.63e-03 	 Color:7.92e-02 	Time: 0.86
epoch 750:	pdl:2.21e-01 	 Rec:1.50e-03 	 Color:7.43e-02 	Time: 0.86
epoch 800:	pdl:2.36e-01 	 Rec:1.49e-03 	 Color:7.45e-02 	Time: 0.87
epoch 850:	pdl:2.23e-01 	 Rec:1.52e-03 	 Color:7.24e-02 	Time: 0.83
epoch 900:	pdl:2.32e-01 	 Rec:1.35e-03 	 Color:8.95e-02 	Time: 0.82
epoch 950:	pdl:2.20e-01 	 Rec:1.26e-03 	 Color:7.58e-02 	Time: 0.80
epoch 1000:	pdl:2.27e-01 	 Rec:1.32e-03 	 Color:7.67e-02 	Time: 0.85
epoch 1050:	pdl:2.55e-01 	 Rec:1.16e-03 	 Color:9.01e-02 	Time: 0.84
epoch 1100:	pdl:2.41e-01 	 Rec:1.13e-03 	 Color:8.81e-02 	Time: 0.81
epoch 1150:	pdl:2.28e-01 	 Rec:1.20e-03 	 Color:7.66e-02 	Time: 0.83
epoch 1200:	pdl:2.29e-01 	 Rec:1.11e-03 	 Color:8.27e-02 	Time: 0.84
epoch 1250:	pdl:2.09e-01 	 Rec:1.17e-03 	 Color:7.41e-02 	Time: 0.80
epoch 1300:	pdl:2.27e-01 	 Rec:1.13e-03 	 Color:7.92e-02 	Time: 0.82
epoch 1350:	pdl:2.13e-01 	 Rec:1.15e-03 	 Color:7.20e-02 	Time: 0.83
epoch 1400:	pdl:2.18e-01 	 Rec:1.02e-03 	 Color:7.10e-02 	Time: 0.80
epoch 1450:	pdl:2.29e-01 	 Rec:1.14e-03 	 Color:7.72e-02 	Time: 0.79
epoch 1500:	pdl:2.22e-01 	 Rec:1.00e-03 	 Color:7.28e-02 	Time: 0.84
epoch 1550:	pdl:2.26e-01 	 Rec:1.06e-03 	 Color:7.91e-02 	Time: 0.81
