epoch 0:	pdl:1.06e+00 	 Rec:7.94e-02 	 Color:6.65e-02 	Time: 0.04
epoch 50:	pdl:5.25e-01 	 Rec:1.71e-02 	 Color:4.83e-02 	Time: 1.39
epoch 100:	pdl:4.79e-01 	 Rec:1.34e-02 	 Color:4.77e-02 	Time: 1.42
epoch 150:	pdl:4.83e-01 	 Rec:1.14e-02 	 Color:4.40e-02 	Time: 1.39
epoch 200:	pdl:4.79e-01 	 Rec:9.75e-03 	 Color:4.39e-02 	Time: 1.39
epoch 250:	pdl:4.83e-01 	 Rec:8.83e-03 	 Color:4.91e-02 	Time: 1.38
epoch 300:	pdl:5.31e-01 	 Rec:8.52e-03 	 Color:4.43e-02 	Time: 1.39
epoch 350:	pdl:5.34e-01 	 Rec:7.11e-03 	 Color:4.26e-02 	Time: 1.41
epoch 400:	pdl:4.95e-01 	 Rec:6.51e-03 	 Color:4.56e-02 	Time: 1.39
epoch 450:	pdl:4.73e-01 	 Rec:5.96e-03 	 Color:4.82e-02 	Time: 1.39
epoch 500:	pdl:5.03e-01 	 Rec:6.27e-03 	 Color:4.59e-02 	Time: 1.42
epoch 550:	pdl:4.89e-01 	 Rec:5.23e-03 	 Color:4.13e-02 	Time: 1.39
epoch 600:	pdl:4.44e-01 	 Rec:4.80e-03 	 Color:4.20e-02 	Time: 1.38
epoch 650:	pdl:5.27e-01 	 Rec:4.45e-03 	 Color:4.09e-02 	Time: 1.45
epoch 700:	pdl:5.00e-01 	 Rec:4.32e-03 	 Color:4.29e-02 	Time: 1.41
epoch 750:	pdl:4.73e-01 	 Rec:4.28e-03 	 Color:4.64e-02 	Time: 1.39
epoch 800:	pdl:4.64e-01 	 Rec:4.09e-03 	 Color:4.58e-02 	Time: 1.34
epoch 850:	pdl:4.56e-01 	 Rec:3.42e-03 	 Color:4.17e-02 	Time: 1.40
epoch 900:	pdl:4.81e-01 	 Rec:3.33e-03 	 Color:4.26e-02 	Time: 1.37
epoch 950:	pdl:4.80e-01 	 Rec:3.80e-03 	 Color:4.53e-02 	Time: 1.35
epoch 1000:	pdl:4.73e-01 	 Rec:3.16e-03 	 Color:4.22e-02 	Time: 1.36
epoch 1050:	pdl:4.72e-01 	 Rec:3.02e-03 	 Color:4.56e-02 	Time: 1.40
epoch 1100:	pdl:4.89e-01 	 Rec:3.00e-03 	 Color:4.64e-02 	Time: 1.36
epoch 1150:	pdl:4.60e-01 	 Rec:2.84e-03 	 Color:4.69e-02 	Time: 1.38
epoch 1200:	pdl:4.57e-01 	 Rec:2.63e-03 	 Color:3.84e-02 	Time: 1.39
epoch 1250:	pdl:4.67e-01 	 Rec:2.60e-03 	 Color:4.46e-02 	Time: 1.37
epoch 1300:	pdl:4.52e-01 	 Rec:2.53e-03 	 Color:3.86e-02 	Time: 1.39
epoch 1350:	pdl:4.63e-01 	 Rec:2.34e-03 	 Color:4.66e-02 	Time: 1.38
epoch 1400:	pdl:4.76e-01 	 Rec:2.33e-03 	 Color:4.69e-02 	Time: 1.41
epoch 1450:	pdl:4.48e-01 	 Rec:2.42e-03 	 Color:4.05e-02 	Time: 1.37
epoch 1500:	pdl:4.67e-01 	 Rec:2.29e-03 	 Color:4.26e-02 	Time: 1.40
epoch 1550:	pdl:4.56e-01 	 Rec:2.03e-03 	 Color:4.03e-02 	Time: 1.36
epoch 1600:	pdl:4.78e-01 	 Rec:1.98e-03 	 Color:4.65e-02 	Time: 1.39
epoch 1650:	pdl:4.42e-01 	 Rec:1.92e-03 	 Color:3.87e-02 	Time: 1.38
epoch 1700:	pdl:4.60e-01 	 Rec:1.90e-03 	 Color:4.12e-02 	Time: 1.39
epoch 1750:	pdl:4.50e-01 	 Rec:1.90e-03 	 Color:4.07e-02 	Time: 1.34
epoch 1800:	pdl:4.60e-01 	 Rec:1.86e-03 	 Color:4.01e-02 	Time: 1.37
epoch 1850:	pdl:4.52e-01 	 Rec:1.76e-03 	 Color:4.44e-02 	Time: 1.39
epoch 1900:	pdl:4.61e-01 	 Rec:1.85e-03 	 Color:4.20e-02 	Time: 1.37
epoch 1950:	pdl:4.73e-01 	 Rec:1.69e-03 	 Color:4.56e-02 	Time: 1.42
epoch 2000:	pdl:4.83e-01 	 Rec:1.80e-03 	 Color:3.91e-02 	Time: 1.42
epoch 2050:	pdl:4.50e-01 	 Rec:1.70e-03 	 Color:3.84e-02 	Time: 1.35
epoch 2100:	pdl:4.50e-01 	 Rec:1.50e-03 	 Color:4.06e-02 	Time: 1.37
epoch 2150:	pdl:4.72e-01 	 Rec:1.62e-03 	 Color:4.45e-02 	Time: 1.37
epoch 2200:	pdl:4.40e-01 	 Rec:1.42e-03 	 Color:4.12e-02 	Time: 1.36
epoch 2250:	pdl:4.72e-01 	 Rec:1.44e-03 	 Color:4.77e-02 	Time: 1.39
epoch 2300:	pdl:4.57e-01 	 Rec:1.48e-03 	 Color:4.41e-02 	Time: 1.79
epoch 2350:	pdl:4.23e-01 	 Rec:1.36e-03 	 Color:4.44e-02 	Time: 1.64
epoch 2400:	pdl:5.13e-01 	 Rec:1.53e-03 	 Color:4.26e-02 	Time: 2.28
epoch 2450:	pdl:4.76e-01 	 Rec:1.40e-03 	 Color:4.14e-02 	Time: 2.78
epoch 2500:	pdl:4.28e-01 	 Rec:1.38e-03 	 Color:4.01e-02 	Time: 1.94
