epoch 0:	pdl:2.76e-01 	 Rec:5.49e-03 	 Color:5.63e-02 	Time: 0.03
epoch 50:	pdl:2.33e-01 	 Rec:3.43e-03 	 Color:5.45e-02 	Time: 2.81
epoch 100:	pdl:2.40e-01 	 Rec:3.09e-03 	 Color:5.53e-02 	Time: 2.76
epoch 150:	pdl:2.19e-01 	 Rec:2.91e-03 	 Color:5.07e-02 	Time: 2.76
epoch 200:	pdl:2.52e-01 	 Rec:2.69e-03 	 Color:5.62e-02 	Time: 2.77
epoch 250:	pdl:2.53e-01 	 Rec:2.94e-03 	 Color:5.48e-02 	Time: 2.76
epoch 300:	pdl:2.51e-01 	 Rec:2.72e-03 	 Color:5.40e-02 	Time: 2.75
epoch 350:	pdl:2.59e-01 	 Rec:2.57e-03 	 Color:5.81e-02 	Time: 2.74
epoch 400:	pdl:2.32e-01 	 Rec:2.44e-03 	 Color:5.35e-02 	Time: 2.75
epoch 450:	pdl:2.47e-01 	 Rec:2.30e-03 	 Color:5.71e-02 	Time: 2.75
epoch 500:	pdl:2.36e-01 	 Rec:2.26e-03 	 Color:5.55e-02 	Time: 2.75
epoch 550:	pdl:2.26e-01 	 Rec:2.17e-03 	 Color:5.31e-02 	Time: 2.75
epoch 600:	pdl:2.28e-01 	 Rec:2.08e-03 	 Color:5.75e-02 	Time: 2.76
epoch 650:	pdl:2.30e-01 	 Rec:2.13e-03 	 Color:5.29e-02 	Time: 2.74
epoch 700:	pdl:2.33e-01 	 Rec:2.04e-03 	 Color:5.43e-02 	Time: 2.75
epoch 750:	pdl:2.49e-01 	 Rec:2.05e-03 	 Color:5.55e-02 	Time: 2.75
epoch 800:	pdl:2.35e-01 	 Rec:2.06e-03 	 Color:5.68e-02 	Time: 2.76
epoch 850:	pdl:2.56e-01 	 Rec:1.98e-03 	 Color:5.50e-02 	Time: 2.75
epoch 900:	pdl:2.25e-01 	 Rec:1.83e-03 	 Color:5.44e-02 	Time: 2.75
epoch 950:	pdl:2.45e-01 	 Rec:1.88e-03 	 Color:5.70e-02 	Time: 2.75
epoch 1000:	pdl:2.42e-01 	 Rec:1.90e-03 	 Color:5.58e-02 	Time: 2.75
epoch 1050:	pdl:2.65e-01 	 Rec:1.85e-03 	 Color:5.26e-02 	Time: 2.77
epoch 1100:	pdl:2.60e-01 	 Rec:1.81e-03 	 Color:5.52e-02 	Time: 2.75
epoch 1150:	pdl:2.36e-01 	 Rec:1.80e-03 	 Color:5.31e-02 	Time: 2.76
epoch 1200:	pdl:2.46e-01 	 Rec:1.69e-03 	 Color:5.46e-02 	Time: 2.75
epoch 1250:	pdl:2.60e-01 	 Rec:1.63e-03 	 Color:5.35e-02 	Time: 2.77
epoch 1300:	pdl:2.30e-01 	 Rec:1.60e-03 	 Color:5.54e-02 	Time: 2.77
epoch 1350:	pdl:2.28e-01 	 Rec:1.67e-03 	 Color:5.72e-02 	Time: 2.77
epoch 1400:	pdl:2.32e-01 	 Rec:1.55e-03 	 Color:5.36e-02 	Time: 2.77
epoch 1450:	pdl:2.34e-01 	 Rec:1.71e-03 	 Color:5.56e-02 	Time: 2.77
epoch 1500:	pdl:2.24e-01 	 Rec:1.55e-03 	 Color:5.14e-02 	Time: 2.77
epoch 1550:	pdl:2.13e-01 	 Rec:1.54e-03 	 Color:5.61e-02 	Time: 2.77
epoch 1600:	pdl:2.41e-01 	 Rec:1.48e-03 	 Color:5.44e-02 	Time: 2.76
epoch 1650:	pdl:2.51e-01 	 Rec:1.52e-03 	 Color:6.05e-02 	Time: 2.77
epoch 1700:	pdl:2.48e-01 	 Rec:1.43e-03 	 Color:5.61e-02 	Time: 2.76
epoch 1750:	pdl:2.35e-01 	 Rec:1.48e-03 	 Color:5.38e-02 	Time: 2.77
epoch 1800:	pdl:2.35e-01 	 Rec:1.41e-03 	 Color:5.16e-02 	Time: 2.78
epoch 1850:	pdl:2.27e-01 	 Rec:1.58e-03 	 Color:5.30e-02 	Time: 2.78
epoch 1900:	pdl:2.18e-01 	 Rec:1.61e-03 	 Color:5.32e-02 	Time: 2.78
epoch 1950:	pdl:2.72e-01 	 Rec:1.51e-03 	 Color:5.68e-02 	Time: 2.78
epoch 2000:	pdl:2.42e-01 	 Rec:1.43e-03 	 Color:5.18e-02 	Time: 2.78
epoch 2050:	pdl:2.32e-01 	 Rec:1.32e-03 	 Color:5.55e-02 	Time: 2.80
epoch 2100:	pdl:2.49e-01 	 Rec:1.29e-03 	 Color:5.62e-02 	Time: 2.78
epoch 2150:	pdl:2.24e-01 	 Rec:1.37e-03 	 Color:5.39e-02 	Time: 2.78
epoch 2200:	pdl:2.69e-01 	 Rec:1.48e-03 	 Color:5.91e-02 	Time: 2.78
epoch 2250:	pdl:2.40e-01 	 Rec:1.36e-03 	 Color:5.77e-02 	Time: 2.76
epoch 2300:	pdl:2.39e-01 	 Rec:1.38e-03 	 Color:5.29e-02 	Time: 2.77
