epoch 0:	pdl:1.03e+00 	 Rec:1.58e-01 	 Color:2.53e-01 	Time: 0.02
epoch 50:	pdl:1.77e-01 	 Rec:1.17e-02 	 Color:1.12e-01 	Time: 1.83
epoch 100:	pdl:1.42e-01 	 Rec:7.58e-03 	 Color:1.02e-01 	Time: 1.82
epoch 150:	pdl:1.32e-01 	 Rec:6.80e-03 	 Color:1.03e-01 	Time: 1.84
epoch 200:	pdl:1.36e-01 	 Rec:6.59e-03 	 Color:1.01e-01 	Time: 1.85
epoch 250:	pdl:1.35e-01 	 Rec:6.15e-03 	 Color:1.03e-01 	Time: 1.84
epoch 300:	pdl:1.35e-01 	 Rec:6.33e-03 	 Color:1.05e-01 	Time: 1.82
epoch 350:	pdl:1.39e-01 	 Rec:5.91e-03 	 Color:9.78e-02 	Time: 1.83
epoch 400:	pdl:1.31e-01 	 Rec:5.98e-03 	 Color:9.89e-02 	Time: 1.84
epoch 450:	pdl:1.43e-01 	 Rec:5.85e-03 	 Color:1.00e-01 	Time: 1.82
epoch 500:	pdl:1.56e-01 	 Rec:5.79e-03 	 Color:1.07e-01 	Time: 1.82
epoch 550:	pdl:1.34e-01 	 Rec:5.66e-03 	 Color:1.02e-01 	Time: 1.84
epoch 600:	pdl:1.33e-01 	 Rec:5.47e-03 	 Color:1.07e-01 	Time: 1.85
epoch 650:	pdl:1.29e-01 	 Rec:5.54e-03 	 Color:1.02e-01 	Time: 1.84
epoch 700:	pdl:1.34e-01 	 Rec:5.35e-03 	 Color:1.01e-01 	Time: 1.83
epoch 750:	pdl:1.27e-01 	 Rec:5.22e-03 	 Color:1.04e-01 	Time: 1.84
epoch 800:	pdl:1.23e-01 	 Rec:5.16e-03 	 Color:9.99e-02 	Time: 1.84
epoch 850:	pdl:1.36e-01 	 Rec:5.24e-03 	 Color:1.10e-01 	Time: 1.84
epoch 900:	pdl:1.23e-01 	 Rec:5.46e-03 	 Color:9.86e-02 	Time: 1.83
epoch 950:	pdl:1.29e-01 	 Rec:5.18e-03 	 Color:1.01e-01 	Time: 1.83
epoch 1000:	pdl:1.30e-01 	 Rec:5.11e-03 	 Color:1.05e-01 	Time: 1.83
epoch 1050:	pdl:1.21e-01 	 Rec:5.12e-03 	 Color:9.79e-02 	Time: 1.85
epoch 1100:	pdl:1.34e-01 	 Rec:5.10e-03 	 Color:1.03e-01 	Time: 1.84
epoch 1150:	pdl:1.33e-01 	 Rec:5.04e-03 	 Color:1.02e-01 	Time: 1.84
epoch 1200:	pdl:1.23e-01 	 Rec:4.95e-03 	 Color:9.64e-02 	Time: 1.84
epoch 1250:	pdl:1.27e-01 	 Rec:4.94e-03 	 Color:1.00e-01 	Time: 1.86
epoch 1300:	pdl:1.25e-01 	 Rec:5.05e-03 	 Color:1.05e-01 	Time: 1.83
epoch 1350:	pdl:1.27e-01 	 Rec:4.96e-03 	 Color:9.72e-02 	Time: 1.85
epoch 1400:	pdl:1.32e-01 	 Rec:5.11e-03 	 Color:1.02e-01 	Time: 1.83
epoch 1450:	pdl:1.29e-01 	 Rec:5.06e-03 	 Color:1.09e-01 	Time: 1.84
epoch 1500:	pdl:1.33e-01 	 Rec:4.92e-03 	 Color:1.06e-01 	Time: 1.84
epoch 1550:	pdl:1.26e-01 	 Rec:4.76e-03 	 Color:9.58e-02 	Time: 1.83
epoch 1600:	pdl:1.24e-01 	 Rec:4.96e-03 	 Color:1.02e-01 	Time: 1.83
epoch 1650:	pdl:1.21e-01 	 Rec:4.94e-03 	 Color:9.81e-02 	Time: 1.84
epoch 1700:	pdl:1.38e-01 	 Rec:5.09e-03 	 Color:9.84e-02 	Time: 1.84
epoch 1750:	pdl:1.23e-01 	 Rec:4.85e-03 	 Color:9.81e-02 	Time: 1.84
epoch 1800:	pdl:1.24e-01 	 Rec:4.69e-03 	 Color:1.00e-01 	Time: 1.84
epoch 1850:	pdl:1.26e-01 	 Rec:4.87e-03 	 Color:1.01e-01 	Time: 1.83
epoch 1900:	pdl:1.23e-01 	 Rec:4.69e-03 	 Color:9.71e-02 	Time: 1.83
epoch 1950:	pdl:1.19e-01 	 Rec:4.68e-03 	 Color:9.73e-02 	Time: 1.83
epoch 2000:	pdl:1.27e-01 	 Rec:4.69e-03 	 Color:9.52e-02 	Time: 1.83
