epoch 0:	pdl:1.47e+00 	 Rec:3.37e-01 	 Color:4.41e-01 	Time: 0.01
epoch 50:	pdl:7.33e-01 	 Rec:2.52e-02 	 Color:3.18e-01 	Time: 0.44
epoch 100:	pdl:5.64e-01 	 Rec:5.95e-03 	 Color:2.17e-01 	Time: 0.43
epoch 150:	pdl:6.07e-01 	 Rec:3.33e-03 	 Color:2.46e-01 	Time: 0.43
epoch 200:	pdl:5.64e-01 	 Rec:1.81e-03 	 Color:2.41e-01 	Time: 0.43
epoch 250:	pdl:5.95e-01 	 Rec:1.27e-03 	 Color:2.75e-01 	Time: 0.43
epoch 300:	pdl:5.87e-01 	 Rec:1.24e-03 	 Color:2.48e-01 	Time: 0.43
epoch 350:	pdl:5.85e-01 	 Rec:7.01e-04 	 Color:2.67e-01 	Time: 0.44
epoch 400:	pdl:5.30e-01 	 Rec:5.93e-04 	 Color:2.24e-01 	Time: 0.44
epoch 450:	pdl:5.49e-01 	 Rec:5.11e-04 	 Color:2.37e-01 	Time: 0.44
epoch 500:	pdl:5.16e-01 	 Rec:4.92e-04 	 Color:2.04e-01 	Time: 0.44
epoch 550:	pdl:4.68e-01 	 Rec:4.07e-04 	 Color:1.67e-01 	Time: 0.44
epoch 600:	pdl:5.12e-01 	 Rec:4.35e-04 	 Color:1.92e-01 	Time: 0.44
epoch 650:	pdl:4.69e-01 	 Rec:3.50e-04 	 Color:1.54e-01 	Time: 0.44
epoch 700:	pdl:4.95e-01 	 Rec:4.52e-04 	 Color:1.75e-01 	Time: 0.43
epoch 750:	pdl:4.28e-01 	 Rec:3.16e-04 	 Color:1.42e-01 	Time: 0.43
epoch 800:	pdl:5.04e-01 	 Rec:4.90e-04 	 Color:1.79e-01 	Time: 0.43
epoch 850:	pdl:4.87e-01 	 Rec:2.45e-04 	 Color:1.92e-01 	Time: 0.43
epoch 900:	pdl:4.59e-01 	 Rec:3.26e-04 	 Color:1.72e-01 	Time: 0.43
epoch 950:	pdl:4.45e-01 	 Rec:3.84e-04 	 Color:1.54e-01 	Time: 0.43
epoch 1000:	pdl:5.13e-01 	 Rec:3.08e-04 	 Color:1.71e-01 	Time: 0.43
epoch 1050:	pdl:4.37e-01 	 Rec:2.51e-04 	 Color:1.63e-01 	Time: 0.44
epoch 1100:	pdl:4.00e-01 	 Rec:2.60e-04 	 Color:1.30e-01 	Time: 0.43
epoch 1150:	pdl:4.18e-01 	 Rec:2.25e-04 	 Color:1.47e-01 	Time: 0.43
epoch 1200:	pdl:4.25e-01 	 Rec:2.13e-04 	 Color:1.38e-01 	Time: 0.43
epoch 1250:	pdl:4.27e-01 	 Rec:2.49e-04 	 Color:1.52e-01 	Time: 0.43
epoch 1300:	pdl:4.37e-01 	 Rec:3.69e-04 	 Color:1.24e-01 	Time: 0.43
epoch 1350:	pdl:4.28e-01 	 Rec:2.58e-04 	 Color:1.55e-01 	Time: 0.42
epoch 1400:	pdl:4.25e-01 	 Rec:2.04e-04 	 Color:1.40e-01 	Time: 0.43
epoch 1450:	pdl:4.09e-01 	 Rec:2.30e-04 	 Color:1.33e-01 	Time: 0.43
epoch 1500:	pdl:4.07e-01 	 Rec:3.75e-04 	 Color:1.12e-01 	Time: 0.43
epoch 1550:	pdl:3.89e-01 	 Rec:2.39e-04 	 Color:1.06e-01 	Time: 0.43
epoch 1600:	pdl:4.68e-01 	 Rec:2.88e-04 	 Color:1.68e-01 	Time: 0.43
epoch 1650:	pdl:4.23e-01 	 Rec:3.34e-04 	 Color:1.42e-01 	Time: 0.44
epoch 1700:	pdl:4.04e-01 	 Rec:2.86e-04 	 Color:1.33e-01 	Time: 0.43
epoch 1750:	pdl:4.00e-01 	 Rec:2.61e-04 	 Color:1.33e-01 	Time: 0.43
epoch 1800:	pdl:3.96e-01 	 Rec:2.44e-04 	 Color:1.17e-01 	Time: 0.43
epoch 1850:	pdl:4.26e-01 	 Rec:2.31e-04 	 Color:1.35e-01 	Time: 0.43
epoch 1900:	pdl:3.87e-01 	 Rec:3.54e-04 	 Color:1.12e-01 	Time: 0.43
epoch 1950:	pdl:4.32e-01 	 Rec:2.21e-04 	 Color:1.40e-01 	Time: 0.43
epoch 2000:	pdl:3.86e-01 	 Rec:2.11e-04 	 Color:1.20e-01 	Time: 0.42
epoch 2050:	pdl:3.70e-01 	 Rec:2.98e-04 	 Color:1.08e-01 	Time: 0.43
epoch 2100:	pdl:4.21e-01 	 Rec:2.73e-04 	 Color:1.30e-01 	Time: 0.43
epoch 2150:	pdl:4.15e-01 	 Rec:3.63e-04 	 Color:1.55e-01 	Time: 0.43
epoch 2200:	pdl:3.83e-01 	 Rec:2.10e-04 	 Color:1.11e-01 	Time: 0.43
epoch 2250:	pdl:4.27e-01 	 Rec:3.01e-04 	 Color:1.29e-01 	Time: 0.43
