epoch 0:	pdl:1.48e-01 	 Rec:6.35e-03 	 Color:1.00e-01 	Time: 0.02
epoch 50:	pdl:1.47e-01 	 Rec:2.53e-03 	 Color:9.97e-02 	Time: 1.69
epoch 100:	pdl:1.42e-01 	 Rec:1.80e-03 	 Color:9.89e-02 	Time: 1.70
epoch 150:	pdl:1.53e-01 	 Rec:1.50e-03 	 Color:9.82e-02 	Time: 1.66
epoch 200:	pdl:1.39e-01 	 Rec:1.30e-03 	 Color:9.83e-02 	Time: 1.67
epoch 250:	pdl:1.43e-01 	 Rec:1.03e-03 	 Color:9.73e-02 	Time: 1.70
epoch 300:	pdl:1.37e-01 	 Rec:8.92e-04 	 Color:9.53e-02 	Time: 1.70
epoch 350:	pdl:1.37e-01 	 Rec:8.13e-04 	 Color:9.45e-02 	Time: 1.70
epoch 400:	pdl:1.32e-01 	 Rec:7.51e-04 	 Color:9.33e-02 	Time: 1.67
epoch 450:	pdl:1.36e-01 	 Rec:7.78e-04 	 Color:9.35e-02 	Time: 1.66
epoch 500:	pdl:1.41e-01 	 Rec:6.93e-04 	 Color:9.37e-02 	Time: 1.66
epoch 550:	pdl:1.36e-01 	 Rec:5.81e-04 	 Color:9.98e-02 	Time: 1.66
epoch 600:	pdl:1.39e-01 	 Rec:5.71e-04 	 Color:9.53e-02 	Time: 1.67
epoch 650:	pdl:1.47e-01 	 Rec:5.43e-04 	 Color:9.87e-02 	Time: 1.65
epoch 700:	pdl:1.49e-01 	 Rec:5.23e-04 	 Color:9.92e-02 	Time: 1.72
epoch 750:	pdl:1.48e-01 	 Rec:4.74e-04 	 Color:9.80e-02 	Time: 1.73
epoch 800:	pdl:1.43e-01 	 Rec:4.78e-04 	 Color:9.87e-02 	Time: 1.73
epoch 850:	pdl:1.36e-01 	 Rec:4.14e-04 	 Color:9.69e-02 	Time: 1.74
epoch 900:	pdl:1.40e-01 	 Rec:4.17e-04 	 Color:9.42e-02 	Time: 1.72
epoch 950:	pdl:1.35e-01 	 Rec:4.21e-04 	 Color:9.72e-02 	Time: 1.70
epoch 1000:	pdl:1.42e-01 	 Rec:4.14e-04 	 Color:9.89e-02 	Time: 1.73
epoch 1050:	pdl:1.33e-01 	 Rec:3.71e-04 	 Color:9.45e-02 	Time: 1.72
epoch 1100:	pdl:1.38e-01 	 Rec:3.65e-04 	 Color:1.03e-01 	Time: 1.71
epoch 1150:	pdl:1.39e-01 	 Rec:3.84e-04 	 Color:9.95e-02 	Time: 1.70
epoch 1200:	pdl:1.32e-01 	 Rec:3.45e-04 	 Color:9.63e-02 	Time: 1.69
epoch 1250:	pdl:1.41e-01 	 Rec:3.73e-04 	 Color:9.12e-02 	Time: 1.69
epoch 1300:	pdl:1.41e-01 	 Rec:3.42e-04 	 Color:9.76e-02 	Time: 1.69
epoch 1350:	pdl:1.35e-01 	 Rec:3.25e-04 	 Color:9.78e-02 	Time: 1.72
epoch 1400:	pdl:1.42e-01 	 Rec:3.10e-04 	 Color:9.90e-02 	Time: 1.73
epoch 1450:	pdl:1.52e-01 	 Rec:3.40e-04 	 Color:1.02e-01 	Time: 1.72
epoch 1500:	pdl:1.47e-01 	 Rec:3.20e-04 	 Color:1.00e-01 	Time: 1.73
epoch 1550:	pdl:1.43e-01 	 Rec:2.96e-04 	 Color:9.59e-02 	Time: 1.73
epoch 1600:	pdl:1.35e-01 	 Rec:2.91e-04 	 Color:1.00e-01 	Time: 1.72
epoch 1650:	pdl:1.44e-01 	 Rec:2.95e-04 	 Color:1.04e-01 	Time: 1.74
epoch 1700:	pdl:1.39e-01 	 Rec:3.15e-04 	 Color:1.04e-01 	Time: 1.73
epoch 1750:	pdl:1.39e-01 	 Rec:2.69e-04 	 Color:9.64e-02 	Time: 1.73
epoch 1800:	pdl:1.41e-01 	 Rec:2.63e-04 	 Color:9.43e-02 	Time: 1.73
epoch 1850:	pdl:1.37e-01 	 Rec:2.83e-04 	 Color:9.70e-02 	Time: 1.71
epoch 1900:	pdl:1.41e-01 	 Rec:2.69e-04 	 Color:1.03e-01 	Time: 1.69
epoch 1950:	pdl:1.48e-01 	 Rec:2.85e-04 	 Color:9.61e-02 	Time: 1.69
epoch 2000:	pdl:1.32e-01 	 Rec:2.58e-04 	 Color:9.48e-02 	Time: 1.68
epoch 2050:	pdl:1.38e-01 	 Rec:2.91e-04 	 Color:8.95e-02 	Time: 1.70
epoch 2100:	pdl:1.33e-01 	 Rec:2.62e-04 	 Color:9.92e-02 	Time: 1.68
epoch 2150:	pdl:1.37e-01 	 Rec:2.57e-04 	 Color:9.60e-02 	Time: 1.69
epoch 2200:	pdl:1.39e-01 	 Rec:2.60e-04 	 Color:9.94e-02 	Time: 1.70
epoch 2250:	pdl:1.34e-01 	 Rec:2.36e-04 	 Color:9.77e-02 	Time: 1.72
epoch 2300:	pdl:1.33e-01 	 Rec:2.34e-04 	 Color:9.65e-02 	Time: 1.70
epoch 2350:	pdl:1.30e-01 	 Rec:2.40e-04 	 Color:9.21e-02 	Time: 1.70
epoch 2400:	pdl:1.37e-01 	 Rec:2.50e-04 	 Color:1.00e-01 	Time: 1.71
epoch 2450:	pdl:1.41e-01 	 Rec:2.43e-04 	 Color:9.92e-02 	Time: 1.72
epoch 2500:	pdl:1.33e-01 	 Rec:2.08e-04 	 Color:9.97e-02 	Time: 1.73
epoch 2550:	pdl:1.37e-01 	 Rec:2.60e-04 	 Color:8.89e-02 	Time: 1.69
epoch 2600:	pdl:1.37e-01 	 Rec:2.49e-04 	 Color:9.54e-02 	Time: 1.68
epoch 2650:	pdl:1.47e-01 	 Rec:2.19e-04 	 Color:9.93e-02 	Time: 1.67
epoch 2700:	pdl:1.39e-01 	 Rec:2.70e-04 	 Color:9.93e-02 	Time: 1.67
epoch 2750:	pdl:1.38e-01 	 Rec:2.38e-04 	 Color:9.52e-02 	Time: 1.68
