epoch 0:	pdl:5.78e-01 	 Rec:8.20e-02 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:1.68e-01 	 Rec:6.79e-03 	 Color:0.00e+00 	Time: 1.00
epoch 100:	pdl:1.57e-01 	 Rec:6.27e-03 	 Color:0.00e+00 	Time: 0.94
epoch 150:	pdl:1.41e-01 	 Rec:6.59e-03 	 Color:0.00e+00 	Time: 0.90
epoch 200:	pdl:1.65e-01 	 Rec:6.74e-03 	 Color:0.00e+00 	Time: 0.88
epoch 250:	pdl:1.38e-01 	 Rec:5.70e-03 	 Color:0.00e+00 	Time: 0.86
epoch 300:	pdl:1.75e-01 	 Rec:5.12e-03 	 Color:0.00e+00 	Time: 0.88
epoch 350:	pdl:1.65e-01 	 Rec:4.33e-03 	 Color:0.00e+00 	Time: 0.88
epoch 400:	pdl:1.51e-01 	 Rec:6.01e-03 	 Color:0.00e+00 	Time: 0.85
epoch 450:	pdl:1.30e-01 	 Rec:4.54e-03 	 Color:0.00e+00 	Time: 0.95
epoch 500:	pdl:1.26e-01 	 Rec:4.37e-03 	 Color:0.00e+00 	Time: 0.87
epoch 550:	pdl:1.44e-01 	 Rec:4.09e-03 	 Color:0.00e+00 	Time: 0.92
epoch 600:	pdl:1.53e-01 	 Rec:3.74e-03 	 Color:0.00e+00 	Time: 0.92
epoch 650:	pdl:1.30e-01 	 Rec:3.41e-03 	 Color:0.00e+00 	Time: 0.90
epoch 700:	pdl:1.46e-01 	 Rec:3.60e-03 	 Color:0.00e+00 	Time: 0.90
epoch 750:	pdl:1.34e-01 	 Rec:4.12e-03 	 Color:0.00e+00 	Time: 0.92
epoch 800:	pdl:1.30e-01 	 Rec:3.19e-03 	 Color:0.00e+00 	Time: 0.89
epoch 850:	pdl:1.26e-01 	 Rec:3.04e-03 	 Color:0.00e+00 	Time: 0.87
epoch 900:	pdl:1.24e-01 	 Rec:2.97e-03 	 Color:0.00e+00 	Time: 0.91
epoch 950:	pdl:1.15e-01 	 Rec:2.87e-03 	 Color:0.00e+00 	Time: 0.87
epoch 1000:	pdl:1.31e-01 	 Rec:3.44e-03 	 Color:0.00e+00 	Time: 0.87
epoch 1050:	pdl:1.35e-01 	 Rec:2.80e-03 	 Color:0.00e+00 	Time: 0.88
epoch 1100:	pdl:1.22e-01 	 Rec:2.61e-03 	 Color:0.00e+00 	Time: 0.87
epoch 1150:	pdl:1.28e-01 	 Rec:2.49e-03 	 Color:0.00e+00 	Time: 0.86
epoch 1200:	pdl:1.20e-01 	 Rec:2.66e-03 	 Color:0.00e+00 	Time: 0.87
epoch 1250:	pdl:1.17e-01 	 Rec:2.04e-03 	 Color:0.00e+00 	Time: 0.89
epoch 1300:	pdl:1.15e-01 	 Rec:2.43e-03 	 Color:0.00e+00 	Time: 0.88
epoch 1350:	pdl:1.13e-01 	 Rec:2.00e-03 	 Color:0.00e+00 	Time: 0.86
epoch 1400:	pdl:1.19e-01 	 Rec:2.14e-03 	 Color:0.00e+00 	Time: 0.86
epoch 1450:	pdl:1.29e-01 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 0.87
epoch 1500:	pdl:1.15e-01 	 Rec:1.96e-03 	 Color:0.00e+00 	Time: 0.87
epoch 1550:	pdl:1.28e-01 	 Rec:1.94e-03 	 Color:0.00e+00 	Time: 0.88
epoch 1600:	pdl:1.29e-01 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 0.92
epoch 1650:	pdl:1.20e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 0.91
epoch 1700:	pdl:1.31e-01 	 Rec:1.75e-03 	 Color:0.00e+00 	Time: 0.90
epoch 1750:	pdl:1.17e-01 	 Rec:1.68e-03 	 Color:0.00e+00 	Time: 0.88
epoch 1800:	pdl:1.16e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.90
epoch 1850:	pdl:1.12e-01 	 Rec:1.66e-03 	 Color:0.00e+00 	Time: 0.90
epoch 1900:	pdl:1.13e-01 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 0.95
epoch 1950:	pdl:1.33e-01 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 0.87
epoch 2000:	pdl:1.25e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 0.87
epoch 2050:	pdl:1.10e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.93
epoch 2100:	pdl:1.28e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.94
epoch 2150:	pdl:1.22e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 0.89
epoch 2200:	pdl:1.16e-01 	 Rec:1.54e-03 	 Color:0.00e+00 	Time: 0.92
epoch 2250:	pdl:1.32e-01 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 0.87
epoch 2300:	pdl:1.08e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 0.90
epoch 2350:	pdl:1.22e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.87
epoch 2400:	pdl:1.18e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.88
epoch 2450:	pdl:1.13e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.88
epoch 2500:	pdl:1.23e-01 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 0.92
epoch 2550:	pdl:1.65e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.92
epoch 2600:	pdl:1.04e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.87
epoch 2650:	pdl:1.11e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.88
epoch 2700:	pdl:1.05e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.91
epoch 2750:	pdl:1.16e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.90
epoch 2800:	pdl:1.37e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.87
epoch 2850:	pdl:1.27e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.89
epoch 2900:	pdl:1.25e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.87
epoch 2950:	pdl:1.21e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.86
epoch 3000:	pdl:1.20e-01 	 Rec:9.37e-04 	 Color:0.00e+00 	Time: 0.88
epoch 3050:	pdl:1.39e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 0.91
epoch 3100:	pdl:1.10e-01 	 Rec:9.70e-04 	 Color:0.00e+00 	Time: 0.88
epoch 3150:	pdl:1.37e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.86
epoch 3200:	pdl:1.07e-01 	 Rec:9.58e-04 	 Color:0.00e+00 	Time: 0.86
epoch 3250:	pdl:1.23e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.88
epoch 3300:	pdl:1.07e-01 	 Rec:9.87e-04 	 Color:0.00e+00 	Time: 0.87
epoch 3350:	pdl:1.19e-01 	 Rec:9.38e-04 	 Color:0.00e+00 	Time: 0.90
epoch 3400:	pdl:1.20e-01 	 Rec:8.16e-04 	 Color:0.00e+00 	Time: 0.85
epoch 3450:	pdl:1.16e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.88
epoch 3500:	pdl:1.07e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.85
epoch 3550:	pdl:1.15e-01 	 Rec:8.47e-04 	 Color:0.00e+00 	Time: 0.90
epoch 3600:	pdl:1.12e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.90
epoch 3650:	pdl:1.18e-01 	 Rec:8.19e-04 	 Color:0.00e+00 	Time: 0.89
epoch 3700:	pdl:1.08e-01 	 Rec:9.77e-04 	 Color:0.00e+00 	Time: 0.89
epoch 3750:	pdl:1.13e-01 	 Rec:9.46e-04 	 Color:0.00e+00 	Time: 0.90
epoch 3800:	pdl:1.23e-01 	 Rec:7.93e-04 	 Color:0.00e+00 	Time: 0.91
epoch 3850:	pdl:1.19e-01 	 Rec:9.82e-04 	 Color:0.00e+00 	Time: 0.86
epoch 3900:	pdl:1.21e-01 	 Rec:7.92e-04 	 Color:0.00e+00 	Time: 0.90
epoch 3950:	pdl:1.36e-01 	 Rec:8.05e-04 	 Color:0.00e+00 	Time: 0.92
epoch 4000:	pdl:1.04e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.88
epoch 4050:	pdl:1.08e-01 	 Rec:8.09e-04 	 Color:0.00e+00 	Time: 0.89
epoch 4100:	pdl:1.08e-01 	 Rec:8.55e-04 	 Color:0.00e+00 	Time: 0.88
epoch 4150:	pdl:1.13e-01 	 Rec:7.69e-04 	 Color:0.00e+00 	Time: 0.88
epoch 4200:	pdl:1.16e-01 	 Rec:7.57e-04 	 Color:0.00e+00 	Time: 0.92
epoch 4250:	pdl:1.16e-01 	 Rec:8.06e-04 	 Color:0.00e+00 	Time: 0.93
epoch 4300:	pdl:1.20e-01 	 Rec:9.24e-04 	 Color:0.00e+00 	Time: 0.90
epoch 4350:	pdl:1.10e-01 	 Rec:8.16e-04 	 Color:0.00e+00 	Time: 0.90
epoch 4400:	pdl:1.25e-01 	 Rec:7.15e-04 	 Color:0.00e+00 	Time: 0.88
epoch 4450:	pdl:1.10e-01 	 Rec:7.42e-04 	 Color:0.00e+00 	Time: 0.88
epoch 4500:	pdl:1.34e-01 	 Rec:8.88e-04 	 Color:0.00e+00 	Time: 0.90
epoch 4550:	pdl:1.23e-01 	 Rec:7.85e-04 	 Color:0.00e+00 	Time: 0.87
epoch 4600:	pdl:1.19e-01 	 Rec:8.72e-04 	 Color:0.00e+00 	Time: 0.88
