epoch 0:	pdl:6.83e-02 	 Rec:6.02e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:5.93e-02 	 Rec:3.23e-03 	 Color:0.00e+00 	Time: 1.99
epoch 100:	pdl:7.14e-02 	 Rec:2.74e-03 	 Color:0.00e+00 	Time: 1.94
epoch 150:	pdl:6.21e-02 	 Rec:2.45e-03 	 Color:0.00e+00 	Time: 1.94
epoch 200:	pdl:7.94e-02 	 Rec:2.26e-03 	 Color:0.00e+00 	Time: 1.97
epoch 250:	pdl:6.47e-02 	 Rec:2.11e-03 	 Color:0.00e+00 	Time: 1.97
epoch 300:	pdl:6.44e-02 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 1.97
epoch 350:	pdl:6.57e-02 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 1.93
epoch 400:	pdl:6.72e-02 	 Rec:1.81e-03 	 Color:0.00e+00 	Time: 1.97
epoch 450:	pdl:6.08e-02 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 1.97
epoch 500:	pdl:6.37e-02 	 Rec:1.65e-03 	 Color:0.00e+00 	Time: 1.97
epoch 550:	pdl:5.57e-02 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 1.94
epoch 600:	pdl:6.29e-02 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 1.96
epoch 650:	pdl:6.04e-02 	 Rec:1.53e-03 	 Color:0.00e+00 	Time: 1.95
epoch 700:	pdl:6.16e-02 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 1.98
epoch 750:	pdl:6.28e-02 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 1.97
epoch 800:	pdl:7.79e-02 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 1.96
epoch 850:	pdl:6.25e-02 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 1.96
epoch 900:	pdl:5.93e-02 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 1.94
epoch 950:	pdl:5.43e-02 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 1.95
