
Random Seed:  42
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		SCALE 0
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
epoch 0:	pdl:1.54e+00 	 Rec:1.54e+00 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.09e-01 	 Rec:1.01e-02 	 Color:0.00e+00 	Time: 0.38
epoch 100:	pdl:6.56e-01 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 0.40
epoch 150:	pdl:5.83e-01 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 0.38
epoch 200:	pdl:5.44e-01 	 Rec:4.59e-04 	 Color:0.00e+00 	Time: 0.38
epoch 250:	pdl:6.11e-01 	 Rec:3.55e-03 	 Color:0.00e+00 	Time: 0.36
epoch 300:	pdl:5.94e-01 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 0.39
epoch 350:	pdl:5.66e-01 	 Rec:2.74e-04 	 Color:0.00e+00 	Time: 0.41
epoch 400:	pdl:5.63e-01 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 0.41
epoch 450:	pdl:5.62e-01 	 Rec:3.89e-04 	 Color:0.00e+00 	Time: 0.43
epoch 500:	pdl:5.76e-01 	 Rec:5.90e-04 	 Color:0.00e+00 	Time: 0.39
epoch 550:	pdl:5.62e-01 	 Rec:4.33e-04 	 Color:0.00e+00 	Time: 0.40
epoch 600:	pdl:5.42e-01 	 Rec:5.68e-04 	 Color:0.00e+00 	Time: 0.39
epoch 650:	pdl:5.20e-01 	 Rec:2.41e-04 	 Color:0.00e+00 	Time: 0.37
epoch 700:	pdl:5.44e-01 	 Rec:1.94e-03 	 Color:0.00e+00 	Time: 0.37
epoch 750:	pdl:5.59e-01 	 Rec:7.92e-04 	 Color:0.00e+00 	Time: 0.36
epoch 800:	pdl:5.50e-01 	 Rec:3.58e-03 	 Color:0.00e+00 	Time: 0.39
epoch 850:	pdl:5.38e-01 	 Rec:5.30e-04 	 Color:0.00e+00 	Time: 0.40
epoch 900:	pdl:5.26e-01 	 Rec:4.52e-04 	 Color:0.00e+00 	Time: 0.40
epoch 950:	pdl:5.50e-01 	 Rec:7.88e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1000:	pdl:5.29e-01 	 Rec:2.79e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1050:	pdl:5.41e-01 	 Rec:6.28e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1100:	pdl:5.49e-01 	 Rec:2.76e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1150:	pdl:5.21e-01 	 Rec:3.93e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1200:	pdl:5.14e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 0.41
epoch 1250:	pdl:4.94e-01 	 Rec:8.36e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1300:	pdl:4.93e-01 	 Rec:8.14e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1350:	pdl:5.71e-01 	 Rec:2.21e-03 	 Color:0.00e+00 	Time: 0.41
epoch 1400:	pdl:5.35e-01 	 Rec:9.89e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1450:	pdl:5.07e-01 	 Rec:2.04e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1500:	pdl:5.76e-01 	 Rec:2.04e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1550:	pdl:4.89e-01 	 Rec:3.74e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1600:	pdl:5.22e-01 	 Rec:5.56e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1650:	pdl:5.16e-01 	 Rec:5.22e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1700:	pdl:5.15e-01 	 Rec:9.46e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1750:	pdl:5.30e-01 	 Rec:5.16e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1800:	pdl:5.18e-01 	 Rec:5.39e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1850:	pdl:5.23e-01 	 Rec:5.61e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1900:	pdl:5.48e-01 	 Rec:7.89e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1950:	pdl:5.22e-01 	 Rec:2.03e-03 	 Color:0.00e+00 	Time: 0.39
epoch 2000:	pdl:5.31e-01 	 Rec:5.05e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2050:	pdl:5.18e-01 	 Rec:9.80e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2100:	pdl:5.26e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 0.40
epoch 2150:	pdl:5.22e-01 	 Rec:3.98e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2200:	pdl:5.02e-01 	 Rec:2.10e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2250:	pdl:5.24e-01 	 Rec:9.59e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2300:	pdl:4.91e-01 	 Rec:4.30e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2350:	pdl:5.18e-01 	 Rec:4.91e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2400:	pdl:4.92e-01 	 Rec:4.13e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2450:	pdl:4.94e-01 	 Rec:6.46e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2500:	pdl:5.12e-01 	 Rec:4.08e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2550:	pdl:4.83e-01 	 Rec:2.76e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2600:	pdl:5.18e-01 	 Rec:8.35e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2650:	pdl:5.16e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 0.38
epoch 2700:	pdl:5.02e-01 	 Rec:3.50e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2750:	pdl:4.93e-01 	 Rec:5.70e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2800:	pdl:5.27e-01 	 Rec:9.70e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2850:	pdl:5.15e-01 	 Rec:2.57e-02 	 Color:0.00e+00 	Time: 0.38
epoch 2900:	pdl:5.37e-01 	 Rec:1.48e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2950:	pdl:4.88e-01 	 Rec:2.35e-04 	 Color:0.00e+00 	Time: 0.38
epoch 3000:	pdl:5.15e-01 	 Rec:1.55e-04 	 Color:0.00e+00 	Time: 0.39
epoch 3050:	pdl:5.08e-01 	 Rec:9.20e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3100:	pdl:5.30e-01 	 Rec:7.64e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3150:	pdl:5.04e-01 	 Rec:1.84e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3200:	pdl:5.28e-01 	 Rec:4.65e-04 	 Color:0.00e+00 	Time: 0.39
epoch 3250:	pdl:5.01e-01 	 Rec:7.22e-04 	 Color:0.00e+00 	Time: 0.37
epoch 3300:	pdl:5.10e-01 	 Rec:3.92e-04 	 Color:0.00e+00 	Time: 0.38
epoch 3350:	pdl:4.78e-01 	 Rec:5.78e-04 	 Color:0.00e+00 	Time: 0.37
epoch 3400:	pdl:5.12e-01 	 Rec:2.53e-04 	 Color:0.00e+00 	Time: 0.39
epoch 3450:	pdl:4.89e-01 	 Rec:3.09e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3500:	pdl:5.03e-01 	 Rec:9.58e-04 	 Color:0.00e+00 	Time: 0.38
epoch 3550:	pdl:4.95e-01 	 Rec:2.93e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3600:	pdl:4.76e-01 	 Rec:2.47e-03 	 Color:0.00e+00 	Time: 0.36
epoch 3650:	pdl:4.90e-01 	 Rec:4.51e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3700:	pdl:4.89e-01 	 Rec:5.58e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3750:	pdl:4.96e-01 	 Rec:5.08e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3800:	pdl:4.67e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 0.41
epoch 3850:	pdl:4.92e-01 	 Rec:3.42e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3900:	pdl:5.05e-01 	 Rec:9.13e-04 	 Color:0.00e+00 	Time: 0.39
epoch 3950:	pdl:4.94e-01 	 Rec:4.89e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4000:	pdl:4.98e-01 	 Rec:7.54e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4050:	pdl:4.81e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.44
epoch 4100:	pdl:4.52e-01 	 Rec:8.50e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4150:	pdl:4.96e-01 	 Rec:8.79e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4200:	pdl:5.08e-01 	 Rec:8.58e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4250:	pdl:4.65e-01 	 Rec:2.20e-03 	 Color:0.00e+00 	Time: 0.41
epoch 4300:	pdl:5.40e-01 	 Rec:5.88e-04 	 Color:0.00e+00 	Time: 0.39
epoch 4350:	pdl:4.65e-01 	 Rec:2.93e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4400:	pdl:4.74e-01 	 Rec:3.63e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4450:	pdl:4.94e-01 	 Rec:6.13e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4500:	pdl:4.55e-01 	 Rec:4.77e-04 	 Color:0.00e+00 	Time: 0.39
epoch 4550:	pdl:4.82e-01 	 Rec:6.98e-04 	 Color:0.00e+00 	Time: 0.39
epoch 4600:	pdl:4.96e-01 	 Rec:3.84e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4650:	pdl:4.58e-01 	 Rec:6.88e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4700:	pdl:5.37e-01 	 Rec:3.37e-03 	 Color:0.00e+00 	Time: 0.40
epoch 4750:	pdl:4.96e-01 	 Rec:2.86e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4800:	pdl:5.03e-01 	 Rec:4.60e-04 	 Color:0.00e+00 	Time: 0.39
epoch 4850:	pdl:4.54e-01 	 Rec:5.25e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4900:	pdl:5.45e-01 	 Rec:6.61e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4950:	pdl:4.75e-01 	 Rec:2.45e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5000:	pdl:4.99e-01 	 Rec:5.95e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5050:	pdl:4.60e-01 	 Rec:6.42e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5100:	pdl:4.61e-01 	 Rec:2.15e-03 	 Color:0.00e+00 	Time: 0.38
epoch 5150:	pdl:4.96e-01 	 Rec:7.48e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5200:	pdl:4.97e-01 	 Rec:4.71e-04 	 Color:0.00e+00 	Time: 0.41
epoch 5250:	pdl:4.63e-01 	 Rec:3.83e-04 	 Color:0.00e+00 	Time: 0.37
epoch 5300:	pdl:4.93e-01 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 0.38
epoch 5350:	pdl:4.84e-01 	 Rec:4.14e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5400:	pdl:4.67e-01 	 Rec:3.34e-04 	 Color:0.00e+00 	Time: 0.37
epoch 5450:	pdl:4.93e-01 	 Rec:3.70e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5500:	pdl:4.83e-01 	 Rec:5.52e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5550:	pdl:4.87e-01 	 Rec:2.84e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5600:	pdl:4.74e-01 	 Rec:5.68e-04 	 Color:0.00e+00 	Time: 0.36
epoch 5650:	pdl:4.77e-01 	 Rec:7.26e-04 	 Color:0.00e+00 	Time: 0.35
epoch 5700:	pdl:4.85e-01 	 Rec:6.79e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5750:	pdl:4.66e-01 	 Rec:5.92e-04 	 Color:0.00e+00 	Time: 0.35
epoch 5800:	pdl:4.69e-01 	 Rec:8.22e-04 	 Color:0.00e+00 	Time: 0.40
epoch 5850:	pdl:4.64e-01 	 Rec:9.60e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5900:	pdl:4.65e-01 	 Rec:4.45e-04 	 Color:0.00e+00 	Time: 0.37
epoch 5950:	pdl:4.26e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.39
